seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,8,0.010045231397574147,129,,
3407,GEARS,1,0.010320443520322442,,1168,4416
3408,scGPT,2,0.010171923801923792,129,,
3408,GEARS,7,0.010392032020414868,,1168,4416
3409,scGPT,5,0.010060757615913947,129,,
3409,GEARS,1,0.010331085914125045,,1168,4416
