culture_condition,stratum,n_tasks,all_finite,n_levels,std,passed
Rest,all_200,200,True,200,1.0582483705680665,True
Rest,seen_160,160,True,160,0.96536761934959481,True
Stim8hr,all_200,200,True,200,1.0463148978494363,True
Stim8hr,seen_160,160,True,160,0.96251501532363937,True
Stim48hr,all_200,200,True,200,1.0464832462589801,True
Stim48hr,seen_160,160,True,160,0.95892034234359724,True
