analysis,method_name,n_tasks,spearman_rho,p_raw,bh_q
A549,CPA,55,0.32166242809153417,0.016631965827655047,0.02019489434135852
A549,PRnet,31,0.16935483870967744,0.3624101405071598,0.3624101405071598
A549,baseControl,55,0.5350730608277114,2.5678004982277076e-05,0.00018805436285379765
A549,baseMLP,55,0.38219272004379873,0.003982974450935606,0.005974461676403409
A549,baseReg,55,0.3180850682108905,0.017951017192318685,0.02019489434135852
A549,bioLord,55,0.4675552000159945,0.0003192857778768056,0.0007183930002228125
A549,chemCPA,55,0.48354909581771055,0.00018414549708911933,0.000552436491267358
A549,cycleCDR,55,0.4576500574475757,0.0004430424102023693,0.0007974763383642649
A549,trainMean,55,0.523086947251687,4.178985841195503e-05,0.00018805436285379765
K562,CPA,55,-0.25343627131467683,0.061905653243396204,0.061905653243396204
K562,PRnet,31,-0.4048387096774194,0.023875860642830204,0.02686034322318398
K562,baseControl,55,0.5005868607209947,9.937307137099925e-05,0.00039284197985553704
K562,baseMLP,55,0.4538451860911051,0.0005011420033295231,0.0007517130049942846
K562,baseReg,55,0.4689923881979785,0.00030421277706491127,0.0006844787483960504
K562,bioLord,55,0.5209841676509758,4.5431863474144277e-05,0.00039284197985553704
K562,chemCPA,55,0.49307645100474695,0.00013094732661851234,0.00039284197985553704
K562,cycleCDR,31,0.49308241482054843,0.004825970818053883,0.006204819623212135
K562,trainMean,55,0.4559862054125367,0.0004676530623833627,0.0007517130049942846
MCF7,CPA,55,-0.020456390450305718,0.8821537395852878,0.8821537395852878
MCF7,PRnet,31,0.14678899157166897,0.43070655808644187,0.4845448778472471
MCF7,baseControl,55,0.6260775078312735,3.1883689024692515e-07,1.4347660061111633e-06
MCF7,baseMLP,55,0.24876429773742423,0.06703818837649135,0.0861919564840603
MCF7,baseReg,55,0.3158046676091456,0.01883747906884225,0.028256218603263373
MCF7,bioLord,55,0.6433678596416378,1.1736752548045986e-07,1.0563077293241387e-06
MCF7,chemCPA,55,0.6166332487643279,5.366028054286552e-07,1.6098084162859656e-06
MCF7,cycleCDR,55,0.4246377555758604,0.001232413336926696,0.0022183440064680532
MCF7,trainMean,55,0.557722973315123,9.709028052140344e-06,2.1845313117315775e-05
pooled,CPA,165,-0.07836922134609504,0.31704070015680097,0.34738175484836553
pooled,PRnet,93,-0.09853554456679985,0.34738175484836553,0.34738175484836553
pooled,baseControl,165,0.45338106011662266,9.645039841196217e-10,2.893511952358865e-09
pooled,baseMLP,165,0.27836681333934266,0.00029423084876388587,0.00037829680555356756
pooled,baseReg,165,0.2862054595360869,0.00019400990921573754,0.0002910148638236063
pooled,bioLord,165,0.46044227385049424,4.88970030560663e-10,2.2388714920589373e-09
pooled,chemCPA,165,0.46026392988329407,4.975269982353194e-10,2.2388714920589373e-09
pooled,cycleCDR,141,0.3835162219127415,2.676039600207271e-06,4.816871280373088e-06
pooled,trainMean,165,0.4379228033461543,4.0470174793332965e-09,9.105789328499917e-09
