method_name,n_perturbations,partial_spearman_control_log_nstimulated
AttentionPert,74,0.2989776713762745
CPA,74,0.09106406738197863
GEARS,74,0.3097054309447313
GeneCompass,74,0.3832476829621596
GenePert,74,0.36851198404605323
baseControl,74,0.3348975625109605
baseMLP,74,0.2153197917935437
baseReg,74,0.4064074526151023
bioLord,74,0.2926793267544772
linearModel,74,0.29329854988191373
scELMo,74,0.358768425802567
scFoundation,74,0.11564178553595673
scGPT,74,0.34568767849364374
scouter,74,0.36858468024235963
trainMean,74,0.3604466428353059
