method_name,n_perturbations,spearman_rho,p_raw,bh_q
AttentionPert,74,0.5467672012113072,4.655789977599082e-07,5.819737471998852e-07
CPA,74,0.20809072337273202,0.07522013482597929,0.08679246326074533
GEARS,74,0.5758735345003645,7.959920929514842e-08,1.3266534882524736e-07
GeneCompass,74,0.6132443254770011,6.3066967938825295e-09,4.2111168512244935e-08
GenePert,74,0.606888862894049,9.934493312668306e-09,4.2111168512244935e-08
baseControl,74,0.5890855428751607,3.369054488551394e-08,7.219402475467272e-08
baseMLP,74,-0.004665146179184686,0.9685331414972376,0.9685331414972376
baseReg,74,0.6225260439013021,3.1886219983404535e-09,4.2111168512244935e-08
bioLord,74,0.5609551924332125,2.010182832923095e-07,2.7411584085314934e-07
linearModel,74,0.5646635754529229,1.6035051777170805e-07,2.405257766575621e-07
scELMo,74,0.6019584767731889,1.4037056170748313e-08,4.2111168512244935e-08
scFoundation,74,0.04007968580233962,0.7345758159642413,0.7870455171045442
scGPT,74,0.5836435309801913,4.823045949347914e-08,9.043211155027338e-08
scouter,74,0.5928291147345877,2.6220859698932183e-08,6.555214924733046e-08
trainMean,74,0.6026045980669622,1.3419816189143812e-08,4.2111168512244935e-08
