control_type,n_methods,n_perturbations,median_spearman,ci_low,ci_high,pct_methods_positive,status,observed_empirical_p_one_sided
frozen_v0_2_risk,15,74,0.5836435309801913,0.3934616631523212,0.7261213847941498,0.9333333333333333,ok,
sample_size,15,74,0.7637071473739743,0.5573329271247571,0.9070271136507111,0.8666666666666667,ok,
shuffled_risk_null,15,74,0.007216975993801247,-0.23227468945667581,0.2305051645948716,,ok,0.004975124378109453
