estimator,mean_rmse,zero_mean_rmse,task_win_rate_vs_zero,gene_cluster_mean_delta,ci95_lower,ci95_upper
scGPT,0.29773196179819594,0.2978893206007233,0.6,-0.0003696570561682082,-0.0005604556220388804,-0.000198558136307437
GEARS,0.3086152481250859,0.2978893206007233,0.13714285714285715,0.004662116357799952,-0.0015326844962660255,0.010373247286701618
six_model_family,0.3032676407682781,0.2978893206007233,0.13142857142857142,0.002226515694294286,-0.000880724221032969,0.00512305004276936
source_effect,0.3084775184208287,0.2978893206007233,0.12571428571428572,0.0051705943714304625,-0.0009122151000292171,0.01074317484529196
