batch,gene,n_target_cells,task_id,context_key,family_rms_error,family_worst_error,centroid_error,diversity_lower_bound,diameter_half_lower_bound,predicted_magnitude,source_effect_magnitude,zero_effect_error,source_effect_error,scGPT_family_rms_error,GEARS_family_rms_error,fraction_members_beating_zero,family_rms_lower_violation,family_worst_lower_violation,rms_identity_residual,scGPT_seed3407_rmse,GEARS_seed3407_rmse,scGPT_seed3408_rmse,GEARS_seed3408_rmse,scGPT_seed3409_rmse,GEARS_seed3409_rmse
11,COPZ1,7,RPE1::11::COPZ1,TARGET::11,0.2538967269147442,0.2643759596948654,0.24846709971787295,0.052226894,0.057272332972119006,0.050966542925394265,0.10072680299278566,0.24648996497100692,0.26130840521295684,0.24543708070116382,0.26208345100927444,0.5,False,False,1.8032994542060976e-10,0.246252449852451,0.25830653308076545,0.24557577011748674,0.26352664529797865,0.24447976157996842,0.2643759596948654
15,COPZ1,5,RPE1::15::COPZ1,TARGET::15,0.2960494834280008,0.30760957109884335,0.2913885367980982,0.05232607,0.05721776361527225,0.0512034062633086,0.10072680299278566,0.28658033157104296,0.30426104556755706,0.28684635973120903,0.30497501403381566,0.16666666666666666,False,False,9.537368117484846e-11,0.2867561800502213,0.3021569911576988,0.2865550046947379,0.30760957109884335,0.2872274791181066,0.3051340394280687
17,COPZ1,6,RPE1::17::COPZ1,TARGET::17,0.23879410463038306,0.2500232275765808,0.2330321313397011,0.052140675,0.05688466877960815,0.05140914016603269,0.10072680299278566,0.23079994126640735,0.24627719278077023,0.23038521019069497,0.24691679517165693,0.3333333333333333,False,False,1.3207984705942977e-10,0.23033490027240816,0.24346216341530819,0.23121082090226894,0.2500232275765808,0.22960711059989145,0.2472210991619708
35,COPZ1,5,RPE1::35::COPZ1,TARGET::35,0.44694266327924365,0.45069297942860015,0.4438379187008547,0.052589413,0.05767148667004573,0.050951865837804235,0.10072680299278566,0.44880877263770763,0.44576205502378896,0.4483372166181877,0.4455437450052946,0.8333333333333334,False,False,2.5474616860421406e-10,0.4476529630353509,0.4443469553465999,0.45069297942860015,0.44629387938469745,0.4466558433450451,0.445987940014069
38,COPZ1,5,RPE1::38::COPZ1,TARGET::38,0.31637220575080194,0.32658941870453057,0.3119908962920749,0.052469544,0.057473676140434256,0.05105002655408612,0.10072680299278566,0.3077451120739659,0.32253611124913456,0.30863772135300904,0.3239220617699231,0.0,False,False,1.0916646753234005e-10,0.3082130257937589,0.3212132029907741,0.30796650232689954,0.32658941870453057,0.3097306786573207,0.32394125411635716
43,COPZ1,5,RPE1::43::COPZ1,TARGET::43,0.33993688826343743,0.34929016343847047,0.33589772966340553,0.05224752,0.057067881269427786,0.05132102725865616,0.10072680299278566,0.3331240475906001,0.34667827268949214,0.332724202613201,0.3469996844377054,0.5,False,False,1.1454724668791272e-10,0.332897098087429,0.34477323193077414,0.3330748565951066,0.34692094671370954,0.33220001054017007,0.34929016343847047
13,DERL2,5,RPE1::13::DERL2,TARGET::13,0.307308595100807,0.31877302373416283,0.3055470115236406,0.032857213,0.03477054155192819,0.03155017823980723,0.06371354375632049,0.30000849396940366,0.31441397418402506,0.2994200183563947,0.3149996791317727,0.5,False,False,9.085557306498515e-11,0.2997434860083336,0.31294422560495133,0.29978233491889067,0.31877302373416283,0.29873305214485574,0.3132476090240043
21,DERL2,6,RPE1::21::DERL2,TARGET::21,0.38963202603894204,0.3985971587063573,0.388242481309698,0.032876913,0.034680394741914596,0.03163864236768657,0.06371354375632049,0.38482841632840387,0.39528725394883335,0.38414727181499864,0.39504063713435245,0.3333333333333333,False,False,7.141537361476935e-11,0.38491997196298466,0.3932491922047866,0.3837007342593172,0.3985971587063573,0.38381993309570994,0.3932514372053167
22,DERL2,5,RPE1::22::DERL2,TARGET::22,0.25849805399477993,0.26672222874320806,0.2563958307952623,0.03290018,0.034716906064463725,0.031472156557215386,0.06371354375632049,0.25223401348340135,0.265224371457206,0.2516919151394317,0.2651295300256489,0.3333333333333333,False,False,7.375100530282452e-12,0.2526828621260403,0.2649320329288695,0.2505162107698182,0.26672222874320806,0.2518719114331511,0.26372575470988147
25,DERL2,5,RPE1::25::DERL2,TARGET::25,0.39095783607269236,0.4021629614199162,0.38957864755526905,0.032810163,0.03473575816055813,0.03167272940986601,0.06371354375632049,0.3842777941260078,0.39821329856101867,0.38292845544658943,0.39882559745153484,0.5,False,False,1.5563136890328622e-10,0.3841866467669878,0.39727786632737544,0.3826256750682835,0.4021629614199162,0.3819696574292388,0.39701488754963854
26,DERL2,5,RPE1::26::DERL2,TARGET::26,0.396239481845512,0.40658045120406416,0.39486995894697263,0.03291569,0.03478009345788253,0.03147415198342883,0.06371354375632049,0.3898686741348548,0.40139182552965524,0.38926949307555,0.40308896748373557,0.3333333333333333,False,False,9.764605790607561e-11,0.38930696176261187,0.40152327131451143,0.3902779596275415,0.40658045120406416,0.3882208372434617,0.401140307639241
34,DERL2,6,RPE1::34::DERL2,TARGET::34,0.35231146522657536,0.3630567027200024,0.3507657523491841,0.032965977,0.03482019662661766,0.03143583878021134,0.06371354375632049,0.34594480336591504,0.3583945284979776,0.34500300561509023,0.3594713662821377,0.5,False,False,1.466986671028181e-10,0.3453948260638359,0.3579877186913132,0.34588907150842635,0.3630567027200024,0.34372137842983985,0.3573424315786044
12,DNAJC19,5,RPE1::12::DNAJC19,TARGET::12,0.3003026338244358,0.3091734397222672,0.29606557142252193,0.050267775,0.05172623577224613,0.048109175464402514,0.10652949771038553,0.29250605108197614,0.31221124939354045,0.2924841705377125,0.30792264247478235,0.16666666666666666,False,False,2.469384419168108e-11,0.2929295044897733,0.3091734397222672,0.29153186363283695,0.3080397643727582,0.2929888187824612,0.30654909717928563
14,DNAJC19,5,RPE1::14::DNAJC19,TARGET::14,0.2466631039369849,0.252762063038739,0.24147568246935608,0.050320785,0.05183452071935161,0.048045566107314135,0.10652949771038553,0.24078946225795483,0.255223552253542,0.24062688803712454,0.25255509189328323,0.5,False,False,5.6930689329437456e-11,0.24069124064517086,0.2525529619202121,0.24076705691488154,0.252762063038739,0.24042223008808322,0.2523500826974358
16,DNAJC19,5,RPE1::16::DNAJC19,TARGET::16,0.24454154369748193,0.2522265475618098,0.2393158666856263,0.05028402,0.05178007659389777,0.04808248697359331,0.10652949771038553,0.23811334052969166,0.2548867894960857,0.23769810452358225,0.2511986152306399,0.3333333333333333,False,False,2.6879574260840755e-10,0.2383305958796009,0.2522265475618098,0.23703636456275978,0.2509544542568027,0.23772558891473233,0.2504113884692422
22,DNAJC19,6,RPE1::22::DNAJC19,TARGET::22,0.27277518646889237,0.2748195923314161,0.2681037826341975,0.050265934,0.051684512819317414,0.048084353205186996,0.10652949771038553,0.2709095491722764,0.2765469459540593,0.2716752333320579,0.2738707218748472,0.16666666666666666,False,False,8.471918999664041e-11,0.2708772204409301,0.2748195923314161,0.27204881472316655,0.27402797690039693,0.2720979071437344,0.27276065780720554
34,DNAJC19,6,RPE1::34::DNAJC19,TARGET::34,0.3282595795246028,0.3364487284309358,0.32438533790088236,0.050284233,0.05178619545440248,0.04798163612986842,0.10652949771038553,0.32112162052217524,0.33670180961604945,0.32066729221888574,0.3356801912540354,0.3333333333333333,False,False,1.0176005871276317e-10,0.3202517508458917,0.3357578002697455,0.32240681832496143,0.3364487284309358,0.3193355546673327,0.3348320849265576
55,DNAJC19,6,RPE1::55::DNAJC19,TARGET::55,0.2587533848484172,0.2656977071217548,0.25382052560038015,0.050283745,0.05172580046602358,0.048074851760406254,0.10652949771038553,0.25313952999587075,0.26705127785074195,0.2528335223443964,0.2645408065307729,0.3333333333333333,False,False,1.5394428787285364e-10,0.25245578004517744,0.26470646202683773,0.2542071678897756,0.2656977071217548,0.2518316202911453,0.26321233320521287
