seed,condition,max_abs_delta_prediction,max_abs_delta_raw_log_prob,max_abs_delta_epistemic,max_abs_delta_aleatoric
3408,SUPT5H+SUPT6H,0.0,0.0,0.0,0.0
3408,INTS1+SMARCD1,0.0,0.0,0.0,0.0
3408,INTS1+MED24,0.0,0.0,0.0,0.0
3408,GATA2+SMARCD1,0.0,0.0,0.0,0.0
3408,KDM1A+RING1,0.0,0.0,0.0,0.0
3408,MED24+RING1,0.0,0.0,0.0,0.0
3408,EP300+GSE1,0.0,0.0,0.0,0.0
3408,EP300+GFI1,0.0,0.0,0.0,0.0
