outer_heldout_study,selected_rule,n_train_tasks,n_test_tasks
Cui_direct41,gate_hard_context_only,5748,2448
Frangieh,gate_hard_context_only,4848,3348
Lara_exvivo,gate_hard_context_only,6816,1380
Santinha,global_max_m_s,7176,1020
