inner_heldout_study,rule,utility_20,spearman,capture_20,outer_heldout_study
Frangieh,magnitude,0.4824332316233164,0.5427104792733984,0.22771906301833145,Cui_direct41
Frangieh,fixed_80m_20s,0.48788967745852285,0.5473384420482968,0.2280601512309206,Cui_direct41
Frangieh,global_max_m_s,0.5087581705964207,0.5536311070268871,0.22925523818496116,Cui_direct41
Frangieh,gate_hard_context_only,0.5091783126409939,0.5498374139608493,0.22927014421713462,Cui_direct41
Frangieh,gate_soft_context_only,0.5023594865729542,0.5468716614733307,0.22893788612366742,Cui_direct41
Frangieh,gate_half_context_only,0.49144301091465153,0.5460861114854909,0.2282424626133004,Cui_direct41
Frangieh,scenario_b,0.49098727222268285,0.5483050439732983,0.22822448921961191,Cui_direct41
Lara_exvivo,magnitude,0.25374622306295996,0.23920452787675422,0.2501151906160081,Cui_direct41
Lara_exvivo,fixed_80m_20s,0.25293790840628605,0.24940307835717562,0.2501153958187203,Cui_direct41
Lara_exvivo,global_max_m_s,0.28367741426531745,0.3121408942129903,0.25274420231508316,Cui_direct41
Lara_exvivo,gate_hard_context_only,0.2790779344060712,0.2735711365654768,0.2527875783808845,Cui_direct41
Lara_exvivo,gate_soft_context_only,0.25584884392394974,0.26111830011347203,0.25005804727152314,Cui_direct41
Lara_exvivo,gate_half_context_only,0.2536443647837249,0.2507047470100669,0.2501065022182652,Cui_direct41
Lara_exvivo,scenario_b,0.2616178591022703,0.26652511263582845,0.2506418695592635,Cui_direct41
Santinha,magnitude,0.4081830334018205,0.35999557717823977,0.24421550504282558,Cui_direct41
Santinha,fixed_80m_20s,0.4103760627153651,0.3543204011822777,0.24444549041243696,Cui_direct41
Santinha,global_max_m_s,0.39943686247993815,0.315974727146176,0.24551936422668272,Cui_direct41
Santinha,gate_hard_context_only,0.42804916714594166,0.33076105010420565,0.24689257817526897,Cui_direct41
Santinha,gate_soft_context_only,0.42495140111311525,0.3557725834040393,0.24574349015216704,Cui_direct41
Santinha,gate_half_context_only,0.4107329573700504,0.35750013822139864,0.24452835627891106,Cui_direct41
Santinha,scenario_b,0.4107329573700504,0.3550286588899608,0.24452835627891106,Cui_direct41
Cui_direct41,magnitude,0.3517004461603553,0.4093202223486827,0.24050899314298668,Frangieh
Cui_direct41,fixed_80m_20s,0.3599712196889269,0.41200522585437743,0.24110872342818687,Frangieh
Cui_direct41,global_max_m_s,0.3956174955457714,0.4246493934756012,0.24253532929958835,Frangieh
Cui_direct41,gate_hard_context_only,0.39089331045474546,0.420146967101559,0.242299120912389,Frangieh
Cui_direct41,gate_soft_context_only,0.3651435934127751,0.4163106049488259,0.24154557715520128,Frangieh
Cui_direct41,gate_half_context_only,0.3643015003592489,0.4177171446321441,0.24119760475115723,Frangieh
Cui_direct41,scenario_b,0.3693118863817551,0.4209732819579335,0.24144846214473795,Frangieh
Lara_exvivo,magnitude,0.25374622306295996,0.23920452787675422,0.2501151906160081,Frangieh
Lara_exvivo,fixed_80m_20s,0.25293790840628605,0.24940307835717562,0.2501153958187203,Frangieh
Lara_exvivo,global_max_m_s,0.28367741426531745,0.3121408942129903,0.25274420231508316,Frangieh
Lara_exvivo,gate_hard_context_only,0.2790779344060712,0.2735711365654768,0.2527875783808845,Frangieh
Lara_exvivo,gate_soft_context_only,0.25584884392394974,0.26111830011347203,0.25005804727152314,Frangieh
Lara_exvivo,gate_half_context_only,0.2536443647837249,0.2507047470100669,0.2501065022182652,Frangieh
Lara_exvivo,scenario_b,0.2616178591022703,0.26652511263582845,0.2506418695592635,Frangieh
Santinha,magnitude,0.4081830334018205,0.35999557717823977,0.24421550504282558,Frangieh
Santinha,fixed_80m_20s,0.4103760627153651,0.3543204011822777,0.24444549041243696,Frangieh
Santinha,global_max_m_s,0.39943686247993815,0.315974727146176,0.24551936422668272,Frangieh
Santinha,gate_hard_context_only,0.42804916714594166,0.33076105010420565,0.24689257817526897,Frangieh
Santinha,gate_soft_context_only,0.42495140111311525,0.3557725834040393,0.24574349015216704,Frangieh
Santinha,gate_half_context_only,0.4107329573700504,0.35750013822139864,0.24452835627891106,Frangieh
Santinha,scenario_b,0.4107329573700504,0.3550286588899608,0.24452835627891106,Frangieh
Cui_direct41,magnitude,0.3517004461603553,0.4093202223486827,0.24050899314298668,Lara_exvivo
Cui_direct41,fixed_80m_20s,0.3599712196889269,0.41200522585437743,0.24110872342818687,Lara_exvivo
Cui_direct41,global_max_m_s,0.3956174955457714,0.4246493934756012,0.24253532929958835,Lara_exvivo
Cui_direct41,gate_hard_context_only,0.39089331045474546,0.420146967101559,0.242299120912389,Lara_exvivo
Cui_direct41,gate_soft_context_only,0.3651435934127751,0.4163106049488259,0.24154557715520128,Lara_exvivo
