rule,metric,delta_vs_magnitude,ci95_lower,ci95_upper,positive_studies,n_studies
fixed_80m_20s,spearman,0.002959085191263096,-0.0030993913032469345,0.00832016373673971,3,4
fixed_80m_20s,utility_20,0.0037779835051622024,0.000692357328435339,0.006863609681889066,3,4
fixed_80m_20s,capture_20,0.000292752267528229,8.542595518141322e-05,0.0005072940563029885,4,4
fixed_80m_20s,remaining_error_80,-2.9539914884586793e-05,-6.802783473308129e-05,-5.460272368846761e-06,0,4
gate_half_context_only,spearman,0.00519433366800634,0.0002276513532345481,0.009948570708387033,3,4
gate_half_context_only,utility_20,0.006014724794805901,0.0012240328444974025,0.010805416745114399,3,4
gate_half_context_only,capture_20,0.00037904351037051226,0.00012433360043507397,0.0006060056015697174,3,4
gate_half_context_only,remaining_error_80,-3.498491240641957e-05,-7.716019282563193e-05,-5.846882583317517e-06,1,4
gate_hard_context_only,spearman,0.005771440263753869,-0.01921920911730647,0.027556690188404606,3,4
gate_hard_context_only,utility_20,0.027783947599825,0.021585870562510226,0.03572757605657041,4,4
gate_hard_context_only,capture_20,0.0021726674663813117,0.0016706044841027362,0.002674730448659887,4,4
gate_hard_context_only,remaining_error_80,-0.0001941988641189895,-0.00026305366866890417,-0.00012390255234998385,0,4
gate_soft_context_only,spearman,0.007210585815648152,-0.001419649680614532,0.017475624727521344,3,4
gate_soft_context_only,utility_20,0.013060097693585543,0.005769057573566064,0.01834731133046627,4,4
gate_soft_context_only,capture_20,0.0009315622206017699,0.000261848267970273,0.001405134835059739,3,4
gate_soft_context_only,remaining_error_80,-7.019483247812895e-05,-0.000130652877924832,1.7572687280482946e-07,1,4
global_max_m_s,spearman,0.01379132879614485,-0.029183344742318137,0.05743243169054921,3,4
global_max_m_s,utility_20,0.022856752159748903,0.0009231696091776126,0.03951902178233818,3,4
global_max_m_s,capture_20,0.0018738455515408814,0.0014200171752434265,0.0023558025659637036,4,4
global_max_m_s,remaining_error_80,-0.00016947132951308612,-0.00025553462428618,-8.340803473999223e-05,0,4
magnitude,spearman,0.0,0.0,0.0,0,4
magnitude,utility_20,0.0,0.0,0.0,0,4
magnitude,capture_20,0.0,0.0,0.0,0,4
magnitude,remaining_error_80,0.0,0.0,0.0,0,4
scenario_b,spearman,0.00990032269498646,-0.0008119238138964702,0.0218890797442806,3,4
scenario_b,utility_20,0.009146760207076651,0.004050953126014056,0.015176489175877453,4,4
scenario_b,capture_20,0.0005711063455931462,0.00036630816287797074,0.0008309583016335373,4,4
scenario_b,remaining_error_80,-5.154488182411952e-05,-0.00010645502335453888,-2.0973800586328653e-05,0,4
