outer_heldout_study,selected_rule,delta_utility_20_vs_magnitude
Cui_direct41,gate_hard_context_only,0.03919286429439017
Frangieh,gate_hard_context_only,0.02674508101767753
Lara_exvivo,gate_hard_context_only,0.02533171134311124
Santinha,global_max_m_s,-0.008746170921882346
