dataset,fold_id,setting,train_fraction,rule,n_tasks,spearman,utility_20,capture_20,remaining_error_80,outer_heldout_study
Cui_direct41,Cui_direct_context_holdout_2_MigDC,random_missing_pair,0.5,magnitude,16,0.7352941176470589,0.05684343136309969,0.25503087192577356,0.11818473333173946,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,random_missing_pair,0.75,magnitude,16,0.711764705882353,1.0000000000000004,0.3586024262343754,0.10059276888966057,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_2_MigDC,random_missing_pair,1.0,magnitude,16,0.55,1.0,0.34823636003868336,0.0993452732822628,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_and_perturbation_unseen,0.25,magnitude,9,-0.43333333333333335,-0.36549909854848456,0.19490207037435991,0.11929201045633069,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_and_perturbation_unseen,0.5,magnitude,9,-0.09999999999999999,-0.31368905136123226,0.19909681099088403,0.11898814694230501,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_and_perturbation_unseen,0.75,magnitude,9,0.6666666666666667,-0.14641969317195655,0.21201353920174845,0.11576222352189625,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_and_perturbation_unseen,1.0,magnitude,9,0.6,-0.13031559284799257,0.21306047590543112,0.11559230150516411,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_unseen_row,0.25,magnitude,32,0.5964076246334311,0.4124775575304761,0.24187847780071625,0.11397840598340842,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_unseen_row,0.5,magnitude,32,0.8885630498533723,0.920052745550062,0.26331866027454565,0.10716417229810339,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_unseen_row,0.75,magnitude,32,0.850073313782991,0.9448755526712274,0.25629641459671243,0.10642112719143439,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_unseen_row,1.0,magnitude,32,0.7719941348973607,0.9999999999999991,0.2522607094575156,0.10249698354230001,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,perturbation_unseen_column,0.25,magnitude,45,-0.3188405797101449,-0.3171616994440821,0.174201984167943,0.11382649585488844,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,perturbation_unseen_column,0.5,magnitude,45,-0.07180500658761528,-0.17881171082755268,0.1864674742409351,0.11188745658414224,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,perturbation_unseen_column,0.75,magnitude,45,0.11963109354413701,-0.030805139269275788,0.19777400369629636,0.10868169887268508,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,perturbation_unseen_column,1.0,magnitude,45,0.24308300395256913,0.18374687406234974,0.2134132595253699,0.10605330440325428,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,random_missing_pair,0.25,magnitude,16,0.4705882352941176,0.6693544049754911,0.263612052296486,0.10325463036879723,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,random_missing_pair,0.5,magnitude,16,0.5764705882352941,0.5807393742145822,0.26944682311394047,0.10377715764380413,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,random_missing_pair,0.75,magnitude,16,0.4058823529411764,0.33039587182966224,0.2578190253812707,0.10630173621502081,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,random_missing_pair,1.0,magnitude,16,0.4441176470588235,0.6537290545045483,0.2639775031624099,0.10185974164911578,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,context_and_perturbation_unseen,0.25,magnitude,9,0.5333333333333333,0.6052255867445857,0.2731863376627992,0.1071635318689904,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,context_and_perturbation_unseen,0.5,magnitude,9,0.16666666666666669,-0.2017273058384101,0.20472663701537547,0.11622236191224765,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,context_and_perturbation_unseen,0.75,magnitude,9,0.19999999999999998,-0.18391766656072112,0.207341038679697,0.11442650026239083,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,context_and_perturbation_unseen,1.0,magnitude,9,0.35,-0.19596050863641035,0.20630102072488776,0.11453462347325069,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,context_unseen_row,0.25,magnitude,32,0.8383431085043986,0.6801704869068599,0.2729200907711055,0.1069098761004195,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,context_unseen_row,0.5,magnitude,32,0.8519061583577712,0.838658246123004,0.27202339968521533,0.10577135950626987,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,context_unseen_row,0.75,magnitude,32,0.8376099706744866,0.8855295970406466,0.26569086242599227,0.1011546125011919,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_4_T_cell_CD8,context_unseen_row,1.0,magnitude,32,0.69391495601173,0.8090845548353329,0.2647221510753486,0.09825468036326608,Cui_direct41
