target,n_tasks,rho_raw,rho_excess_over_nochange,rho_partial_control_nochange,GAT_vs_nochange_relative_gain,Exphormer_vs_nochange_relative_gain
__pooled__,1808,0.998458029244284,0.9962376460962032,0.9946826720143849,0.11900085651157155,0.12186762196512801
K562,566,0.9976266832516246,0.9906300282046865,0.9952647002599487,-0.03909249539117621,-0.023064787104877915
RPE1,416,0.9994157593295151,0.9977317126836065,0.9938938038246845,0.17670559072751646,0.17456855355406753
hepg2,405,0.9989188574029818,0.9971258045344766,0.9943195307157616,0.17196601289055258,0.17021169344427722
jurkat,421,0.9981489730901536,0.9971813250522259,0.9940215204929744,0.15039132524918375,0.1511428363018339
