fold_id,task_id,context,GEARS,scGPT,no_change,setting,dataset,GEARS_excess,scGPT_excess
Lara_exvivo_context_holdout_1_EBMP,EBMP::Ash1l,EBMP,0.0768826033008072,0.1219737068478372,0.12212455646002772,context_unseen_row,Lara_exvivo,-0.04524195315922051,-0.00015084961219051507
Lara_exvivo_context_holdout_1_EBMP,EBMP::Brd9,EBMP,0.0868330251760719,0.112206690350343,0.10670326489302437,context_unseen_row,Lara_exvivo,-0.019870239716952467,0.005503425457318634
Lara_exvivo_context_holdout_1_EBMP,EBMP::Carm1,EBMP,0.0736312372657809,0.1087008589944475,0.10511830160221168,context_unseen_row,Lara_exvivo,-0.03148706433643078,0.0035825573922358134
Lara_exvivo_context_holdout_1_EBMP,EBMP::Cbx3,EBMP,0.0619654915268631,0.0822351612988884,0.07922130982309973,context_unseen_row,Lara_exvivo,-0.01725581829623663,0.0030138514757886703
Lara_exvivo_context_holdout_1_EBMP,EBMP::Cebpa,EBMP,0.1203597679409302,0.1448245678847095,0.1419470175710692,context_unseen_row,Lara_exvivo,-0.021587249630139,0.002877550313640287
Lara_exvivo_context_holdout_1_EBMP,EBMP::Chd4,EBMP,0.1250899705875609,0.1618339944245596,0.15451581624802604,context_unseen_row,Lara_exvivo,-0.029425845660465133,0.007318178176533546
Lara_exvivo_context_holdout_1_EBMP,EBMP::Crebbp,EBMP,0.0797759425310337,0.1263832948547889,0.12695174675973975,context_unseen_row,Lara_exvivo,-0.04717580422870604,-0.0005684519049508341
Lara_exvivo_context_holdout_1_EBMP,EBMP::Ehmt1,EBMP,0.0607343491933785,0.0766251803949042,0.07224096673951999,context_unseen_row,Lara_exvivo,-0.01150661754614149,0.004384213655384203
Lara_exvivo_context_holdout_1_EBMP,EBMP::Ehmt2,EBMP,0.0607750881194077,0.071371141635549,0.0668489592870016,context_and_perturbation_unseen,Lara_exvivo,-0.0060738711675939056,0.004522182348547399
Lara_exvivo_context_holdout_1_EBMP,EBMP::Ezh2,EBMP,0.1387594700712059,0.1321882253961765,0.13416192706342517,context_and_perturbation_unseen,Lara_exvivo,0.00459754300778073,-0.0019737016672486674
Lara_exvivo_context_holdout_1_EBMP,EBMP::Gltscr1,EBMP,0.0920008788850105,0.0889355916743353,0.08427778671154795,context_and_perturbation_unseen,Lara_exvivo,0.007723092173462551,0.004657804962787351
Lara_exvivo_context_holdout_1_EBMP,EBMP::Hdac1,EBMP,0.04709350865202,0.0695036845429485,0.06172429788378226,context_unseen_row,Lara_exvivo,-0.01463078923176226,0.007779386659166242
Lara_exvivo_context_holdout_1_EBMP,EBMP::Hmgxb4,EBMP,0.0749601332632257,0.1123069170541049,0.11190263082440347,context_unseen_row,Lara_exvivo,-0.03694249756117776,0.00040428622970142825
Lara_exvivo_context_holdout_1_EBMP,EBMP::Kdm6a,EBMP,0.1412687106150203,0.1207789051590967,0.1227323447442051,context_and_perturbation_unseen,Lara_exvivo,0.01853636587081521,-0.0019534395851083936
Lara_exvivo_context_holdout_1_EBMP,EBMP::Kmt2a,EBMP,0.0582242984537456,0.0853081686297502,0.07856441299110453,context_unseen_row,Lara_exvivo,-0.020340114537358935,0.006743755638645668
Lara_exvivo_context_holdout_1_EBMP,EBMP::Kmt2d,EBMP,0.1010744685366611,0.1174601592694391,0.11140605612602149,context_unseen_row,Lara_exvivo,-0.010331587589360383,0.006054103143417616
Lara_exvivo_context_holdout_1_EBMP,EBMP::Mbd2,EBMP,0.074487833201456,0.0623346741982794,0.054620923145889386,context_and_perturbation_unseen,Lara_exvivo,0.01986691005556661,0.007713751052390014
Lara_exvivo_context_holdout_1_EBMP,EBMP::Mbd3,EBMP,0.0505052691063481,0.068795529071644,0.06122029105342943,context_unseen_row,Lara_exvivo,-0.010715021947081328,0.007575238018214574
Lara_exvivo_context_holdout_1_EBMP,EBMP::Men1,EBMP,0.0792722312563475,0.0650554509960131,0.06338102898726733,context_unseen_row,Lara_exvivo,0.015891202269080168,0.0016744220087457767
Lara_exvivo_context_holdout_1_EBMP,EBMP::Phf10,EBMP,0.0537189653642613,0.0732636646442529,0.06613434274425117,context_unseen_row,Lara_exvivo,-0.012415377379989871,0.00712932190000172
Lara_exvivo_context_holdout_1_EBMP,EBMP::Prmt1,EBMP,0.0729058198151021,0.1153228272560278,0.11474237530994616,context_unseen_row,Lara_exvivo,-0.041836555494844066,0.0005804519460816393
Lara_exvivo_context_holdout_1_EBMP,EBMP::Prmt5,EBMP,0.0728992611573721,0.0979136692626521,0.09053978276892595,context_unseen_row,Lara_exvivo,-0.017640521611553855,0.007373886493726153
Lara_exvivo_context_holdout_1_EBMP,EBMP::Rbbp4,EBMP,0.0572861999759633,0.0955263707283692,0.08660774914374703,context_unseen_row,Lara_exvivo,-0.029321549167783727,0.008918621584622172
Lara_exvivo_context_holdout_1_EBMP,EBMP::Rcor1,EBMP,0.0823096833968745,0.0907423611223575,0.07918816431924457,context_and_perturbation_unseen,Lara_exvivo,0.0031215190776299334,0.01155419680311294
Lara_exvivo_context_holdout_1_EBMP,EBMP::Setdb1,EBMP,0.0619675419283058,0.0952696352953135,0.08402931213743471,context_unseen_row,Lara_exvivo,-0.02206177020912891,0.01124032315787879
Lara_exvivo_context_holdout_1_EBMP,EBMP::Setdb2,EBMP,0.0502607945827372,0.0767062423357683,0.07106904974710847,context_unseen_row,Lara_exvivo,-0.020808255164371264,0.005637192588659828
Lara_exvivo_context_holdout_1_EBMP,EBMP::Smarcd1,EBMP,0.0914123176771176,0.0958806180932436,0.08976542863937827,context_and_perturbation_unseen,Lara_exvivo,0.001646889037739338,0.006115189453865327
Lara_exvivo_context_holdout_1_EBMP,EBMP::Smarcd2,EBMP,0.0643277476478789,0.0882554538053407,0.08035830004870795,context_unseen_row,Lara_exvivo,-0.016030552400829054,0.007897153756632747
Lara_exvivo_context_holdout_1_EBMP,EBMP::Smc2,EBMP,0.068575520940897,0.0795348754593755,0.08132118090118468,context_unseen_row,Lara_exvivo,-0.012745659960287675,-0.0017863054418091745
Lara_exvivo_context_holdout_1_EBMP,EBMP::Spi1,EBMP,0.1117465060208483,0.1805046328056226,0.17804685125465725,context_unseen_row,Lara_exvivo,-0.06630034523380894,0.002457781550965349
Lara_exvivo_context_holdout_1_EBMP,EBMP::Stag2,EBMP,0.1062020848509712,0.1460538148032772,0.14161209866606475,context_unseen_row,Lara_exvivo,-0.03541001381509355,0.004441716137212448
Lara_exvivo_context_holdout_1_EBMP,GMP (late)::Ash1l,GMP (late),0.2657156381595084,0.2788550698486108,0.26926006547084513,random_missing_pair,Lara_exvivo,-0.003544427311336751,0.00959500437776567
Lara_exvivo_context_holdout_1_EBMP,GMP (late)::Crebbp,GMP (late),0.1630215805764909,0.179823180485729,0.17930415623517268,random_missing_pair,Lara_exvivo,-0.01628257565868177,0.0005190242505563325
Lara_exvivo_context_holdout_1_EBMP,GMP (late)::Ehmt2,GMP (late),0.0829107231191987,0.087164041950965,0.08731687446465652,perturbation_unseen_column,Lara_exvivo,-0.004406151345457826,-0.0001528325136915254
Lara_exvivo_context_holdout_1_EBMP,GMP (late)::Ezh2,GMP (late),0.2415109957660322,0.2324823895066745,0.2250049597765364,perturbation_unseen_column,Lara_exvivo,0.016506035989495793,0.0074774297301380965
Lara_exvivo_context_holdout_1_EBMP,GMP (late)::Gltscr1,GMP (late),0.0980373194004605,0.0843280309610118,0.08740073131254252,perturbation_unseen_column,Lara_exvivo,0.01063658808791798,-0.003072700351530719
Lara_exvivo_context_holdout_1_EBMP,GMP (late)::Kdm6a,GMP (late),0.206620889895985,0.1745563052540854,0.17433636188824028,perturbation_unseen_column,Lara_exvivo,0.03228452800774473,0.00021994336584510443
Lara_exvivo_context_holdout_1_EBMP,GMP (late)::Mbd2,GMP (late),0.119997183873149,0.0925322234133871,0.08690308910384895,perturbation_unseen_column,Lara_exvivo,0.03309409476930006,0.005629134309538153
Lara_exvivo_context_holdout_1_EBMP,GMP (late)::Rcor1,GMP (late),0.1064919000841043,0.1028221853547734,0.09932387810927182,perturbation_unseen_column,Lara_exvivo,0.007168021974832475,0.0034983072455015835
Lara_exvivo_context_holdout_1_EBMP,GMP (late)::Smarcd1,GMP (late),0.1278767673184202,0.1296389202613048,0.12606831447652006,perturbation_unseen_column,Lara_exvivo,0.0018084528419001489,0.0035706057847847417
