dataset,n_tasks,rho_raw,rho_partial_control_true_effect_length
__pooled__,4584,0.9726633271019963,0.6960033493050425
CuiHacohen2023,1253,0.9194161354266492,0.8243315857381395
Frangieh,633,0.9946436184015842,0.9955979445363714
LaraAstiasoHuntly2023_exvivo,323,0.5430203100818258,0.44765510658612123
LaraAstiasoHuntly2023_invivo,375,0.6374344791710678,0.3602250370121872
McFarlandTsherniak2020,1163,0.9539505560539462,0.90360887452104
SantinhaPlatt2023,273,0.9347117566847064,0.8201780922562615
SrivatsanTrapnell2020_sciplex3,564,0.9853558477642276,0.9808481969104157
