dataset,setting,n_tasks,n_folds,rho_raw,rho_excess_over_nochange,rho_partial_control_true_effect_nochange,GEARS_vs_nochange_relative_gain,scGPT_vs_nochange_relative_gain,rho_raw_task_boot_ci_low,rho_raw_task_boot_ci_high,n_task_clusters,rho_raw_fold_boot_ci_low,rho_raw_fold_boot_ci_high,n_fold_clusters
Lara_exvivo,all,345,5,0.7928020362718226,0.0030415495303833502,-0.02271414386232835,0.04675021765337917,-0.017370276106606353,0.7412166153302014,0.8350241613745419,345,0.7440739291457802,0.8399423689657465,5
Lara_exvivo,context_and_perturbation_unseen,35,5,0.927170868347339,0.0075630252100840345,-0.2583975427597447,-0.07827136837453796,-0.019332626455825785,0.8144710708703666,0.9702402045842454,35,0.829021372328459,0.9708111142295817,5
Lara_exvivo,context_unseen_row,120,5,0.8557885964303075,0.04150288214459337,-0.17505494253354048,0.17191862704361405,-0.01795537481443632,0.7921316327369298,0.8994684894152336,120,0.7964761659502356,0.9110276037397721,5
Lara_exvivo,perturbation_unseen_column,140,5,0.8909579934836326,-0.10057947562922308,-0.07181689576381237,-0.07300774178919389,-0.017478109425283606,0.8344839774312142,0.9266524078861254,140,0.8540019860104375,0.9178124138775762,5
Lara_exvivo,random_missing_pair,50,5,0.7995678271308523,0.13258103241296518,0.048083731910161444,0.1711037660504907,-0.01431749928346826,0.62455048623298,0.9020665654882879,50,0.6163658243080625,0.8931922059177292,5
Santinha,all,255,5,0.8911388374247337,0.0714617589161649,-0.10153802196352364,-0.06851576130354164,-0.09678886391733288,0.8456457363693342,0.9217598548523463,255,0.8463296136997356,0.962952481728474,5
Santinha,context_and_perturbation_unseen,25,5,0.9623076923076924,-0.16615384615384618,-0.03234929853683297,-0.08879142536118456,-0.08729642850395547,0.8570117484939858,0.99304488941742,25,0.8308880308880309,0.9953667953667954,5
Santinha,context_unseen_row,90,5,0.9189364942173931,-0.06432892949746882,-0.29488655750282433,-0.10463842370225618,-0.10346770860668064,0.8584531114212184,0.9517580603057236,90,0.714050389991187,0.9753037604514189,5
Santinha,perturbation_unseen_column,100,5,0.8719111911191119,0.1598079807980798,-0.16229158805990512,-0.03499158474260011,-0.09206913142047246,0.7830913733818546,0.9256915341035238,100,0.8107076405978033,0.9536715700990692,5
Santinha,random_missing_pair,40,5,0.8881801125703566,0.14183864915572234,0.06684890395994779,-0.06201594315167336,-0.10074864749621582,0.7524993319760375,0.9485035803602321,40,0.8442561205273068,0.9349868470499814,5
