scope,stratum,predictor,outcome,n_tasks,spearman,inference
pooled,primary_ge30,safeconf_e201_risk,family_rms_error,1808,0.40821841982841595,descriptive_point_only
pooled,primary_ge30,safeconf_e201_risk,family_centroid_rmse,1808,0.40355607571693375,descriptive_point_only
pooled,primary_ge30,safeconf_e201_risk,worst_seed_error,1808,0.41343753177862697,descriptive_point_only
pooled,primary_ge30,predicted_magnitude,family_rms_error,1808,0.618852826256313,descriptive_point_only
pooled,primary_ge30,predicted_magnitude,family_centroid_rmse,1808,0.6179588440644211,descriptive_point_only
pooled,primary_ge30,predicted_magnitude,worst_seed_error,1808,0.6296491392683888,descriptive_point_only
pooled,primary_ge30,family_disagreement,family_rms_error,1808,0.2401964938316256,descriptive_point_only
pooled,primary_ge30,family_disagreement,family_centroid_rmse,1808,0.23229674289687463,descriptive_point_only
pooled,primary_ge30,family_disagreement,worst_seed_error,1808,0.2546155672720594,descriptive_point_only
pooled,primary_ge30,family_radius,family_rms_error,1808,0.23158687928293456,descriptive_point_only
pooled,primary_ge30,family_radius,family_centroid_rmse,1808,0.22385050820585314,descriptive_point_only
pooled,primary_ge30,family_radius,worst_seed_error,1808,0.24653996360332253,descriptive_point_only
pooled,primary_ge30,model_source_gap,family_rms_error,1808,0.14880590980514108,descriptive_point_only
pooled,primary_ge30,model_source_gap,family_centroid_rmse,1808,0.14673612704484004,descriptive_point_only
pooled,primary_ge30,model_source_gap,worst_seed_error,1808,0.15262321299295972,descriptive_point_only
pooled,primary_ge30,source_delta_dispersion,family_rms_error,1808,0.46181679135334497,descriptive_point_only
pooled,primary_ge30,source_delta_dispersion,family_centroid_rmse,1808,0.4609042428102684,descriptive_point_only
pooled,primary_ge30,source_delta_dispersion,worst_seed_error,1808,0.4685166750502163,descriptive_point_only
pooled,primary_ge30,negative_log_source_cells,family_rms_error,1808,0.04501161413170313,descriptive_point_only
pooled,primary_ge30,negative_log_source_cells,family_centroid_rmse,1808,0.04069719620526442,descriptive_point_only
pooled,primary_ge30,negative_log_source_cells,worst_seed_error,1808,0.056931317066049224,descriptive_point_only
pooled,primary_ge30,support_context_deficit,family_rms_error,1808,-0.038457193205459574,descriptive_point_only
pooled,primary_ge30,support_context_deficit,family_centroid_rmse,1808,-0.04059423546461661,descriptive_point_only
pooled,primary_ge30,support_context_deficit,worst_seed_error,1808,-0.03293601465076059,descriptive_point_only
K562,primary_ge30,safeconf_e201_risk,family_rms_error,566,0.48032119623476455,descriptive_point_only
K562,primary_ge30,safeconf_e201_risk,family_centroid_rmse,566,0.4731333442862884,descriptive_point_only
K562,primary_ge30,safeconf_e201_risk,worst_seed_error,566,0.4848497633450259,descriptive_point_only
K562,primary_ge30,predicted_magnitude,family_rms_error,566,0.8992579621117099,descriptive_point_only
K562,primary_ge30,predicted_magnitude,family_centroid_rmse,566,0.8996278477062742,descriptive_point_only
K562,primary_ge30,predicted_magnitude,worst_seed_error,566,0.9033809720697992,descriptive_point_only
K562,primary_ge30,family_disagreement,family_rms_error,566,0.5338684397879495,descriptive_point_only
K562,primary_ge30,family_disagreement,family_centroid_rmse,566,0.522150763290261,descriptive_point_only
K562,primary_ge30,family_disagreement,worst_seed_error,566,0.5393304236857819,descriptive_point_only
K562,primary_ge30,family_radius,family_rms_error,566,0.5455807556248471,descriptive_point_only
K562,primary_ge30,family_radius,family_centroid_rmse,566,0.5341080811795968,descriptive_point_only
K562,primary_ge30,family_radius,worst_seed_error,566,0.5517836357887641,descriptive_point_only
K562,primary_ge30,model_source_gap,family_rms_error,566,0.1493864277003212,descriptive_point_only
K562,primary_ge30,model_source_gap,family_centroid_rmse,566,0.14623746966221715,descriptive_point_only
K562,primary_ge30,model_source_gap,worst_seed_error,566,0.14977583668912353,descriptive_point_only
K562,primary_ge30,source_delta_dispersion,family_rms_error,566,0.6659770348924828,descriptive_point_only
K562,primary_ge30,source_delta_dispersion,family_centroid_rmse,566,0.6662857893178153,descriptive_point_only
K562,primary_ge30,source_delta_dispersion,worst_seed_error,566,0.6651478267035169,descriptive_point_only
K562,primary_ge30,negative_log_source_cells,family_rms_error,566,0.2175362249425509,descriptive_point_only
K562,primary_ge30,negative_log_source_cells,family_centroid_rmse,566,0.21129592525657148,descriptive_point_only
K562,primary_ge30,negative_log_source_cells,worst_seed_error,566,0.22383052913106247,descriptive_point_only
K562,primary_ge30,support_context_deficit,family_rms_error,566,0.01626760098416458,descriptive_point_only
K562,primary_ge30,support_context_deficit,family_centroid_rmse,566,0.011807778332921034,descriptive_point_only
K562,primary_ge30,support_context_deficit,worst_seed_error,566,0.02243588069647898,descriptive_point_only
RPE1,primary_ge30,safeconf_e201_risk,family_rms_error,416,0.2867586560964389,descriptive_point_only
RPE1,primary_ge30,safeconf_e201_risk,family_centroid_rmse,416,0.2840986524959829,descriptive_point_only
RPE1,primary_ge30,safeconf_e201_risk,worst_seed_error,416,0.29076733052853365,descriptive_point_only
RPE1,primary_ge30,predicted_magnitude,family_rms_error,416,0.5825322874230736,descriptive_point_only
RPE1,primary_ge30,predicted_magnitude,family_centroid_rmse,416,0.5821519059080816,descriptive_point_only
RPE1,primary_ge30,predicted_magnitude,worst_seed_error,416,0.5831425313873091,descriptive_point_only
RPE1,primary_ge30,family_disagreement,family_rms_error,416,0.03965352277955207,descriptive_point_only
RPE1,primary_ge30,family_disagreement,family_centroid_rmse,416,0.035706522826224656,descriptive_point_only
RPE1,primary_ge30,family_disagreement,worst_seed_error,416,0.04577763183336556,descriptive_point_only
RPE1,primary_ge30,family_radius,family_rms_error,416,0.01641074536107907,descriptive_point_only
RPE1,primary_ge30,family_radius,family_centroid_rmse,416,0.012545755795734128,descriptive_point_only
RPE1,primary_ge30,family_radius,worst_seed_error,416,0.02255919083083857,descriptive_point_only
RPE1,primary_ge30,model_source_gap,family_rms_error,416,0.20594992032324097,descriptive_point_only
RPE1,primary_ge30,model_source_gap,family_centroid_rmse,416,0.20549402924370422,descriptive_point_only
RPE1,primary_ge30,model_source_gap,worst_seed_error,416,0.20655333008847787,descriptive_point_only
RPE1,primary_ge30,source_delta_dispersion,family_rms_error,416,0.5802268815331236,descriptive_point_only
RPE1,primary_ge30,source_delta_dispersion,family_centroid_rmse,416,0.5796237316207585,descriptive_point_only
RPE1,primary_ge30,source_delta_dispersion,worst_seed_error,416,0.5804909471663978,descriptive_point_only
RPE1,primary_ge30,negative_log_source_cells,family_rms_error,416,0.049356273079305714,descriptive_point_only
RPE1,primary_ge30,negative_log_source_cells,family_centroid_rmse,416,0.04681008603796482,descriptive_point_only
RPE1,primary_ge30,negative_log_source_cells,worst_seed_error,416,0.05309362559347293,descriptive_point_only
RPE1,primary_ge30,support_context_deficit,family_rms_error,416,-0.06396518815584659,descriptive_point_only
RPE1,primary_ge30,support_context_deficit,family_centroid_rmse,416,-0.06474865351396844,descriptive_point_only
RPE1,primary_ge30,support_context_deficit,worst_seed_error,416,-0.0619611545914982,descriptive_point_only
hepg2,primary_ge30,safeconf_e201_risk,family_rms_error,405,0.5632982345853633,descriptive_point_only
hepg2,primary_ge30,safeconf_e201_risk,family_centroid_rmse,405,0.5586336958819036,descriptive_point_only
hepg2,primary_ge30,safeconf_e201_risk,worst_seed_error,405,0.565961801434659,descriptive_point_only
hepg2,primary_ge30,predicted_magnitude,family_rms_error,405,0.777139208173691,descriptive_point_only
