scope,replicate,rho_safeconf,rho_magnitude,rho_disagreement,partial_safeconf_given_magnitude,utility_safeconf,utility_magnitude,delta_utility_safeconf_minus_magnitude,delta_rho_safeconf_minus_magnitude,mean_delta_family_centroid_minus_control,mean_delta_family_centroid_minus_official_general,mean_delta_family_centroid_minus_source
pooled,10,0.41841068338278653,0.592915986840853,0.25940256387733057,0.2945812079392564,0.34989638116118305,0.5630257184703913,-0.21312933730920824,-0.17450530345806647,-0.008546653985818992,-0.002541872897479424,-0.002844751436026734
pooled,11,0.4310331268253102,0.600862857006397,0.2789249121279208,0.2870547551158373,0.31232567735284056,0.5617931991452929,-0.24946752179245235,-0.16982973018108677,-0.009280788796334507,-0.0025900382163429503,-0.002886538358621829
pooled,12,0.3852741994855614,0.5972563666658492,0.23486482445054505,0.23985973900812485,0.2949199505641128,0.5448796153571533,-0.24995966479304055,-0.21198216718028784,-0.008683697786246992,-0.002566200413747116,-0.0029704932213260563
pooled,13,0.3606953530417215,0.6075818880898906,0.21537211828449712,0.23711166558593208,0.24262354957365487,0.5480856039837687,-0.30546205441011387,-0.24688653504816904,-0.008377389780783572,-0.002476531343572283,-0.0030169788623292336
pooled,14,0.39432454209335055,0.6084604384804281,0.23985934430476513,0.23476005353979004,0.3050171851163635,0.5641810034183725,-0.259163818302009,-0.21413589638707753,-0.008878901664759945,-0.0025107773588846647,-0.0027185212636493443
pooled,15,0.44779947180138774,0.6405346351302329,0.2640637370851134,0.2754285326294719,0.35399723157068047,0.6021945947759877,-0.24819736320530722,-0.19273516332884516,-0.008794948227301006,-0.0025079764287402897,-0.002876647874856503
pooled,16,0.37589423574094466,0.6068090485764454,0.22404762469673978,0.2242418404809654,0.25703825046536455,0.5953506045375263,-0.33831235407216176,-0.2309148128355007,-0.008493458615326828,-0.002665721056918456,-0.0032619912929727603
pooled,17,0.41681844941649027,0.6246995887319489,0.19506361336562078,0.24102508868978825,0.26942417072733427,0.6283908054328351,-0.35896663470550083,-0.2078811393154586,-0.008058506331183001,-0.0025450295080554357,-0.0026658419503262573
pooled,18,0.41177698200398477,0.6068548190303162,0.2549631308929637,0.2764770127778413,0.3072298235657135,0.5711969672536634,-0.26396714368794993,-0.19507783702633147,-0.008517609411864122,-0.002637859768657216,-0.0029294687358326584
pooled,19,0.44782114019520497,0.6528993035661688,0.2820201518628664,0.2970443750459677,0.3542595819938318,0.6239502708087913,-0.2696906888149595,-0.2050781633709638,-0.009142407144237799,-0.0024838024303170734,-0.002677451960296665
pooled,20,0.408804552207761,0.6365518439012289,0.2029169596559861,0.2630757647408136,0.2888033067596612,0.6320823480331256,-0.34327904127346437,-0.22774729169346786,-0.008194412277401884,-0.0028113454176049634,-0.0031185008164144514
pooled,21,0.40276106004896406,0.6237121627054363,0.25254833467246574,0.23355514634667546,0.36180458855379566,0.5976310121629463,-0.23582642360915068,-0.22095110265647222,-0.007891497252522847,-0.0026809599311172962,-0.0030589443674399154
pooled,22,0.4707430024761653,0.6655903311595511,0.28175229715511374,0.2717712561524057,0.3315281606176306,0.6342587999008851,-0.3027306392832545,-0.19484732868338583,-0.008329737269356968,-0.0024763644657900025,-0.0028144623380373206
pooled,23,0.4214274258457568,0.6001355905975689,0.23278947025291172,0.2811299052083537,0.3675377720252412,0.5572999786504086,-0.1897622066251674,-0.17870816475181212,-0.008569143991884373,-0.002546373225284258,-0.0029724904057321622
pooled,24,0.43653574044490157,0.6069756566728797,0.2997159347627012,0.2889613195190666,0.3196644878302638,0.5700906910260324,-0.2504262031957686,-0.1704399162279781,-0.008426349190527344,-0.0025683060041795515,-0.0028925725892068386
pooled,25,0.42620925550871563,0.6302542745258699,0.2277954315946054,0.2673291637200373,0.32364102537475437,0.6107109615238561,-0.2870699361491017,-0.20404501901715427,-0.008431343110425326,-0.002626573392987129,-0.0028781721091697392
pooled,26,0.47813807829139415,0.6481400418949667,0.27090570842130035,0.28019060393139517,0.35862090513080014,0.6362921515423273,-0.2776712464115272,-0.1700019636035725,-0.008455877300496526,-0.0024289581252957644,-0.002897117592361006
pooled,27,0.37264167383692953,0.5876154934236619,0.2214125073083958,0.21681462172636798,0.3019776400352397,0.6059595054757461,-0.30398186544050637,-0.2149738195867324,-0.007968703943916387,-0.002621017367802103,-0.0031943046230511994
pooled,28,0.40327484546987175,0.5967235123592578,0.2451513135022059,0.25817900282353506,0.29054394867565025,0.592104280617022,-0.3015603319413718,-0.19344866688938606,-0.008695634752092484,-0.002679339610242418,-0.003062878773578286
pooled,29,0.39686134531677986,0.6168174018938903,0.17994368579440265,0.2507911021253317,0.2488063463745901,0.6035694349590655,-0.35476308858447536,-0.21995605657711048,-0.008627459835665607,-0.002570553183970719,-0.0028185164840028557
pooled,30,0.39847190786586595,0.6021226001153924,0.252482268287111,0.2510013543490945,0.3311108187431725,0.6028580818176624,-0.27174726307448993,-0.20365069224952648,-0.00856706972196256,-0.00262567704884306,-0.002969047795944094
pooled,31,0.4099743136672703,0.6101961525685976,0.18868218202307818,0.2389719173062428,0.29420218202393933,0.5765215770872668,-0.2823193950633275,-0.20022183890132733,-0.008103361138679765,-0.002598652803722361,-0.0030107998703001087
pooled,32,0.47159339462322447,0.6360180470561994,0.2805295659933317,0.310153727813441,0.3375502732259743,0.601412038340149,-0.2638617651141747,-0.16442465243297488,-0.0079555347832554,-0.002596553855911046,-0.0029084245400685807
pooled,33,0.39440963364837706,0.5830501889649891,0.23456308328538691,0.24406077226312664,0.32311985675289445,0.5588628216472927,-0.23574296489439828,-0.188640555316612,-0.008180196962847046,-0.0026368090174163283,-0.0031202805582797896
pooled,34,0.4118826963937622,0.5855695439267948,0.2561661992289205,0.2570363192150023,0.37649030999582994,0.6182951218431397,-0.2418048118473098,-0.17368684753303265,-0.0077056888074559194,-0.0026321525843498303,-0.003023675826320559
pooled,35,0.4034182391130751,0.6076122840179735,0.1992409864166291,0.23980399055039228,0.3287811113952751,0.5691537148952162,-0.24037260349994105,-0.2041940449048984,-0.00868232728234794,-0.0025647678719693937,-0.0030190689155565145
pooled,36,0.4016316111167946,0.6251150829197164,0.25046602771112686,0.2334982915533085,0.28665044195070827,0.5959348107400174,-0.30928436878930915,-0.22348347180292183,-0.007989042646239211,-0.0024928157696697513,-0.0029041229475588897
pooled,37,0.47209044986987747,0.6298080814974758,0.24543095767406262,0.30122643440605396,0.30768415105257196,0.604829629334656,-0.29714547828208404,-0.15771763162759833,-0.009227326432215665,-0.002522023425422105,-0.002844055553651003
pooled,38,0.3814470930543069,0.5940151552443523,0.23245752122540567,0.20899400809669488,0.3206484832094036,0.6292218843130488,-0.30857340110364523,-0.21256806219004543,-0.008747451046810493,-0.00245885631876481,-0.00288906884179628
pooled,39,0.40750042588157775,0.6275522511480438,0.23191957909909328,0.23619035141401534,0.3145589890950997,0.6147819194800042,-0.30022293038490444,-0.22005182526646605,-0.008431611284509671,-0.0026621136538044106,-0.0029946561611744163
pooled,40,0.4242966714149586,0.6360949208726735,0.303165391879474,0.24366843852429526,0.2846014764167798,0.6101205144663158,-0.32551903804953597,-0.21179824945771492,-0.008248549204005588,-0.0026042262217450193,-0.0030498903147120043
pooled,41,0.4043161924579986,0.6167838963198171,0.2549851971461359,0.234688024049207,0.31624083262483693,0.6041851174791186,-0.2879442848542817,-0.2124677038618185,-0.008604917285392462,-0.002692512278776127,-0.0030148068430078836
pooled,42,0.4187884245657054,0.6160322699830234,0.21974251713892962,0.2440596518067626,0.3648748816256603,0.5865862717499831,-0.22171139012432284,-0.197243845417318,-0.009069415359233416,-0.0025207886125690575,-0.002867721928909268
pooled,43,0.3855397240045355,0.636479229987308,0.23231118712043813,0.20539201153734943,0.2864669261237109,0.6361802801629549,-0.34971335403924403,-0.2509395059827725,-0.008516870659446974,-0.0025932582223986036,-0.0028408647878763182
pooled,44,0.38644749519883087,0.6150765263571388,0.2006642162703256,0.229582648531002,0.28714297698905533,0.5697651595544563,-0.28262218256540095,-0.22862903115830796,-0.007792951836037455,-0.0026914478265696153,-0.003034408173192872
pooled,45,0.4054321375730437,0.6188677386749667,0.2475897395782181,0.24724618470523096,0.2852476003388162,0.6224408111599807,-0.33719321082116455,-0.213435601101923,-0.008712256134721133,-0.002609395831592382,-0.003072781291057026
pooled,46,0.3541708965180084,0.5901102283863232,0.22842064103783732,0.1831904106766614,0.3171797627593829,0.5551356616268761,-0.2379558988674932,-0.23593933186831478,-0.008501262640915195,-0.002622211634358617,-0.0031136617056665324
pooled,47,0.4240273170405261,0.6748745635719678,0.24764220862568942,0.23480462398592775,0.29410494755201155,0.6437828453710595,-0.3496778978190479,-0.25084724653144175,-0.009263374513647489,-0.0024903636285533433,-0.0028306074869789274
pooled,48,0.423358994877526,0.5921853814078484,0.17459864718545678,0.2348425266304261,0.3858025597047052,0.6281099527286865,-0.24230739302398135,-0.1688263865303224,-0.007961826460602563,-0.002597827779254393,-0.00296831951589803
pooled,49,0.4020033324702537,0.6238346673847759,0.2207380506661902,0.2325834728379772,0.3403731593450957,0.5946797048192901,-0.2543065454741944,-0.22183133491452217,-0.008460786636384618,-0.002666685040249591,-0.002950999691079517
pooled,50,0.4215315732442977,0.6697600111870475,0.2014685922466506,0.23864021363248347,0.31142700319495176,0.6220737930821721,-0.3106467898872204,-0.24822843794274985,-0.009530547964520991,-0.002503603914467383,-0.0028563096899818933
pooled,51,0.4169667247275011,0.5959751264334854,0.21846420749978337,0.27185531285350273,0.35644074171158463,0.5831811953396362,-0.22674045362805156,-0.17900840170598425,-0.00870728276438628,-0.0025872021532209605,-0.003058285599443458
pooled,52,0.41557646347657706,0.5934222405177217,0.2500099520916861,0.2636944467325913,0.35737439933159276,0.6042260945455141,-0.24685169521392136,-0.17784577704114468,-0.008972764155542722,-0.0026267841024584884,-0.0027282336686785856
pooled,53,0.44542009252500225,0.628375371152217,0.28854692043644636,0.25686787259234933,0.3351868109641161,0.5757012705173763,-0.24051445955326017,-0.18295527862721472,-0.008121634586652195,-0.0026819825952752235,-0.0029324168628113195
pooled,54,0.43479953298780366,0.6366012566845671,0.2505986412400318,0.24094627220467982,0.36803576729938237,0.5782956155266049,-0.21025984822722255,-0.20180172369676347,-0.007853308155832699,-0.002547489438545865,-0.002781111645846126
pooled,55,0.4131925373094726,0.5924196216562483,0.22921666247027883,0.258108998412969,0.33495454708010647,0.5512521934852661,-0.21629764640515964,-0.1792270843467757,-0.008955640038847395,-0.0024379767130960294,-0.0028107417861323843
pooled,56,0.35418686436737357,0.6393542154973989,0.221868192513645,0.20869608389461533,0.24893669598167104,0.5968606914697715,-0.3479239954881005,-0.28516735113002534,-0.008849221007685898,-0.0026183252328948903,-0.0028635963773503974
pooled,57,0.3873103773687803,0.6234058935398434,0.2426874717622875,0.2706439739300737,0.3032183694490278,0.6244041695964915,-0.3211858001474637,-0.2360955161710631,-0.008845043199328039,-0.002490403890887576,-0.002564701734333184
pooled,58,0.38570528690435874,0.5934233278292681,0.1872909519807911,0.24759726227178416,0.38104939524105613,0.5835051228125047,-0.20245572757144853,-0.20771804092490936,-0.008604236002480906,-0.0025793288776560764,-0.002970457944390002
pooled,59,0.4337072396012675,0.6426255819692438,0.2762826261950343,0.28763692651897077,0.35805763502635857,0.6354235445449673,-0.27736590951860873,-0.2089183423679763,-0.00826273499764518,-0.0026284980300891546,-0.0028112995226867096
pooled,60,0.431197847810938,0.6057209038767988,0.26696556469202165,0.25504025803805636,0.35936003877431655,0.6410478489143258,-0.2816878101400092,-0.17452305606586077,-0.008401603015645343,-0.002562055898213473,-0.0030014316035509823
pooled,61,0.42980991744116104,0.6204085629952795,0.26867158530351615,0.24750961152667472,0.3570403017391337,0.5885530889504281,-0.23151278721129442,-0.19059864555411843,-0.00857398364240249,-0.002616370873587788,-0.0028817626720439356
pooled,62,0.44334526042222505,0.619469288017326,0.29370544988544495,0.28368872622855656,0.37966161381625335,0.5844051816854994,-0.20474356786924602,-0.17612402759510098,-0.008893581075494955,-0.002541698102521109,-0.002814138587188484
pooled,63,0.3711653655467253,0.612199009933734,0.2243756923812566,0.23446572383785216,0.24599209593480043,0.5777245616361597,-0.3317324657013593,-0.2410336443870087,-0.007926463363568661,-0.0025703480496833226,-0.0028686125366306006
pooled,64,0.41047950442681835,0.6036907760205529,0.23399470534035524,0.2801830585794585,0.3521774340895215,0.5600540870435233,-0.20787665295400182,-0.19321127159373452,-0.00902312311756743,-0.002573655597314613,-0.002955836481242235
pooled,65,0.3728281651686654,0.6411246833566315,0.20259008913821352,0.22107751840567363,0.25823932358657575,0.5850307550241798,-0.32679143143760403,-0.2682965181879661,-0.009000344018587469,-0.002579697549494953,-0.0028265679549747858
pooled,66,0.42930807280800815,0.6066657205197864,0.2410603803186252,0.280767521297223,0.3001215231048274,0.5938637663646071,-0.2937422432597797,-0.17735764771177825,-0.008181545697797984,-0.0027002063467874925,-0.002974777949762154
pooled,67,0.4293243545190822,0.6270360158835124,0.23452677934209948,0.28175921020586625,0.33042109508226053,0.6047700433888934,-0.27434894830663287,-0.19771166136443025,-0.008076918456893149,-0.0026405392402199055,-0.002901761951479144
pooled,68,0.433503840605312,0.6380747878403158,0.25995113018106303,0.24443869369923546,0.3099046842599765,0.6030907695706649,-0.29318608531068835,-0.2045709472350038,-0.008683178101034444,-0.0024781650153553633,-0.002838623109999206
pooled,69,0.42107291928655766,0.620853683521736,0.2441007169858397,0.273577076313557,0.35156209447493847,0.5921433475275141,-0.2405812530525756,-0.19978076423517832,-0.009118919613939456,-0.0024674531054622636,-0.0026898549267527845
pooled,70,0.4301943517065223,0.6098312854879387,0.26867525655425595,0.286978290731464,0.33782602588575195,0.606713930501338,-0.2688879046155861,-0.17963693378141643,-0.00897463453044202,-0.0024939678574654183,-0.002905583046077438
pooled,71,0.3681394594197774,0.5999671854118891,0.21607238850041294,0.23424072122411818,0.3295802299052347,0.561610307742791,-0.23203007783755625,-0.2318277259921117,-0.007952941043575166,-0.0027263681956027153,-0.0030260422916494815
pooled,72,0.40887624283319607,0.5997362902078109,0.2580087667883823,0.273856871810846,0.3256139265769859,0.6220184249049294,-0.2964044983279435,-0.19086004737461487,-0.007760571972366926,-0.0025718365120356163,-0.002842765993920851
pooled,73,0.3285857872548754,0.5840295979711815,0.26472959495726106,0.1857510784719873,0.25658783585692524,0.5899351520754048,-0.3333473162184796,-0.25544381071630606,-0.00845069173506633,-0.0026534759122075714,-0.0030604960624077532
pooled,74,0.41710044239387717,0.6084538673422459,0.2760316260367715,0.25086320222826747,0.37974863283606997,0.5947267126446589,-0.21497807980858896,-0.19135342494836877,-0.007911307665978038,-0.002591716156072927,-0.0029928851151751895
pooled,75,0.3840867220210128,0.6016323219944656,0.2132120600395966,0.25135196220278627,0.2485160251000178,0.5872716668682136,-0.33875564176819584,-0.2175455999734528,-0.008613702360715764,-0.002681260797450488,-0.0029762253746882473
pooled,76,0.3910729501181695,0.6251849962136337,0.221136175280184,0.23435824074648562,0.28342636920573977,0.6070359792540226,-0.32360961004828287,-0.23411204609546415,-0.008482285710780385,-0.002602164768900742,-0.002870246010262885
pooled,77,0.3939596848253197,0.6538032588750177,0.2442805568473496,0.22522008863074983,0.28993747103510714,0.6383720558743654,-0.34843458483925827,-0.259843574049698,-0.008779468293313233,-0.0026950273334976488,-0.0027491777210054626
pooled,78,0.38046733716543263,0.6272923540881788,0.20901080561834334,0.20900592728833495,0.3347026621760293,0.6226737678094031,-0.2879711056333738,-0.24682501692274622,-0.008789797226152666,-0.0026303109258484863,-0.0030101790871435875
pooled,79,0.42357961606799144,0.6053787311050024,0.25557720623993513,0.27584145118719294,0.3763335021763276,0.5729948441713582,-0.19666134199503055,-0.18179911503701096,-0.00834204248848065,-0.0025749831575892436,-0.002808743108428527
pooled,80,0.3728382470055084,0.6000480970777642,0.23512278257409763,0.21793055155362337,0.2991992340134272,0.5964587249772034,-0.29725949096377624,-0.2272098500722558,-0.008164542894712374,-0.0026429848766042407,-0.0029804887467163857
pooled,81,0.3743101857479515,0.5870822551613457,0.20272705847761452,0.2165373876566049,0.26513911712230787,0.553479531830148,-0.2883404147078401,-0.21277206941339422,-0.008819374796314885,-0.002439119301465308,-0.0027851689966971994
pooled,82,0.39253609313671345,0.6139388529907572,0.18888566148196562,0.2662594857165614,0.3136711286180791,0.6282497244037286,-0.3145785957856495,-0.22140275985404378,-0.00885126709655343,-0.002639752918534482,-0.0029756047240070897
pooled,83,0.40873445495983596,0.6253896212915602,0.19114573293316095,0.23550589143226394,0.3136383511299409,0.6122331984550538,-0.2985948473251129,-0.2166551663317242,-0.00803362185763195,-0.002676724877688695,-0.0030574875866746544
pooled,84,0.355375939120827,0.5901394057024507,0.22063104706470044,0.2393400749134826,0.2844375149996655,0.5838682620297566,-0.2994307470300911,-0.23476346658162373,-0.00814221642484667,-0.002644148332615517,-0.0030800974171773994
pooled,85,0.3432775821178615,0.5932467983373104,0.19041787069725363,0.21186905867130543,0.238435532099998,0.5444921130998878,-0.30605658099988975,-0.2499692162194489,-0.00891596199815493,-0.0025791795689826145,-0.0029736236700783464
pooled,86,0.4326755491599913,0.5762823226962668,0.23839140658043362,0.28185610760362106,0.3576914023951793,0.5670844239674399,-0.20939302157226053,-0.1436067735362755,-0.009395526045528518,-0.0023744082036619486,-0.0026091215082403208
pooled,87,0.4158234992040585,0.5853092900198666,0.21375266621981173,0.2892081622892717,0.3108007290419542,0.5647247124987207,-0.2539239834567665,-0.16948579081580817,-0.007902844375661341,-0.002656832478045121,-0.0030064512020338227
pooled,88,0.38597561789909085,0.6315822783927821,0.21098530395882806,0.2236680091709765,0.278360636605557,0.6042832020097316,-0.32592256540417464,-0.2456066604936913,-0.009039088437523518,-0.0026727121887187063,-0.0029898407536390814
pooled,89,0.457109825912748,0.6324355500227606,0.2663215934727113,0.30374070797520253,0.32925985973918015,0.6139997057349365,-0.2847398459957563,-0.17532572411001263,-0.008570420878207434,-0.0027118890068395657,-0.002812116073674066
pooled,90,0.37048400984228586,0.5951816146082732,0.22788468847801632,0.24959186724734225,0.2684140199173546,0.5983351335352051,-0.3299211136178505,-0.22469760476598738,-0.008407377203656384,-0.002651941281503689,-0.002918654471930069
pooled,91,0.3761567910356765,0.575189798515568,0.1786553671483736,0.24462707077474877,0.23328977065446113,0.5466740135486128,-0.3133842428941517,-0.19903300747989144,-0.009186665190378222,-0.0025096704900176505,-0.0029966428981428924
pooled,92,0.4447882322000704,0.6177547507887947,0.2639662013168381,0.2813677454100543,0.3296917972575502,0.560768360747097,-0.2310765634895468,-0.1729665185887243,-0.008451181799208202,-0.002565040270049705,-0.0029248394589100274
pooled,93,0.3956206586728312,0.5725453072209803,0.26152702816834145,0.2608509590272327,0.3549311191246971,0.6093465681479567,-0.25441544902325963,-0.1769246485481491,-0.008024881152470091,-0.002710640631903423,-0.0030739147899331034
pooled,94,0.3670762318959024,0.6123885033819176,0.22246760411731467,0.22378562445756314,0.2708080222517517,0.5907266319720716,-0.31991860972031994,-0.24531227148601525,-0.00783691078155402,-0.002639536959150478,-0.002832824652923121
pooled,95,0.3969851285783975,0.6275178589656587,0.23970213115301742,0.2558308878372119,0.36870556829954104,0.5894628571617927,-0.22075728886225165,-0.2305327303872612,-0.009181043079773642,-0.002610381329056818,-0.0028686095128670837
pooled,96,0.3877057028544699,0.6381631524767745,0.22628286253228053,0.23044583339180713,0.2679460479279988,0.5998652289064863,-0.3319191809784875,-0.25045744962230454,-0.008631439725924197,-0.0026599139207435624,-0.0031307980933994377
pooled,97,0.4775203755302976,0.6335980553469738,0.2888529747883168,0.28001078068010266,0.37435204882520007,0.6017237282400376,-0.22737167941483755,-0.1560776798166762,-0.008599355735293808,-0.002698021116789469,-0.003088785441563143
pooled,98,0.4034462395870654,0.6172608652888939,0.25430088911666976,0.2578559319354231,0.3275873229778537,0.6090237869153422,-0.2814364639374885,-0.21381462570182852,-0.009825230075893325,-0.002547137216218999,-0.0028372767796909894
pooled,99,0.4069426614575324,0.6425124705343859,0.2627293536907399,0.22871569735108987,0.3240609171984902,0.6213259771719974,-0.2972650599735073,-0.2355698090768535,-0.0084796089475156,-0.002596008499476096,-0.0029782523429999768
pooled,100,0.43151537840295395,0.6023880108712354,0.25718872614850435,0.26162678775807446,0.33867053858906576,0.6002726602593826,-0.2616021216703169,-0.17087263246828144,-0.008597978359121688,-0.00255220007150522,-0.002985665893232027
pooled,101,0.4112751311964029,0.6227959943626107,0.21395260266047936,0.25493763752637544,0.2963826245364901,0.5830167978313121,-0.286634173294822,-0.21152086316620777,-0.008044868928643936,-0.0026271499136168784,-0.0029286598116193534
pooled,102,0.3622735829184644,0.6212112117232617,0.2048593116569453,0.21875510372694618,0.2881871469338295,0.5951361026415513,-0.30694895570772174,-0.25893762880479726,-0.00851710840842399,-0.002562142443989375,-0.002924703499982368
pooled,103,0.38654058663461816,0.5969546304967295,0.17518614366502006,0.24425144859835238,0.30591331844389563,0.5899651820312789,-0.28405186358738327,-0.21041404386211132,-0.00814012215242438,-0.0026108064232623985,-0.0028598755977523554
pooled,104,0.38102376320348486,0.6165013515799387,0.24540491635034015,0.2322193894047322,0.28726805568235386,0.6170509740731536,-0.3297829183907997,-0.23547758837645383,-0.008108108019262806,-0.0027766787013830574,-0.0032905372328400286
pooled,105,0.35753629338556553,0.5811472083105214,0.20233966959656338,0.2621114698814261,0.2491922685302271,0.5057898910759026,-0.2565976225456754,-0.22361091492495583,-0.0097607636193319,-0.0026356617166719337,-0.002916944757217537
pooled,106,0.37471001825893674,0.5739617741804331,0.20695554712207556,0.22917248304389007,0.23941540070703804,0.5880702940502749,-0.34865489334323685,-0.1992517559214964,-0.008682574010544357,-0.002605823578126068,-0.0031432302982685014
pooled,107,0.38215762968952655,0.612868807632495,0.2140456395782903,0.22765239860242356,0.32739847475674816,0.6190749153370488,-0.2916764405803007,-0.23071117794296842,-0.008926623158072293,-0.002723278347513961,-0.003257917197580875
pooled,108,0.3749300813279319,0.576901798781523,0.22509779151894133,0.24234451870864343,0.2620391242839376,0.5403163646783459,-0.27827724039440827,-0.20197171745359116,-0.007469127009421286,-0.002818456368924742,-0.003094226286841806
pooled,109,0.40983944063073496,0.6060800350335098,0.236091016317521,0.2893742804373767,0.3475732243512963,0.5756073878839859,-0.22803416353268963,-0.19624059440277486,-0.008455632572622477,-0.002677964274470947,-0.0028928414844535412
pooled,110,0.41710135980009966,0.6039218990996811,0.2510710251780745,0.2628286838624644,0.3423604468546103,0.608429024071023,-0.26606857721641264,-0.18682053929958142,-0.008316806822822558,-0.002539635148691596,-0.002947300619176675
pooled,111,0.3964014584725807,0.639755439078572,0.23401871469300992,0.23009206365191381,0.28532092167272466,0.6227307230304948,-0.33740980135777016,-0.24335398060599134,-0.008999944305741615,-0.0025713486028010545,-0.0029880641634784147
pooled,112,0.43071554626271713,0.6342445480963188,0.22061212890134763,0.2541018243989069,0.3149171755222978,0.5798956528576301,-0.2649784773353323,-0.20352900183360167,-0.008510255116137233,-0.0025101570457945438,-0.003035636003912983
pooled,113,0.4589301197688086,0.6459859333724299,0.2718004301388025,0.2607275556511755,0.41283175524657806,0.6843285465465895,-0.2714967913000114,-0.18705581360362133,-0.007564849274144248,-0.0025942185987350786,-0.002698166027900187
pooled,114,0.3413185529581394,0.5893036271492075,0.25520348046118285,0.1985374312296509,0.2789794632229356,0.5782090279774362,-0.29922956475450063,-0.24798507419106808,-0.0084603592052396,-0.002724559385115824,-0.003128003246650689
pooled,115,0.4323878728866752,0.6328455370241792,0.22477406262230584,0.2627221465077698,0.3599937046354041,0.6171075569945804,-0.25711385235917633,-0.20045766413750404,-0.008594899880122481,-0.002629947349299483,-0.0029031529402688216
pooled,116,0.4009421267667935,0.5957215250084773,0.22367483860072587,0.253151129212914,0.3011099034026996,0.5770998885856854,-0.2759899851829858,-0.19477939824168378,-0.008832616839275276,-0.002664850506704038,-0.003054614908229883
pooled,117,0.3960906644792691,0.6245207839024046,0.22245395319397993,0.22037533554531127,0.2782493025071545,0.591686775033156,-0.3134374725260015,-0.2284301194231355,-0.007962651395446099,-0.0025842510498835696,-0.002954266010364383
pooled,118,0.39162469266740063,0.6038151475401498,0.20230124427516144,0.23774926902874574,0.26540607882181844,0.6070325210541893,-0.3416264422323708,-0.21219045487274912,-0.008366088555568559,-0.002711546367468235,-0.0030234918489818485
pooled,119,0.38462877189568023,0.611351448527203,0.17988805642965894,0.23699884043086994,0.2962282060614611,0.6228072383803436,-0.32657903231888247,-0.2267226766315228,-0.008655847990345807,-0.0025996336644991676,-0.0029234300447458774
pooled,120,0.4569985185147306,0.6284148572715537,0.22136424612062847,0.2955948993252203,0.3641061577780673,0.6435759955904412,-0.2794698378123739,-0.17141633875682305,-0.008154683231479777,-0.002528507117004348,-0.002876503282670068
pooled,121,0.38372582935374583,0.6483074007478495,0.2368192739171892,0.21789435335166235,0.28039218681289346,0.5906136279310902,-0.3102214411181967,-0.2645815713941037,-0.008543230056503945,-0.002625269147207836,-0.0029928661106785786
pooled,122,0.40949536531218617,0.6269933472833421,0.24676853810984448,0.29355838987095034,0.38889213923540483,0.6368747466706004,-0.24798260743519557,-0.21749798197115594,-0.0089836190181332,-0.002538826919521779,-0.0026619367433550695
