scope,replicate,rho_safeconf,rho_magnitude,rho_disagreement,partial_safeconf_given_magnitude,utility_safeconf,utility_magnitude,delta_utility_safeconf_minus_magnitude,delta_rho_safeconf_minus_magnitude,mean_delta_family_centroid_minus_control,mean_delta_family_centroid_minus_official_general,mean_delta_family_centroid_minus_source
pooled,0,0.45673709839943444,0.6271512271364007,0.25522659903114936,0.29684163028697164,0.3758866045598376,0.6169548503235114,-0.2410682457636738,-0.17041412873696626,-0.007735420105668676,-0.0026403476231976674,-0.0030256994461748303
pooled,1,0.3759534977679246,0.5988014766473625,0.1963670502799397,0.24114929413602665,0.24754676204348164,0.5656455331309035,-0.31809877108742185,-0.2228479788794379,-0.008820341532639598,-0.002603273527031387,-0.002834727396599067
pooled,2,0.402249743695504,0.6146960861180066,0.220414471143474,0.22639602968754097,0.32640038253369524,0.6007754243483694,-0.27437504181467415,-0.21244634242250265,-0.008863819922097206,-0.002574093992636569,-0.002806238255446711
pooled,3,0.40807336107633746,0.6023688663708553,0.22860656859295436,0.24482794905686472,0.36453717384153206,0.5824909899738315,-0.21795381613229947,-0.19429550529451783,-0.00933033648731593,-0.0023283940985518487,-0.0027265044675497878
pooled,4,0.4133436574064616,0.6538454496028647,0.24869940943554109,0.24216047884488667,0.3435983339186404,0.6344622893376428,-0.2908639554190024,-0.2405017921964031,-0.009398599111663485,-0.002610164256921016,-0.002920093006080088
pooled,5,0.43753328977128814,0.6438667185664535,0.2577199502500671,0.27045870215821144,0.3507172323640725,0.6297687997164997,-0.2790515673524272,-0.20633342879516536,-0.008760150984738098,-0.0023624054190415863,-0.002478820068646347
pooled,6,0.40523436138311897,0.610248653745524,0.24031098679706103,0.24931741138553587,0.2824079476935721,0.5640877311507108,-0.2816797834571387,-0.20501429236240498,-0.00821250992156275,-0.0026399247703315274,-0.0030328643124458705
pooled,7,0.3933743045622216,0.6069817011466029,0.24994597190657197,0.2594002252220191,0.2931054191807001,0.5536572813081209,-0.26055186212742076,-0.21360739658438127,-0.008770305166506034,-0.0026497567826141172,-0.0027170567630391577
pooled,8,0.38777917015911,0.6344225466109991,0.23542303574946757,0.2535970746302985,0.2629675580688912,0.6270629145154885,-0.36409535644659724,-0.24664337645188905,-0.009101970823243401,-0.0026888368555477273,-0.0029170048823842737
pooled,9,0.36753247292810415,0.5878867424032072,0.1977852591754849,0.24391627140699976,0.31717825389338444,0.6192362920819898,-0.3020580381886054,-0.220354269475103,-0.008031886612914376,-0.002554274718996723,-0.002694984465800831
