scope,predictor,baseline,outcome,n_tasks,n_condition_clusters,predictor_mean_error,baseline_mean_error,task_win_rate,bootstrap_unit,estimate,ci95_lower,ci95_upper,bootstrap_valid
pooled,four_seed_family_centroid,official_general_baseline,centroid_rmse,1808,575,0.06108216312104159,0.06367776234636296,0.9120575221238938,perturbation_condition,-0.0025955992253213767,-0.0027670905614502095,-0.002429875350694203,5000
pooled,four_seed_family_centroid,batch_matched_control,centroid_rmse,1808,575,0.06108216312104159,0.06957406798321437,0.7560840707964602,perturbation_condition,-0.008491904862172783,-0.009348838796601486,-0.007643985210539983,5000
pooled,four_seed_family_centroid,source_transfer,centroid_rmse,1808,575,0.06108216312104159,0.06400247252893211,0.7234513274336283,perturbation_condition,-0.0029203094078905155,-0.0031989522408172985,-0.0026421572815013127,5000
K562,four_seed_family_centroid,official_general_baseline,centroid_rmse,566,566,0.05402683251553752,0.05840021444627754,0.9487632508833922,perturbation_condition,-0.004373381930740015,-0.004734638393135655,-0.00402079037823662,5000
K562,four_seed_family_centroid,batch_matched_control,centroid_rmse,566,566,0.05402683251553752,0.05229062802582063,0.5159010600706714,perturbation_condition,0.0017362044897168806,0.0004888381391904658,0.003072112903091113,5000
K562,four_seed_family_centroid,source_transfer,centroid_rmse,566,566,0.05402683251553752,0.05927950542326486,0.8480565371024735,perturbation_condition,-0.005252672907727338,-0.005778251086902221,-0.004707615461966715,5000
RPE1,four_seed_family_centroid,official_general_baseline,centroid_rmse,416,416,0.07883343008865323,0.08006360197632774,0.8581730769230769,perturbation_condition,-0.0012301718876744881,-0.0013820589014344076,-0.001081215927761592,5000
RPE1,four_seed_family_centroid,batch_matched_control,centroid_rmse,416,416,0.07883343008865323,0.09594023001802336,0.9639423076923077,perturbation_condition,-0.017106799929370104,-0.018398189660714465,-0.01588738110154409,5000
RPE1,four_seed_family_centroid,source_transfer,centroid_rmse,416,416,0.07883343008865323,0.07856624284591913,0.5,perturbation_condition,0.0002671872427341205,-0.00010127583671772989,0.0006443608122962284,5000
hepg2,four_seed_family_centroid,official_general_baseline,centroid_rmse,405,405,0.057554233821428616,0.05977768564426512,0.9382716049382716,perturbation_condition,-0.0022234518228365,-0.0023870570294369856,-0.0020660315791990926,5000
hepg2,four_seed_family_centroid,batch_matched_control,centroid_rmse,405,405,0.057554233821428616,0.06972281550110754,0.8098765432098766,perturbation_condition,-0.01216858167967892,-0.013609342585804162,-0.010751712382993266,5000
hepg2,four_seed_family_centroid,source_transfer,centroid_rmse,405,405,0.057554233821428616,0.059020575658219825,0.6518518518518519,perturbation_condition,-0.0014663418367912055,-0.002016782605292374,-0.0009297635984898254,5000
jurkat,four_seed_family_centroid,official_general_baseline,centroid_rmse,421,421,0.05642088385864754,0.058333614816036695,0.8907363420427553,perturbation_condition,-0.0019127309573891483,-0.0020923934202210347,-0.0017442545500143852,5000
jurkat,four_seed_family_centroid,batch_matched_control,centroid_rmse,421,421,0.05642088385864754,0.0666141175429711,0.8218527315914489,perturbation_condition,-0.010193233684323556,-0.011533983488206438,-0.008892778184727123,5000
jurkat,four_seed_family_centroid,source_transfer,centroid_rmse,421,421,0.05642088385864754,0.060753871964988014,0.8456057007125891,perturbation_condition,-0.004332988106340463,-0.004841923120639821,-0.0038294798724160537,5000
