stratum,target,predictor,n_tasks,family_centroid_rmse_mean,family_rms_error_mean,worst_seed_error_mean,seed_centroid_rmse_mean,control_error_mean,official_general_baseline_error_mean,source_transfer_error_mean
primary_ge30,K562,four_seed_family,566,0.05402683251553752,0.05434906727257708,0.055982996141038424,,0.05229062802582063,0.05840021444627754,0.05927950542326486
primary_ge30,K562,seed_1,566,,,,0.05411013043859747,,,
primary_ge30,K562,seed_2,566,,,,0.055769396115088875,,,
primary_ge30,K562,seed_3,566,,,,0.05403941800713598,,,
primary_ge30,K562,seed_4,566,,,,0.05342025202376195,,,
primary_ge30,RPE1,four_seed_family,416,0.07883343008865323,0.07898862977258413,0.07947806916536428,,0.09594023001802336,0.08006360197632774,0.07856624284591913
primary_ge30,RPE1,seed_1,416,,,,0.07897092187611178,,,
primary_ge30,RPE1,seed_2,416,,,,0.07890275046820434,,,
primary_ge30,RPE1,seed_3,416,,,,0.07909430848956531,,,
primary_ge30,RPE1,seed_4,416,,,,0.07898023910873607,,,
primary_ge30,hepg2,four_seed_family,405,0.057554233821428616,0.05773494125326298,0.05828194826615713,,0.06972281550110754,0.05977768564426512,0.059020575658219825
primary_ge30,hepg2,seed_1,405,,,,0.05774210024167834,,,
primary_ge30,hepg2,seed_2,405,,,,0.05771242726109114,,,
primary_ge30,hepg2,seed_3,405,,,,0.05777647976804029,,,
primary_ge30,hepg2,seed_4,405,,,,0.05770043654248565,,,
primary_ge30,jurkat,four_seed_family,421,0.05642088385864754,0.0565977623371057,0.05705947399717505,,0.0666141175429711,0.058333614816036695,0.060753871964988014
primary_ge30,jurkat,seed_1,421,,,,0.05656607835262512,,,
primary_ge30,jurkat,seed_2,421,,,,0.0566087347916761,,,
primary_ge30,jurkat,seed_3,421,,,,0.056591638338098216,,,
primary_ge30,jurkat,seed_4,421,,,,0.056617277069016446,,,
sensitivity_10_29,K562,four_seed_family,14,0.09250873080729052,0.09299766912864353,0.09529384291510877,,0.08061680704418263,0.09925706205045966,0.09942644184731472
sensitivity_10_29,K562,seed_1,14,,,,0.092808276742768,,,
sensitivity_10_29,K562,seed_2,14,,,,0.09507389051722849,,,
sensitivity_10_29,K562,seed_3,14,,,,0.09226455456887103,,,
sensitivity_10_29,K562,seed_4,14,,,,0.09179149860753862,,,
sensitivity_10_29,RPE1,four_seed_family,51,0.10416525102206947,0.10435401710725546,0.10518639190041121,,0.1216035147952248,0.10570380015733938,0.10207376805072226
sensitivity_10_29,RPE1,seed_1,51,,,,0.10447004850433983,,,
sensitivity_10_29,RPE1,seed_2,51,,,,0.10407706192104613,,,
sensitivity_10_29,RPE1,seed_3,51,,,,0.10455265699738749,,,
sensitivity_10_29,RPE1,seed_4,51,,,,0.10429220873520942,,,
sensitivity_10_29,hepg2,four_seed_family,75,0.06989777526125253,0.07011959808943051,0.07064152224037731,,0.08264949584104381,0.07291685524933188,0.07252015117192212
sensitivity_10_29,hepg2,seed_1,75,,,,0.07022341018281814,,,
sensitivity_10_29,hepg2,seed_2,75,,,,0.07004447579869982,,,
sensitivity_10_29,hepg2,seed_3,75,,,,0.07004412669364592,,,
sensitivity_10_29,hepg2,seed_4,75,,,,0.07016011466661282,,,
sensitivity_10_29,jurkat,four_seed_family,60,0.07645585677749366,0.07662478922611168,0.0770703004609942,,0.08723322878670667,0.07850917253071713,0.08200164248140578
sensitivity_10_29,jurkat,seed_1,60,,,,0.0765973056100774,,,
sensitivity_10_29,jurkat,seed_2,60,,,,0.07667834842050518,,,
sensitivity_10_29,jurkat,seed_3,60,,,,0.07658389891802513,,,
sensitivity_10_29,jurkat,seed_4,60,,,,0.07663518523495817,,,
