task_id,target,condition,analysis_stratum,seed,seed_centroid_rmse
K562::AAMP+ctrl,K562,AAMP+ctrl,primary_ge30,1,0.04559598292766507
K562::AAMP+ctrl,K562,AAMP+ctrl,primary_ge30,2,0.044333717620579055
K562::AAMP+ctrl,K562,AAMP+ctrl,primary_ge30,3,0.04268913378029191
K562::AAMP+ctrl,K562,AAMP+ctrl,primary_ge30,4,0.044135898099597164
K562::AARS+ctrl,K562,AARS+ctrl,primary_ge30,1,0.0867848867004759
K562::AARS+ctrl,K562,AARS+ctrl,primary_ge30,2,0.08891637736786384
K562::AARS+ctrl,K562,AARS+ctrl,primary_ge30,3,0.09472418512072167
K562::AARS+ctrl,K562,AARS+ctrl,primary_ge30,4,0.085668640228874
K562::ABCE1+ctrl,K562,ABCE1+ctrl,primary_ge30,1,0.07988420068081277
K562::ABCE1+ctrl,K562,ABCE1+ctrl,primary_ge30,2,0.08147194959028178
K562::ABCE1+ctrl,K562,ABCE1+ctrl,primary_ge30,3,0.08124605671874781
K562::ABCE1+ctrl,K562,ABCE1+ctrl,primary_ge30,4,0.0776848818557359
K562::ABCF1+ctrl,K562,ABCF1+ctrl,primary_ge30,1,0.039066465933030384
K562::ABCF1+ctrl,K562,ABCF1+ctrl,primary_ge30,2,0.03955179629729592
K562::ABCF1+ctrl,K562,ABCF1+ctrl,primary_ge30,3,0.03795712133017689
K562::ABCF1+ctrl,K562,ABCF1+ctrl,primary_ge30,4,0.03670385826426439
K562::ABT1+ctrl,K562,ABT1+ctrl,primary_ge30,1,0.0471108735591581
K562::ABT1+ctrl,K562,ABT1+ctrl,primary_ge30,2,0.048397342829255355
K562::ABT1+ctrl,K562,ABT1+ctrl,primary_ge30,3,0.04642687046806364
K562::ABT1+ctrl,K562,ABT1+ctrl,primary_ge30,4,0.04585871750511069
K562::ACTB+ctrl,K562,ACTB+ctrl,primary_ge30,1,0.037411856150270616
K562::ACTB+ctrl,K562,ACTB+ctrl,primary_ge30,2,0.03671131248714628
K562::ACTB+ctrl,K562,ACTB+ctrl,primary_ge30,3,0.036351224439453496
K562::ACTB+ctrl,K562,ACTB+ctrl,primary_ge30,4,0.03743592752888866
K562::ACTR6+ctrl,K562,ACTR6+ctrl,primary_ge30,1,0.03103678742246428
K562::ACTR6+ctrl,K562,ACTR6+ctrl,primary_ge30,2,0.031178315374650475
K562::ACTR6+ctrl,K562,ACTR6+ctrl,primary_ge30,3,0.030645358594779327
K562::ACTR6+ctrl,K562,ACTR6+ctrl,primary_ge30,4,0.031194425287957843
K562::AHCTF1+ctrl,K562,AHCTF1+ctrl,primary_ge30,1,0.03584315069544659
K562::AHCTF1+ctrl,K562,AHCTF1+ctrl,primary_ge30,2,0.03815245095821086
K562::AHCTF1+ctrl,K562,AHCTF1+ctrl,primary_ge30,3,0.03669967210292302
K562::AHCTF1+ctrl,K562,AHCTF1+ctrl,primary_ge30,4,0.03491224369028247
K562::AKIRIN2+ctrl,K562,AKIRIN2+ctrl,primary_ge30,1,0.026391926094671937
K562::AKIRIN2+ctrl,K562,AKIRIN2+ctrl,primary_ge30,2,0.026693604887200295
K562::AKIRIN2+ctrl,K562,AKIRIN2+ctrl,primary_ge30,3,0.026368953512675097
K562::AKIRIN2+ctrl,K562,AKIRIN2+ctrl,primary_ge30,4,0.025941196119468928
K562::ALDOA+ctrl,K562,ALDOA+ctrl,primary_ge30,1,0.058640829751855805
K562::ALDOA+ctrl,K562,ALDOA+ctrl,primary_ge30,2,0.06749831504314892
K562::ALDOA+ctrl,K562,ALDOA+ctrl,primary_ge30,3,0.06255624921951944
K562::ALDOA+ctrl,K562,ALDOA+ctrl,primary_ge30,4,0.06691077249423005
K562::ALG13+ctrl,K562,ALG13+ctrl,primary_ge30,1,0.025926248738486594
K562::ALG13+ctrl,K562,ALG13+ctrl,primary_ge30,2,0.026544597649164507
K562::ALG13+ctrl,K562,ALG13+ctrl,primary_ge30,3,0.026286841382598458
K562::ALG13+ctrl,K562,ALG13+ctrl,primary_ge30,4,0.025570650754024947
K562::ANAPC2+ctrl,K562,ANAPC2+ctrl,primary_ge30,1,0.05449956751150425
K562::ANAPC2+ctrl,K562,ANAPC2+ctrl,primary_ge30,2,0.05780073654826713
K562::ANAPC2+ctrl,K562,ANAPC2+ctrl,primary_ge30,3,0.05428543185214388
K562::ANAPC2+ctrl,K562,ANAPC2+ctrl,primary_ge30,4,0.05227668299177019
K562::AP2S1+ctrl,K562,AP2S1+ctrl,primary_ge30,1,0.044078312707880644
K562::AP2S1+ctrl,K562,AP2S1+ctrl,primary_ge30,2,0.04662377282953654
K562::AP2S1+ctrl,K562,AP2S1+ctrl,primary_ge30,3,0.04325901579506847
K562::AP2S1+ctrl,K562,AP2S1+ctrl,primary_ge30,4,0.05931680494525965
K562::ARGLU1+ctrl,K562,ARGLU1+ctrl,primary_ge30,1,0.031616769881270136
K562::ARGLU1+ctrl,K562,ARGLU1+ctrl,primary_ge30,2,0.03181775673889275
K562::ARGLU1+ctrl,K562,ARGLU1+ctrl,primary_ge30,3,0.03129110209019782
K562::ARGLU1+ctrl,K562,ARGLU1+ctrl,primary_ge30,4,0.030448599144078395
