scope,predictor,outcome,n_condition_clusters,bootstrap_unit,budget,n_tasks,n_selected,high_error_capture,random_expected_capture,selected_mean_error,overall_mean_error,error_lift,oracle_mean_error,oracle_normalized_utility,utility_ci95_lower,utility_ci95_upper,bootstrap_valid
pooled,safeconf_e201_risk,family_rms_error,575,perturbation_condition,0.2,1808,362,0.3342541436464088,0.2002212389380531,0.07310189359625326,0.06130041549400809,1.1925187293942359,0.09818313155950781,0.3199731299963652,0.24558701579753106,0.3929400385363671,5000
pooled,predicted_magnitude,family_rms_error,575,perturbation_condition,0.2,1808,362,0.4558011049723757,0.2002212389380531,0.08322013953444134,0.06130041549400809,1.357578718900785,0.09818313155950781,0.59430883564828,0.5386025371512597,0.6524524423538971,5000
K562,safeconf_e201_risk,family_rms_error,566,perturbation_condition,0.2,566,114,0.38596491228070173,0.20141342756183744,0.06753771950617145,0.05434906727257708,1.2426656591446046,0.08546018207355885,0.42392091437296153,0.3148168350482771,0.5406901319791309,5000
K562,predicted_magnitude,family_rms_error,566,perturbation_condition,0.2,566,114,0.8157894736842105,0.20141342756183744,0.08339968339240014,0.05434906727257708,1.5345191293555307,0.08546018207355885,0.9337696931035823,0.8998774964322246,0.959392211270385,5000
RPE1,safeconf_e201_risk,family_rms_error,416,perturbation_condition,0.2,416,84,0.34523809523809523,0.20192307692307693,0.09011444169461746,0.07898862977258413,1.1408533348921943,0.11594245321983691,0.30107336356991904,0.15680007373603244,0.4326665643191823,5000
RPE1,predicted_magnitude,family_rms_error,416,perturbation_condition,0.2,416,84,0.4880952380952381,0.20192307692307693,0.1014731688893202,0.07898862977258413,1.2846553887752101,0.11594245321983691,0.6084496005895059,0.5054432608937309,0.7092976749353359,5000
hepg2,safeconf_e201_risk,family_rms_error,405,perturbation_condition,0.2,405,81,0.4567901234567901,0.2,0.07173165449936382,0.05773494125326298,1.242430544524193,0.08936723658941098,0.4424817452341503,0.30750718529306587,0.550180588968043,5000
hepg2,predicted_magnitude,family_rms_error,405,perturbation_condition,0.2,405,81,0.6666666666666666,0.2,0.08292311616346548,0.05773494125326298,1.436272634273772,0.08936723658941098,0.7962803407888823,0.7247720780276915,0.8587257711687102,5000
jurkat,safeconf_e201_risk,family_rms_error,421,perturbation_condition,0.2,421,85,0.35294117647058826,0.20190023752969122,0.0644113307771329,0.0565977623371057,1.1380543703033397,0.08326113024377117,0.29304506720150375,0.19112386642618645,0.42693908788113805,5000
jurkat,predicted_magnitude,family_rms_error,421,perturbation_condition,0.2,421,85,0.6,0.20190023752969122,0.07624188397014264,0.0565977623371057,1.3470830086184906,0.08326113024377117,0.7367456992605268,0.6440590216414378,0.8064763519713521,5000
