scope,stratum,predictor,outcome,n_tasks,spearman,inference
RPE1,sensitivity_10_29,family_disagreement,family_rms_error,51,0.09013574660633483,descriptive_point_only
RPE1,sensitivity_10_29,family_disagreement,family_centroid_rmse,51,0.0846153846153846,descriptive_point_only
RPE1,sensitivity_10_29,family_disagreement,worst_seed_error,51,0.11013574660633484,descriptive_point_only
RPE1,sensitivity_10_29,family_radius,family_rms_error,51,0.10497737556561085,descriptive_point_only
RPE1,sensitivity_10_29,family_radius,family_centroid_rmse,51,0.1,descriptive_point_only
RPE1,sensitivity_10_29,family_radius,worst_seed_error,51,0.12678733031674208,descriptive_point_only
RPE1,sensitivity_10_29,model_source_gap,family_rms_error,51,0.3180995475113122,descriptive_point_only
RPE1,sensitivity_10_29,model_source_gap,family_centroid_rmse,51,0.3218099547511312,descriptive_point_only
RPE1,sensitivity_10_29,model_source_gap,worst_seed_error,51,0.3256108597285068,descriptive_point_only
RPE1,sensitivity_10_29,source_delta_dispersion,family_rms_error,51,0.540320393198579,descriptive_point_only
RPE1,sensitivity_10_29,source_delta_dispersion,family_centroid_rmse,51,0.5409539346981418,descriptive_point_only
RPE1,sensitivity_10_29,source_delta_dispersion,worst_seed_error,51,0.5351615552735675,descriptive_point_only
RPE1,sensitivity_10_29,negative_log_source_cells,family_rms_error,51,-0.08194755539552996,descriptive_point_only
RPE1,sensitivity_10_29,negative_log_source_cells,family_centroid_rmse,51,-0.08484354851828753,descriptive_point_only
RPE1,sensitivity_10_29,negative_log_source_cells,worst_seed_error,51,-0.06687934117868212,descriptive_point_only
RPE1,sensitivity_10_29,support_context_deficit,family_rms_error,51,0.0882535093145251,descriptive_point_only
RPE1,sensitivity_10_29,support_context_deficit,family_centroid_rmse,51,0.08715816434076325,descriptive_point_only
RPE1,sensitivity_10_29,support_context_deficit,worst_seed_error,51,0.09513853486388521,descriptive_point_only
hepg2,sensitivity_10_29,safeconf_e201_risk,family_rms_error,75,0.5178093883357041,descriptive_point_only
hepg2,sensitivity_10_29,safeconf_e201_risk,family_centroid_rmse,75,0.5149644381223328,descriptive_point_only
hepg2,sensitivity_10_29,safeconf_e201_risk,worst_seed_error,75,0.5285633001422475,descriptive_point_only
hepg2,sensitivity_10_29,predicted_magnitude,family_rms_error,75,0.7607965860597439,descriptive_point_only
hepg2,sensitivity_10_29,predicted_magnitude,family_centroid_rmse,75,0.7574110953058321,descriptive_point_only
hepg2,sensitivity_10_29,predicted_magnitude,worst_seed_error,75,0.7640682788051208,descriptive_point_only
hepg2,sensitivity_10_29,family_disagreement,family_rms_error,75,0.13371266002844948,descriptive_point_only
hepg2,sensitivity_10_29,family_disagreement,family_centroid_rmse,75,0.12344238975817921,descriptive_point_only
hepg2,sensitivity_10_29,family_disagreement,worst_seed_error,75,0.14620199146514937,descriptive_point_only
hepg2,sensitivity_10_29,family_radius,family_rms_error,75,0.09086770981507822,descriptive_point_only
hepg2,sensitivity_10_29,family_radius,family_centroid_rmse,75,0.08116642958748221,descriptive_point_only
hepg2,sensitivity_10_29,family_radius,worst_seed_error,75,0.10512091038406828,descriptive_point_only
hepg2,sensitivity_10_29,model_source_gap,family_rms_error,75,0.5421337126600284,descriptive_point_only
hepg2,sensitivity_10_29,model_source_gap,family_centroid_rmse,75,0.5450071123755335,descriptive_point_only
hepg2,sensitivity_10_29,model_source_gap,worst_seed_error,75,0.5468563300142247,descriptive_point_only
hepg2,sensitivity_10_29,source_delta_dispersion,family_rms_error,75,0.5936613138891516,descriptive_point_only
hepg2,sensitivity_10_29,source_delta_dispersion,family_centroid_rmse,75,0.5883114755701427,descriptive_point_only
hepg2,sensitivity_10_29,source_delta_dispersion,worst_seed_error,75,0.5952691110435344,descriptive_point_only
hepg2,sensitivity_10_29,negative_log_source_cells,family_rms_error,75,0.01957492823018324,descriptive_point_only
hepg2,sensitivity_10_29,negative_log_source_cells,family_centroid_rmse,75,0.019062793479974954,descriptive_point_only
hepg2,sensitivity_10_29,negative_log_source_cells,worst_seed_error,75,0.031112186075153155,descriptive_point_only
hepg2,sensitivity_10_29,support_context_deficit,family_rms_error,75,0.11790541195014073,descriptive_point_only
hepg2,sensitivity_10_29,support_context_deficit,family_centroid_rmse,75,0.12569801101581096,descriptive_point_only
hepg2,sensitivity_10_29,support_context_deficit,worst_seed_error,75,0.12618202338013831,descriptive_point_only
jurkat,sensitivity_10_29,safeconf_e201_risk,family_rms_error,60,0.490525145873854,descriptive_point_only
jurkat,sensitivity_10_29,safeconf_e201_risk,family_centroid_rmse,60,0.4901361489302585,descriptive_point_only
jurkat,sensitivity_10_29,safeconf_e201_risk,worst_seed_error,60,0.5056960266740762,descriptive_point_only
jurkat,sensitivity_10_29,predicted_magnitude,family_rms_error,60,0.7477076965823842,descriptive_point_only
jurkat,sensitivity_10_29,predicted_magnitude,family_centroid_rmse,60,0.7470408446790776,descriptive_point_only
jurkat,sensitivity_10_29,predicted_magnitude,worst_seed_error,60,0.7428730202834122,descriptive_point_only
jurkat,sensitivity_10_29,family_disagreement,family_rms_error,60,0.26468463462072805,descriptive_point_only
jurkat,sensitivity_10_29,family_disagreement,family_centroid_rmse,60,0.26201722700750213,descriptive_point_only
jurkat,sensitivity_10_29,family_disagreement,worst_seed_error,60,0.28363434287302036,descriptive_point_only
jurkat,sensitivity_10_29,family_radius,family_rms_error,60,0.24417893859405396,descriptive_point_only
jurkat,sensitivity_10_29,family_radius,family_centroid_rmse,60,0.24151153098082806,descriptive_point_only
jurkat,sensitivity_10_29,family_radius,worst_seed_error,60,0.2632953598221729,descriptive_point_only
jurkat,sensitivity_10_29,model_source_gap,family_rms_error,60,0.43434287302028346,descriptive_point_only
jurkat,sensitivity_10_29,model_source_gap,family_centroid_rmse,60,0.4355098638510698,descriptive_point_only
jurkat,sensitivity_10_29,model_source_gap,worst_seed_error,60,0.4404556821339261,descriptive_point_only
jurkat,sensitivity_10_29,source_delta_dispersion,family_rms_error,60,0.7577543372157203,descriptive_point_only
jurkat,sensitivity_10_29,source_delta_dispersion,family_centroid_rmse,60,0.7576431643376076,descriptive_point_only
jurkat,sensitivity_10_29,source_delta_dispersion,worst_seed_error,60,0.7574764050204387,descriptive_point_only
jurkat,sensitivity_10_29,negative_log_source_cells,family_rms_error,60,0.023702674596963905,descriptive_point_only
jurkat,sensitivity_10_29,negative_log_source_cells,family_centroid_rmse,60,0.02214657872658879,descriptive_point_only
jurkat,sensitivity_10_29,negative_log_source_cells,worst_seed_error,60,0.0378186871353668,descriptive_point_only
jurkat,sensitivity_10_29,support_context_deficit,family_rms_error,60,-0.2438462720098984,descriptive_point_only
jurkat,sensitivity_10_29,support_context_deficit,family_centroid_rmse,60,-0.24574700117097328,descriptive_point_only
jurkat,sensitivity_10_29,support_context_deficit,worst_seed_error,60,-0.23375512810019172,descriptive_point_only
