dataset,fold_id,train_fraction,setting,score,budget,n_tasks,spearman,review_utility
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,magnitude,0.29999999999999999,45,0.12635046113306983,0.0015070001003507877
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,safeconf,0.050000000000000003,45,0.12318840579710144,0.053762024404027678
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,safeconf,0.10000000000000001,45,0.12318840579710144,0.15896599588424537
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,safeconf,0.20000000000000001,45,0.12318840579710144,0.11309037835350062
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,safeconf,0.29999999999999999,45,0.12318840579710144,0.22092983324155269
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,disagreement,0.050000000000000003,45,-0.045586297760210802,0.053762024404027678
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,disagreement,0.10000000000000001,45,-0.045586297760210802,0.46204873739052382
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,disagreement,0.20000000000000001,45,-0.045586297760210802,0.35073224995857927
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,disagreement,0.29999999999999999,45,-0.045586297760210802,0.27466179197219409
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,safeconf_m,0.050000000000000003,45,0.15858479515724505,0.11492961324903293
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,safeconf_m,0.10000000000000001,45,0.15858479515724505,0.096724980616170728
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,safeconf_m,0.20000000000000001,45,0.15858479515724505,-0.0347502815463386
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,safeconf_m,0.29999999999999999,45,0.15858479515724505,0.052274496875058599
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,magnitude,0.050000000000000003,16,0.47352941176470581,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,magnitude,0.10000000000000001,16,0.47352941176470581,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,magnitude,0.20000000000000001,16,0.47352941176470581,0.70982613936098582
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,magnitude,0.29999999999999999,16,0.47352941176470581,0.54448670571039859
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,safeconf,0.050000000000000003,16,0.78529411764705881,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,safeconf,0.10000000000000001,16,0.78529411764705881,0.83675633348767786
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,safeconf,0.20000000000000001,16,0.78529411764705881,0.9672586213253529
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,safeconf,0.29999999999999999,16,0.78529411764705881,0.84246291269385831
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,disagreement,0.050000000000000003,16,0.78529411764705881,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,disagreement,0.10000000000000001,16,0.78529411764705881,0.83675633348767786
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,disagreement,0.20000000000000001,16,0.78529411764705881,0.62012656783008802
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,disagreement,0.29999999999999999,16,0.78529411764705881,0.68232565804351064
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,safeconf_m,0.050000000000000003,16,0.53568815091178679,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,safeconf_m,0.10000000000000001,16,0.53568815091178679,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,safeconf_m,0.20000000000000001,16,0.53568815091178679,0.70982613936098582
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,random_missing_pair,safeconf_m,0.29999999999999999,16,0.53568815091178679,0.54448670571039859
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,magnitude,0.050000000000000003,9,0.31666666666666665,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,magnitude,0.10000000000000001,9,0.31666666666666665,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,magnitude,0.20000000000000001,9,0.31666666666666665,0.73390308417364492
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,magnitude,0.29999999999999999,9,0.31666666666666665,0.3771142155114996
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,safeconf,0.050000000000000003,9,0.083333333333333343,-0.32835007899999785
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,safeconf,0.10000000000000001,9,0.083333333333333343,-0.32835007899999785
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,safeconf,0.20000000000000001,9,0.083333333333333343,0.47512476985127261
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,safeconf,0.29999999999999999,9,0.083333333333333343,0.36570778721860603
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,disagreement,0.050000000000000003,9,-0.43333333333333335,-0.32835007899999785
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,disagreement,0.10000000000000001,9,-0.43333333333333335,-0.32835007899999785
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,disagreement,0.20000000000000001,9,-0.43333333333333335,-0.43096148651731903
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,disagreement,0.29999999999999999,9,-0.43333333333333335,-0.72720168087089732
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,safeconf_m,0.050000000000000003,9,0.38494060802763258,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,safeconf_m,0.10000000000000001,9,0.38494060802763258,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,safeconf_m,0.20000000000000001,9,0.38494060802763258,0.73390308417364492
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_and_perturbation_unseen,safeconf_m,0.29999999999999999,9,0.38494060802763258,0.58796160273158193
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,magnitude,0.050000000000000003,32,0.75109970674486803,0.93271798860650335
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,magnitude,0.10000000000000001,32,0.75109970674486803,0.73881181891395187
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,magnitude,0.20000000000000001,32,0.75109970674486803,0.91234028182176474
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,magnitude,0.29999999999999999,32,0.75109970674486803,0.88694162480751282
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,safeconf,0.050000000000000003,32,0.67302052785923749,0.93271798860650335
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,safeconf,0.10000000000000001,32,0.67302052785923749,0.86461647063427138
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,safeconf,0.20000000000000001,32,0.67302052785923749,0.71746977451354688
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,safeconf,0.29999999999999999,32,0.67302052785923749,0.66985837971880569
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,disagreement,0.050000000000000003,32,0.6473607038123167,0.93271798860650335
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,disagreement,0.10000000000000001,32,0.6473607038123167,0.86461647063427138
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,disagreement,0.20000000000000001,32,0.6473607038123167,0.68308618243567421
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,disagreement,0.29999999999999999,32,0.6473607038123167,0.66336245022050411
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,safeconf_m,0.050000000000000003,32,0.75527040682444591,0.93271798860650335
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.5,context_unseen_row,safeconf_m,0.10000000000000001,32,0.75527040682444591,0.73881181891395187
