score,budget,n_datasets,spearman,review_utility,analysis
disagreement,0.050000000000000003,8,0.061054578811668758,0.211075733976261,E153_genetic_8study
disagreement,0.10000000000000001,8,0.061054578811668758,0.19364245676385888,E153_genetic_8study
disagreement,0.20000000000000001,8,0.061054578811668758,0.14274060719551127,E153_genetic_8study
disagreement,0.29999999999999999,8,0.061054578811668758,0.098311052281921149,E153_genetic_8study
magnitude,0.050000000000000003,8,0.14661006645060426,0.23380376786260182,E153_genetic_8study
magnitude,0.10000000000000001,8,0.14661006645060426,0.18582859354771419,E153_genetic_8study
magnitude,0.20000000000000001,8,0.14661006645060426,0.17415317445129747,E153_genetic_8study
magnitude,0.29999999999999999,8,0.14661006645060426,0.15092894921425781,E153_genetic_8study
safeconf,0.050000000000000003,8,0.20344945741395767,0.20665802018710974,E153_genetic_8study
safeconf,0.10000000000000001,8,0.20344945741395767,0.20017062882640219,E153_genetic_8study
safeconf,0.20000000000000001,8,0.20344945741395767,0.1967032901499029,E153_genetic_8study
safeconf,0.29999999999999999,8,0.20344945741395767,0.19264198683527378,E153_genetic_8study
safeconf_m,0.050000000000000003,8,0.16479519610947435,0.25104204750291109,E153_genetic_8study
safeconf_m,0.10000000000000001,8,0.16479519610947435,0.19707736946383636,E153_genetic_8study
safeconf_m,0.20000000000000001,8,0.16479519610947435,0.17900427725897219,E153_genetic_8study
safeconf_m,0.29999999999999999,8,0.16479519610947435,0.17365988101199567,E153_genetic_8study
disagreement,0.050000000000000003,3,0.31697145264631149,0.38305688719693748,E187_genetic_difficulty
disagreement,0.10000000000000001,3,0.31697145264631149,0.36105302411947932,E187_genetic_difficulty
disagreement,0.20000000000000001,3,0.31697145264631149,0.33438224246027115,E187_genetic_difficulty
disagreement,0.29999999999999999,3,0.31697145264631149,0.3049843836027667,E187_genetic_difficulty
magnitude,0.050000000000000003,3,0.38063686144279751,0.37222941895942102,E187_genetic_difficulty
magnitude,0.10000000000000001,3,0.38063686144279751,0.37682614923263708,E187_genetic_difficulty
magnitude,0.20000000000000001,3,0.38063686144279751,0.38145416269603233,E187_genetic_difficulty
magnitude,0.29999999999999999,3,0.38063686144279751,0.39695737615785404,E187_genetic_difficulty
safeconf,0.050000000000000003,3,0.38921702941578357,0.37440277584556042,E187_genetic_difficulty
safeconf,0.10000000000000001,3,0.38921702941578357,0.37001593299123997,E187_genetic_difficulty
safeconf,0.20000000000000001,3,0.38921702941578357,0.35869801134658524,E187_genetic_difficulty
safeconf,0.29999999999999999,3,0.38921702941578357,0.35284309110197309,E187_genetic_difficulty
safeconf_m,0.050000000000000003,3,0.38574861146834766,0.37257741984274562,E187_genetic_difficulty
safeconf_m,0.10000000000000001,3,0.38574861146834766,0.37166975905920685,E187_genetic_difficulty
safeconf_m,0.20000000000000001,3,0.38574861146834766,0.38541950075079073,E187_genetic_difficulty
safeconf_m,0.29999999999999999,3,0.38574861146834766,0.39782588854671636,E187_genetic_difficulty
disagreement,0.050000000000000003,1,0.31733396675587655,0.35550637745593755,E187_cytokine_difficulty
disagreement,0.10000000000000001,1,0.31733396675587655,0.34784378153553736,E187_cytokine_difficulty
disagreement,0.20000000000000001,1,0.31733396675587655,0.33952751445791857,E187_cytokine_difficulty
disagreement,0.29999999999999999,1,0.31733396675587655,0.34134924122332616,E187_cytokine_difficulty
magnitude,0.050000000000000003,1,0.40932022234868276,0.35099704188176378,E187_cytokine_difficulty
magnitude,0.10000000000000001,1,0.40932022234868276,0.35288791111385526,E187_cytokine_difficulty
magnitude,0.20000000000000001,1,0.40932022234868276,0.35170044616035528,E187_cytokine_difficulty
magnitude,0.29999999999999999,1,0.40932022234868276,0.36899690104854982,E187_cytokine_difficulty
safeconf,0.050000000000000003,1,0.42329514399314488,0.4078181900843314,E187_cytokine_difficulty
safeconf,0.10000000000000001,1,0.42329514399314488,0.39720129556951478,E187_cytokine_difficulty
safeconf,0.20000000000000001,1,0.42329514399314488,0.39247712814671626,E187_cytokine_difficulty
safeconf,0.29999999999999999,1,0.42329514399314488,0.40592960103178172,E187_cytokine_difficulty
safeconf_m,0.050000000000000003,1,0.41260762637913867,0.36577053678212629,E187_cytokine_difficulty
safeconf_m,0.10000000000000001,1,0.41260762637913867,0.36570738686414811,E187_cytokine_difficulty
safeconf_m,0.20000000000000001,1,0.41260762637913867,0.35971361811316044,E187_cytokine_difficulty
safeconf_m,0.29999999999999999,1,0.41260762637913867,0.37748390384848424,E187_cytokine_difficulty
