source,score,n_tasks,spearman,top20_error_enrichment,top20_total_error_capture
sciPlex3_internal,model_disagreement,629,0.65559263069783524,1.1555481765621811,0.27844221955185161
sciPlex3_internal,predicted_magnitude,629,0.69746804701968979,1.1722581471343814,0.2821571876698421
sciPlex3_to_OpenProblems,model_disagreement,553,0.99307532748271965,1.6241911907333135,0.32601305998444441
sciPlex3_to_OpenProblems,predicted_magnitude,553,0.99356033200848237,1.6245987820429486,0.32609487306829521
sciPlex3_to_sciPlex4,model_disagreement,28,0.78379857690202503,1.1895916217915026,0.25491249038389341
sciPlex3_to_sciPlex4,predicted_magnitude,28,0.83524904214559381,1.1842150396328883,0.25376036563561888
three_source_equal_macro,model_disagreement,,0.8108221783608599,1.3231103296956661,0.28645592330672981
three_source_equal_macro,predicted_magnitude,,0.84209247372458862,1.3270239896034062,0.28733747545791871
