dataset,setting,train_fraction,score,budget,n_batches,spearman,review_utility
Cui_direct41,context_and_perturbation_unseen,0.25,disagreement,0.050000000000000003,6,0.074999999999999983,0.1081791640371957
Cui_direct41,context_and_perturbation_unseen,0.25,disagreement,0.10000000000000001,6,0.074999999999999983,0.1081791640371957
Cui_direct41,context_and_perturbation_unseen,0.25,disagreement,0.20000000000000001,6,0.074999999999999983,0.23351352070501266
Cui_direct41,context_and_perturbation_unseen,0.25,disagreement,0.29999999999999999,6,0.074999999999999983,0.23488518142547687
Cui_direct41,context_and_perturbation_unseen,0.25,magnitude,0.050000000000000003,6,0.19722222222222219,0.074340541487582817
Cui_direct41,context_and_perturbation_unseen,0.25,magnitude,0.10000000000000001,6,0.19722222222222219,0.074340541487582817
Cui_direct41,context_and_perturbation_unseen,0.25,magnitude,0.20000000000000001,6,0.19722222222222219,0.17130053055430181
Cui_direct41,context_and_perturbation_unseen,0.25,magnitude,0.29999999999999999,6,0.19722222222222219,0.2859276961710488
Cui_direct41,context_and_perturbation_unseen,0.25,safeconf,0.050000000000000003,6,0.19444444444444442,0.15342717228457439
Cui_direct41,context_and_perturbation_unseen,0.25,safeconf,0.10000000000000001,6,0.19444444444444442,0.15342717228457439
Cui_direct41,context_and_perturbation_unseen,0.25,safeconf,0.20000000000000001,6,0.19444444444444442,0.15627078649017534
Cui_direct41,context_and_perturbation_unseen,0.25,safeconf,0.29999999999999999,6,0.19444444444444442,0.2796926252872613
Cui_direct41,context_and_perturbation_unseen,0.25,safeconf_m,0.050000000000000003,6,0.19574486550636341,0.074340541487582817
Cui_direct41,context_and_perturbation_unseen,0.25,safeconf_m,0.10000000000000001,6,0.19574486550636341,0.074340541487582817
Cui_direct41,context_and_perturbation_unseen,0.25,safeconf_m,0.20000000000000001,6,0.19574486550636341,0.19145545725830707
Cui_direct41,context_and_perturbation_unseen,0.25,safeconf_m,0.29999999999999999,6,0.19574486550636341,0.2859276961710488
Cui_direct41,context_and_perturbation_unseen,0.5,disagreement,0.050000000000000003,6,-0.013888888888888895,0.046446784251572247
Cui_direct41,context_and_perturbation_unseen,0.5,disagreement,0.10000000000000001,6,-0.013888888888888895,0.046446784251572247
Cui_direct41,context_and_perturbation_unseen,0.5,disagreement,0.20000000000000001,6,-0.013888888888888895,-0.052513450171807551
Cui_direct41,context_and_perturbation_unseen,0.5,disagreement,0.29999999999999999,6,-0.013888888888888895,-0.22259903904168002
Cui_direct41,context_and_perturbation_unseen,0.5,magnitude,0.050000000000000003,6,0.10833333333333334,0.100655167046263
Cui_direct41,context_and_perturbation_unseen,0.5,magnitude,0.10000000000000001,6,0.10833333333333334,0.100655167046263
Cui_direct41,context_and_perturbation_unseen,0.5,magnitude,0.20000000000000001,6,0.10833333333333334,-0.075405554258752158
Cui_direct41,context_and_perturbation_unseen,0.5,magnitude,0.29999999999999999,6,0.10833333333333334,-0.17685029882343953
Cui_direct41,context_and_perturbation_unseen,0.5,safeconf,0.050000000000000003,6,0.10000000000000002,0.031439952503160028
Cui_direct41,context_and_perturbation_unseen,0.5,safeconf,0.10000000000000001,6,0.10000000000000002,0.031439952503160028
Cui_direct41,context_and_perturbation_unseen,0.5,safeconf,0.20000000000000001,6,0.10000000000000002,0.11805403159773652
Cui_direct41,context_and_perturbation_unseen,0.5,safeconf,0.29999999999999999,6,0.10000000000000002,0.0083839289591906754
Cui_direct41,context_and_perturbation_unseen,0.5,safeconf_m,0.050000000000000003,6,0.11429741747425913,0.100655167046263
Cui_direct41,context_and_perturbation_unseen,0.5,safeconf_m,0.10000000000000001,6,0.11429741747425913,0.100655167046263
Cui_direct41,context_and_perturbation_unseen,0.5,safeconf_m,0.20000000000000001,6,0.11429741747425913,-0.075405554258752158
Cui_direct41,context_and_perturbation_unseen,0.5,safeconf_m,0.29999999999999999,6,0.11429741747425913,-0.14170906762009247
Cui_direct41,context_and_perturbation_unseen,0.75,disagreement,0.050000000000000003,6,0.0027777777777777866,-0.348611105214093
Cui_direct41,context_and_perturbation_unseen,0.75,disagreement,0.10000000000000001,6,0.0027777777777777866,-0.348611105214093
Cui_direct41,context_and_perturbation_unseen,0.75,disagreement,0.20000000000000001,6,0.0027777777777777866,-0.0051338306675980201
Cui_direct41,context_and_perturbation_unseen,0.75,disagreement,0.29999999999999999,6,0.0027777777777777866,0.17696335870855806
Cui_direct41,context_and_perturbation_unseen,0.75,magnitude,0.050000000000000003,6,0.28611111111111115,0.16735201204678052
Cui_direct41,context_and_perturbation_unseen,0.75,magnitude,0.10000000000000001,6,0.28611111111111115,0.16735201204678052
Cui_direct41,context_and_perturbation_unseen,0.75,magnitude,0.20000000000000001,6,0.28611111111111115,0.0075906641363334597
Cui_direct41,context_and_perturbation_unseen,0.75,magnitude,0.29999999999999999,6,0.28611111111111115,-0.044983330694860026
Cui_direct41,context_and_perturbation_unseen,0.75,safeconf,0.050000000000000003,6,0.16666666666666666,0.053109013760899736
Cui_direct41,context_and_perturbation_unseen,0.75,safeconf,0.10000000000000001,6,0.16666666666666666,0.053109013760899736
Cui_direct41,context_and_perturbation_unseen,0.75,safeconf,0.20000000000000001,6,0.16666666666666666,-0.11974387764241456
Cui_direct41,context_and_perturbation_unseen,0.75,safeconf,0.29999999999999999,6,0.16666666666666666,-0.078439830486268375
Cui_direct41,context_and_perturbation_unseen,0.75,safeconf_m,0.050000000000000003,6,0.26286687791935087,0.16735201204678052
Cui_direct41,context_and_perturbation_unseen,0.75,safeconf_m,0.10000000000000001,6,0.26286687791935087,0.16735201204678052
Cui_direct41,context_and_perturbation_unseen,0.75,safeconf_m,0.20000000000000001,6,0.26286687791935087,0.0075906641363334597
Cui_direct41,context_and_perturbation_unseen,0.75,safeconf_m,0.29999999999999999,6,0.26286687791935087,-0.076976048525861027
Cui_direct41,context_and_perturbation_unseen,1,disagreement,0.050000000000000003,6,0.09722222222222221,0.085916919522559962
Cui_direct41,context_and_perturbation_unseen,1,disagreement,0.10000000000000001,6,0.09722222222222221,0.085916919522559962
Cui_direct41,context_and_perturbation_unseen,1,disagreement,0.20000000000000001,6,0.09722222222222221,0.13626541849877516
Cui_direct41,context_and_perturbation_unseen,1,disagreement,0.29999999999999999,6,0.09722222222222221,0.21314686519071757
Cui_direct41,context_and_perturbation_unseen,1,magnitude,0.050000000000000003,6,0.3527777777777778,0.32372465069941447
Cui_direct41,context_and_perturbation_unseen,1,magnitude,0.10000000000000001,6,0.3527777777777778,0.32372465069941447
Cui_direct41,context_and_perturbation_unseen,1,magnitude,0.20000000000000001,6,0.3527777777777778,0.062062793836128671
Cui_direct41,context_and_perturbation_unseen,1,magnitude,0.29999999999999999,6,0.3527777777777778,0.037583819860497379
Cui_direct41,context_and_perturbation_unseen,1,safeconf,0.050000000000000003,6,0.28888888888888892,0.10940034286594168
Cui_direct41,context_and_perturbation_unseen,1,safeconf,0.10000000000000001,6,0.28888888888888892,0.10940034286594168
Cui_direct41,context_and_perturbation_unseen,1,safeconf,0.20000000000000001,6,0.28888888888888892,-0.04132680177844944
Cui_direct41,context_and_perturbation_unseen,1,safeconf,0.29999999999999999,6,0.28888888888888892,0.023025714487065408
Cui_direct41,context_and_perturbation_unseen,1,safeconf_m,0.050000000000000003,6,0.34940892499922344,0.32372465069941447
Cui_direct41,context_and_perturbation_unseen,1,safeconf_m,0.10000000000000001,6,0.34940892499922344,0.32372465069941447
Cui_direct41,context_and_perturbation_unseen,1,safeconf_m,0.20000000000000001,6,0.34940892499922344,0.062062793836128671
Cui_direct41,context_and_perturbation_unseen,1,safeconf_m,0.29999999999999999,6,0.34940892499922344,0.0041997250985016527
Cui_direct41,context_unseen_row,0.25,disagreement,0.050000000000000003,6,0.53054740957966751,0.5796591510591399
Cui_direct41,context_unseen_row,0.25,disagreement,0.10000000000000001,6,0.53054740957966751,0.58261468453274923
Cui_direct41,context_unseen_row,0.25,disagreement,0.20000000000000001,6,0.53054740957966751,0.54703131510405523
Cui_direct41,context_unseen_row,0.25,disagreement,0.29999999999999999,6,0.53054740957966751,0.4993126109160213
Cui_direct41,context_unseen_row,0.25,magnitude,0.050000000000000003,6,0.61846285434995107,0.60940560596858784
Cui_direct41,context_unseen_row,0.25,magnitude,0.10000000000000001,6,0.61846285434995107,0.63563724566781254
Cui_direct41,context_unseen_row,0.25,magnitude,0.20000000000000001,6,0.61846285434995107,0.56552441906623885
Cui_direct41,context_unseen_row,0.25,magnitude,0.29999999999999999,6,0.61846285434995107,0.51056167755664805
Cui_direct41,context_unseen_row,0.25,safeconf,0.050000000000000003,6,0.66202346041055715,0.61476076012431669
Cui_direct41,context_unseen_row,0.25,safeconf,0.10000000000000001,6,0.66202346041055715,0.63563724566781254
Cui_direct41,context_unseen_row,0.25,safeconf,0.20000000000000001,6,0.66202346041055715,0.58806841886434447
Cui_direct41,context_unseen_row,0.25,safeconf,0.29999999999999999,6,0.66202346041055715,0.53848446197559374
Cui_direct41,context_unseen_row,0.25,safeconf_m,0.050000000000000003,6,0.62680629717759162,0.60940560596858784
Cui_direct41,context_unseen_row,0.25,safeconf_m,0.10000000000000001,6,0.62680629717759162,0.63563724566781254
Cui_direct41,context_unseen_row,0.25,safeconf_m,0.20000000000000001,6,0.62680629717759162,0.56552441906623885
Cui_direct41,context_unseen_row,0.25,safeconf_m,0.29999999999999999,6,0.62680629717759162,0.53595826104076505
Cui_direct41,context_unseen_row,0.5,disagreement,0.050000000000000003,6,0.67760263929618769,0.84291277469460357
Cui_direct41,context_unseen_row,0.5,disagreement,0.10000000000000001,6,0.67760263929618769,0.71090936508792402
Cui_direct41,context_unseen_row,0.5,disagreement,0.20000000000000001,6,0.67760263929618769,0.65723884525574838
Cui_direct41,context_unseen_row,0.5,disagreement,0.29999999999999999,6,0.67760263929618769,0.68198259055867172
Cui_direct41,context_unseen_row,0.5,magnitude,0.050000000000000003,6,0.75067204301075263,0.81812257848113246
Cui_direct41,context_unseen_row,0.5,magnitude,0.10000000000000001,6,0.75067204301075263,0.69834265131451534
Cui_direct41,context_unseen_row,0.5,magnitude,0.20000000000000001,6,0.75067204301075263,0.78737958207637815
Cui_direct41,context_unseen_row,0.5,magnitude,0.29999999999999999,6,0.75067204301075263,0.77595288044490285
Cui_direct41,context_unseen_row,0.5,safeconf,0.050000000000000003,6,0.75647605083088942,0.80492023220172593
Cui_direct41,context_unseen_row,0.5,safeconf,0.10000000000000001,6,0.75647605083088942,0.81435836130794625
Cui_direct41,context_unseen_row,0.5,safeconf,0.20000000000000001,6,0.75647605083088942,0.75499369966377194
Cui_direct41,context_unseen_row,0.5,safeconf,0.29999999999999999,6,0.75647605083088942,0.76822359905402438
Cui_direct41,context_unseen_row,0.5,safeconf_m,0.050000000000000003,6,0.76633231416520686,0.81812257848113246
Cui_direct41,context_unseen_row,0.5,safeconf_m,0.10000000000000001,6,0.76633231416520686,0.76963149402478626
Cui_direct41,context_unseen_row,0.5,safeconf_m,0.20000000000000001,6,0.76633231416520686,0.78780835966338481
Cui_direct41,context_unseen_row,0.5,safeconf_m,0.29999999999999999,6,0.76633231416520686,0.79472026357302694
Cui_direct41,context_unseen_row,0.75,disagreement,0.050000000000000003,6,0.68187927663734105,0.55648887552986104
Cui_direct41,context_unseen_row,0.75,disagreement,0.10000000000000001,6,0.68187927663734105,0.65571303483372667
Cui_direct41,context_unseen_row,0.75,disagreement,0.20000000000000001,6,0.68187927663734105,0.64371421322574929
Cui_direct41,context_unseen_row,0.75,disagreement,0.29999999999999999,6,0.68187927663734105,0.71680865120699044
Cui_direct41,context_unseen_row,0.75,magnitude,0.050000000000000003,6,0.76539589442815237,0.59568386038593479
Cui_direct41,context_unseen_row,0.75,magnitude,0.10000000000000001,6,0.76539589442815237,0.67370172919841476
Cui_direct41,context_unseen_row,0.75,magnitude,0.20000000000000001,6,0.76539589442815237,0.71214727950557977
Cui_direct41,context_unseen_row,0.75,magnitude,0.29999999999999999,6,0.76539589442815237,0.91638712651129273
Cui_direct41,context_unseen_row,0.75,safeconf,0.050000000000000003,6,0.77559872922776141,0.64927925585317758
Cui_direct41,context_unseen_row,0.75,safeconf,0.10000000000000001,6,0.77559872922776141,0.72995051957678203
Cui_direct41,context_unseen_row,0.75,safeconf,0.20000000000000001,6,0.77559872922776141,0.68828194865356818
Cui_direct41,context_unseen_row,0.75,safeconf,0.29999999999999999,6,0.77559872922776141,0.85574505641484855
Cui_direct41,context_unseen_row,0.75,safeconf_m,0.050000000000000003,6,0.76979007830124135,0.59568386038593479
Cui_direct41,context_unseen_row,0.75,safeconf_m,0.10000000000000001,6,0.76979007830124135,0.67370172919841476
Cui_direct41,context_unseen_row,0.75,safeconf_m,0.20000000000000001,6,0.76979007830124135,0.71459022968953845
Cui_direct41,context_unseen_row,0.75,safeconf_m,0.29999999999999999,6,0.76979007830124135,0.91690830789869981
Cui_direct41,context_unseen_row,1,disagreement,0.050000000000000003,6,0.61882942326490709,0.5820242989327552
Cui_direct41,context_unseen_row,1,disagreement,0.10000000000000001,6,0.61882942326490709,0.56342986708488552
Cui_direct41,context_unseen_row,1,disagreement,0.20000000000000001,6,0.61882942326490709,0.55876312772142822
Cui_direct41,context_unseen_row,1,disagreement,0.29999999999999999,6,0.61882942326490709,0.62719826726401884
Cui_direct41,context_unseen_row,1,magnitude,0.050000000000000003,6,0.69971896383186705,0.56889109510259461
Cui_direct41,context_unseen_row,1,magnitude,0.10000000000000001,6,0.69971896383186705,0.57229645257445183
Cui_direct41,context_unseen_row,1,magnitude,0.20000000000000001,6,0.69971896383186705,0.77179485683583582
Cui_direct41,context_unseen_row,1,magnitude,0.29999999999999999,6,0.69971896383186705,0.87183605555894539
Cui_direct41,context_unseen_row,1,safeconf,0.050000000000000003,6,0.71676441837732152,0.57393182454978853
Cui_direct41,context_unseen_row,1,safeconf,0.10000000000000001,6,0.71676441837732152,0.56371152828870641
Cui_direct41,context_unseen_row,1,safeconf,0.20000000000000001,6,0.71676441837732152,0.80121533350914653
Cui_direct41,context_unseen_row,1,safeconf,0.29999999999999999,6,0.71676441837732152,0.91770144944600995
Cui_direct41,context_unseen_row,1,safeconf_m,0.050000000000000003,6,0.70561237348238992,0.56889109510259461
Cui_direct41,context_unseen_row,1,safeconf_m,0.10000000000000001,6,0.70561237348238992,0.57229645257445183
Cui_direct41,context_unseen_row,1,safeconf_m,0.20000000000000001,6,0.70561237348238992,0.77179485683583582
Cui_direct41,context_unseen_row,1,safeconf_m,0.29999999999999999,6,0.70561237348238992,0.87712823924838446
Cui_direct41,perturbation_unseen_column,0.25,disagreement,0.050000000000000003,6,0.15065876152832672,0.22100318909295355
Cui_direct41,perturbation_unseen_column,0.25,disagreement,0.10000000000000001,6,0.15065876152832672,0.2694737833435244
