dataset,fold_id,score,budget,n_tasks,spearman,review_utility
Frangieh,frangieh_context_holdout_1_Co-culture,magnitude,0.050000000000000003,279,0.11016863928212271,0.33213179078236299
Frangieh,frangieh_context_holdout_1_Co-culture,magnitude,0.10000000000000001,279,0.11016863928212271,0.40230468665283475
Frangieh,frangieh_context_holdout_1_Co-culture,magnitude,0.20000000000000001,279,0.11016863928212271,0.24690394303212601
Frangieh,frangieh_context_holdout_1_Co-culture,magnitude,0.29999999999999999,279,0.11016863928212271,0.17028056815795947
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf,0.050000000000000003,279,0.072181701643293669,0.32425570969690193
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf,0.10000000000000001,279,0.072181701643293669,0.36238996599594192
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf,0.20000000000000001,279,0.072181701643293669,0.33697847188829066
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf,0.29999999999999999,279,0.072181701643293669,0.2632912944661529
Frangieh,frangieh_context_holdout_1_Co-culture,disagreement,0.050000000000000003,279,0.089316380996585232,0.33213179078236299
Frangieh,frangieh_context_holdout_1_Co-culture,disagreement,0.10000000000000001,279,0.089316380996585232,0.40230468665283475
Frangieh,frangieh_context_holdout_1_Co-culture,disagreement,0.20000000000000001,279,0.089316380996585232,0.25509560270405301
Frangieh,frangieh_context_holdout_1_Co-culture,disagreement,0.29999999999999999,279,0.089316380996585232,0.17829430764745416
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_m,0.050000000000000003,279,0.098831994561331973,0.35221141280345813
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_m,0.10000000000000001,279,0.098831994561331973,0.39178613402034179
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_m,0.20000000000000001,279,0.098831994561331973,0.27561429708955909
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf_m,0.29999999999999999,279,0.098831994561331973,0.16087139941191769
Frangieh,frangieh_context_holdout_2_Control,magnitude,0.050000000000000003,279,0.21103835825348938,0.16515586911489449
Frangieh,frangieh_context_holdout_2_Control,magnitude,0.10000000000000001,279,0.21103835825348938,0.10429136921611799
Frangieh,frangieh_context_holdout_2_Control,magnitude,0.20000000000000001,279,0.21103835825348938,0.40046515665051913
Frangieh,frangieh_context_holdout_2_Control,magnitude,0.29999999999999999,279,0.21103835825348938,0.35092107503795628
Frangieh,frangieh_context_holdout_2_Control,safeconf,0.050000000000000003,279,0.44200897346638818,0.1574167225724086
Frangieh,frangieh_context_holdout_2_Control,safeconf,0.10000000000000001,279,0.44200897346638818,0.13795045256513366
Frangieh,frangieh_context_holdout_2_Control,safeconf,0.20000000000000001,279,0.44200897346638818,0.14658010848288036
Frangieh,frangieh_context_holdout_2_Control,safeconf,0.29999999999999999,279,0.44200897346638818,0.26714125805043887
Frangieh,frangieh_context_holdout_2_Control,disagreement,0.050000000000000003,279,0.16859618296146495,0.19385366902449569
Frangieh,frangieh_context_holdout_2_Control,disagreement,0.10000000000000001,279,0.16859618296146495,0.10147651518114524
Frangieh,frangieh_context_holdout_2_Control,disagreement,0.20000000000000001,279,0.16859618296146495,0.35157314589533517
Frangieh,frangieh_context_holdout_2_Control,disagreement,0.29999999999999999,279,0.16859618296146495,0.336500481202757
