culture_condition,predictor_name,n_tasks,all_finite,n_unique_vectors,max_repeat_fraction,max_coordinate_std,passed
Rest,scGPT_seed3407,200,True,200,0.0050000000000000001,0.0004654543276679284,True
Rest,scGPT_seed3408,200,True,200,0.0050000000000000001,0.00053115719917820224,True
Rest,scGPT_seed3409,200,True,200,0.0050000000000000001,0.0003029557119737466,True
Rest,GEARS_seed3407,200,True,200,0.0050000000000000001,0.10006250093548802,True
Rest,GEARS_seed3408,200,True,200,0.0050000000000000001,0.07347897543126157,True
Rest,GEARS_seed3409,200,True,200,0.0050000000000000001,0.13821057117431171,True
Rest,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.00017932845419811719,True
Rest,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.084637286536341186,True
Stim8hr,scGPT_seed3407,200,True,200,0.0050000000000000001,0.00036467536441784921,True
Stim8hr,scGPT_seed3408,200,True,200,0.0050000000000000001,0.00063098902447495449,True
Stim8hr,scGPT_seed3409,200,True,200,0.0050000000000000001,7.0815790509090471e-05,True
Stim8hr,GEARS_seed3407,200,True,200,0.0050000000000000001,0.10008168908201812,True
Stim8hr,GEARS_seed3408,200,True,200,0.0050000000000000001,0.073473313177472105,True
Stim8hr,GEARS_seed3409,200,True,200,0.0050000000000000001,0.13819018207107825,True
Stim8hr,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.00021200000367777635,True
Stim8hr,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.084622223604923413,True
Stim48hr,scGPT_seed3407,200,True,200,0.0050000000000000001,0.00055374041552714106,True
Stim48hr,scGPT_seed3408,200,True,200,0.0050000000000000001,0.00066545265296312668,True
Stim48hr,scGPT_seed3409,200,True,200,0.0050000000000000001,0.00014968819323754492,True
Stim48hr,GEARS_seed3407,200,True,200,0.0050000000000000001,0.1000625041940971,True
Stim48hr,GEARS_seed3408,200,True,200,0.0050000000000000001,0.073478979252770901,True
Stim48hr,GEARS_seed3409,200,True,200,0.0050000000000000001,0.13821056704963172,True
Stim48hr,scGPT_seed_mean,200,True,200,0.0050000000000000001,0.00022276240626424012,True
Stim48hr,GEARS_seed_mean,200,True,200,0.0050000000000000001,0.084637290595206888,True
