culture_condition,stratum,n_tasks,all_finite,n_levels,std,passed
Rest,all_200,200,True,200,0.98363209283750841,True
Rest,seen_160,160,True,160,0.84377539848239635,True
Stim8hr,all_200,200,True,200,0.97046311803876872,True
Stim8hr,seen_160,160,True,160,0.82794459191529624,True
Stim48hr,all_200,200,True,200,0.96143258976967305,True
Stim48hr,seen_160,160,True,160,0.82198325572139419,True
