analysis,method_name,n_tasks,spearman_rho,p_raw,bh_q,source_file,source_commit
MCF7,trainMean,55,0.557722973315123,9.709028052140344e-06,2.1845313117315772e-05,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_SCIPLEX3_PER_METHOD.csv,e8a3594
pooled,CPA,165,-0.078369221346095,0.3170407001568009,0.3473817548483655,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_SCIPLEX3_PER_METHOD.csv,e8a3594
pooled,PRnet,93,-0.0985355445667998,0.3473817548483655,0.3473817548483655,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_SCIPLEX3_PER_METHOD.csv,e8a3594
pooled,baseControl,165,0.4533810601166226,9.645039841196215e-10,2.8935119523588652e-09,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_SCIPLEX3_PER_METHOD.csv,e8a3594
pooled,baseMLP,165,0.2783668133393426,0.0002942308487638,0.0003782968055535,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_SCIPLEX3_PER_METHOD.csv,e8a3594
pooled,baseReg,165,0.2862054595360869,0.0001940099092157,0.0002910148638236,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_SCIPLEX3_PER_METHOD.csv,e8a3594
pooled,bioLord,165,0.4604422738504942,4.88970030560663e-10,2.238871492058937e-09,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_SCIPLEX3_PER_METHOD.csv,e8a3594
pooled,chemCPA,165,0.460263929883294,4.975269982353194e-10,2.238871492058937e-09,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_SCIPLEX3_PER_METHOD.csv,e8a3594
pooled,cycleCDR,141,0.3835162219127415,2.676039600207271e-06,4.816871280373088e-06,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_SCIPLEX3_PER_METHOD.csv,e8a3594
pooled,trainMean,165,0.4379228033461543,4.0470174793332965e-09,9.105789328499915e-09,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_SCIPLEX3_PER_METHOD.csv,e8a3594
