dataset_name,validation_mode,dropped_group,dropped_features,n_features_kept,n,n_task_clusters,n_bootstrap,delta_partial_rho_control_magnitude_point,delta_aurc_reduction_vs_random_pct_point,delta_top10_enrichment_point,delta_partial_rho_control_magnitude_ci_low,delta_partial_rho_control_magnitude_ci_high,delta_aurc_reduction_vs_random_pct_ci_low,delta_aurc_reduction_vs_random_pct_ci_high,delta_top10_enrichment_ci_low,delta_top10_enrichment_ci_high,source_file,source_commit
CuiHacohen2023,lopo,context,context_similarity_max;context_similarity_mean,12,1253,1253,1000,0.165897749267137,10.179474977849516,1.4995590828924166,0.1354732514179327,0.1942755379395002,8.458702792190746,12.088820125241112,0.7892416225749561,1.8961529982363297,docs/实验结果/E1_E4_preregistered_20260614/E1_group_ablation/E1_GROUP_ABLATION_DELTAS.csv,e8a3594
Frangieh,lopo,context,context_similarity_max;context_similarity_mean,12,633,633,1000,-0.018179837273216,0.7672288002808543,-1.699951171875,-0.0434475207621975,0.0041691121178066,0.4412500055747168,1.0475951871820042,-2.318115234375,-0.463623046875,docs/实验结果/E1_E4_preregistered_20260614/E1_group_ablation/E1_GROUP_ABLATION_DELTAS.csv,e8a3594
LaraAstiasoHuntly2023_exvivo,lopo,context,context_similarity_max;context_similarity_mean,12,323,323,1000,0.1124407815633009,24.144515459532386,0.0,0.0800543159112226,0.1483942778613666,17.051405206799565,31.857524639818354,0.0,0.0,docs/实验结果/E1_E4_preregistered_20260614/E1_group_ablation/E1_GROUP_ABLATION_DELTAS.csv,e8a3594
LaraAstiasoHuntly2023_invivo,lopo,context,context_similarity_max;context_similarity_mean,12,375,375,1000,0.0633546823454769,11.842732607436758,0.2596952908587255,0.0309530719075304,0.0980158165055952,7.793524546843503,16.70374224763574,0.0,1.038781163434903,docs/实验结果/E1_E4_preregistered_20260614/E1_group_ablation/E1_GROUP_ABLATION_DELTAS.csv,e8a3594
McFarlandTsherniak2020,lopo,context,context_similarity_max;context_similarity_mean,12,1163,1163,1000,0.0546628455833932,5.2838257042224654,0.0849587259843671,0.0206995006022583,0.0893517665266072,3.3177363134681044,7.242244755496149,-0.4247936299218344,0.4247936299218353,docs/实验结果/E1_E4_preregistered_20260614/E1_group_ablation/E1_GROUP_ABLATION_DELTAS.csv,e8a3594
SantinhaPlatt2023,lopo,context,context_similarity_max;context_similarity_mean,12,273,273,1000,0.1260427348848342,17.817808225390685,0.0,0.0777207186756426,0.173235844631295,12.771632712753147,23.192318015567796,0.0,1.7410714285714286,docs/实验结果/E1_E4_preregistered_20260614/E1_group_ablation/E1_GROUP_ABLATION_DELTAS.csv,e8a3594
SrivatsanTrapnell2020_sciplex3,lopo,context,context_similarity_max;context_similarity_mean,12,564,564,1000,-0.0129493974563892,2.5635584775131868,-1.0415512465373968,-0.0323488258673451,0.0064969603783024,1.2093793828840342,3.9948188891544287,-2.083102493074793,0.5207756232686975,docs/实验结果/E1_E4_preregistered_20260614/E1_group_ablation/E1_GROUP_ABLATION_DELTAS.csv,e8a3594
CuiHacohen2023,lopo,support,perturbation_support_count,13,1253,1253,1000,-0.0097055914725153,-0.0520929650985237,0.0789241622574961,-0.0203354639514238,0.0014306857170905,-0.4751468215114663,0.3863643529063288,-0.4735449735449739,0.3946208112874787,docs/实验结果/E1_E4_preregistered_20260614/E1_group_ablation/E1_GROUP_ABLATION_DELTAS.csv,e8a3594
Frangieh,lopo,support,perturbation_support_count,13,633,633,1000,0.073798710834523,0.426550116443618,2.009033203125,0.0447269906194438,0.1069603884346238,0.1806618706074478,0.7060837751491065,1.081787109375,2.936279296875,docs/实验结果/E1_E4_preregistered_20260614/E1_group_ablation/E1_GROUP_ABLATION_DELTAS.csv,e8a3594
LaraAstiasoHuntly2023_exvivo,lopo,support,perturbation_support_count,13,323,323,1000,-0.0123348791136409,-1.1100799181343248,0.0,-0.0258003651980601,0.0002845144210385,-2.522048757865336,0.2661910660157587,0.0,0.0,docs/实验结果/E1_E4_preregistered_20260614/E1_group_ablation/E1_GROUP_ABLATION_DELTAS.csv,e8a3594
LaraAstiasoHuntly2023_invivo,lopo,support,perturbation_support_count,13,375,375,1000,-0.0236967394653065,-3.935847295620718,-0.5193905817174516,-0.0608597477175497,0.0064918111502402,-8.304271011333537,-0.3896730941755928,-0.7790858725761776,0.0,docs/实验结果/E1_E4_preregistered_20260614/E1_group_ablation/E1_GROUP_ABLATION_DELTAS.csv,e8a3594
