dataset_name,score_name,score_label,score_type,risk_direction,top_fraction,status,n_records,n_top_risk,n_worst_error,hits,precision,recall,random_expected_precision,enrichment_fold,lift_over_random,strategy_label,strategy_role,is_macro_summary,top_percent,source_file,source_commit
CuiHacohen2023,random,random,risk,score_value_high_is_risky,0.05,ok,2506,126,126,2,0.0158730158730158,0.0158730158730158,0.0502793296089385,0.3156966490299823,0.3156966490299823,Random,baseline,False,5,docs/实验结果/Task_risk_audit_20260611/tables/B1_bad_prediction_retrieval.csv,e8a3594
CuiHacohen2023,random,random,risk,score_value_high_is_risky,0.1,ok,2506,251,251,28,0.1115537848605577,0.1115537848605577,0.1001596169193934,1.1137600990460468,1.1137600990460468,Random,baseline,False,10,docs/实验结果/Task_risk_audit_20260611/tables/B1_bad_prediction_retrieval.csv,e8a3594
CuiHacohen2023,random,random,risk,score_value_high_is_risky,0.2,ok,2506,502,502,90,0.1792828685258964,0.1792828685258964,0.2003192338387869,0.8949857938762877,0.8949857938762876,Random,baseline,False,20,docs/实验结果/Task_risk_audit_20260611/tables/B1_bad_prediction_retrieval.csv,e8a3594
CuiHacohen2023,predicted_magnitude,predicted_magnitude,risk,score_value_high_is_risky,0.05,ok,2506,126,126,20,0.1587301587301587,0.1587301587301587,0.0502793296089385,3.156966490299823,3.156966490299824,Magnitude-only,magnitude_competitor,False,5,docs/实验结果/Task_risk_audit_20260611/tables/B1_bad_prediction_retrieval.csv,e8a3594
CuiHacohen2023,predicted_magnitude,predicted_magnitude,risk,score_value_high_is_risky,0.1,ok,2506,251,251,64,0.2549800796812749,0.2549800796812749,0.1001596169193934,2.545737369248107,2.545737369248107,Magnitude-only,magnitude_competitor,False,10,docs/实验结果/Task_risk_audit_20260611/tables/B1_bad_prediction_retrieval.csv,e8a3594
CuiHacohen2023,predicted_magnitude,predicted_magnitude,risk,score_value_high_is_risky,0.2,ok,2506,502,502,186,0.3705179282868526,0.3705179282868526,0.2003192338387869,1.849637307344328,1.849637307344328,Magnitude-only,magnitude_competitor,False,20,docs/实验结果/Task_risk_audit_20260611/tables/B1_bad_prediction_retrieval.csv,e8a3594
CuiHacohen2023,protocol_v0_2_family_confidence,frozen_v02,confidence,score_value_low_is_risky,0.05,ok,2506,126,126,5,0.0396825396825396,0.0396825396825396,0.0502793296089385,0.7892416225749558,0.7892416225749559,Frozen v0.2,frozen_safeconf,False,5,docs/实验结果/Task_risk_audit_20260611/tables/B1_bad_prediction_retrieval.csv,e8a3594
CuiHacohen2023,protocol_v0_2_family_confidence,frozen_v02,confidence,score_value_low_is_risky,0.1,ok,2506,251,251,83,0.3306772908366533,0.3306772908366533,0.1001596169193934,3.3015031507436388,3.3015031507436388,Frozen v0.2,frozen_safeconf,False,10,docs/实验结果/Task_risk_audit_20260611/tables/B1_bad_prediction_retrieval.csv,e8a3594
CuiHacohen2023,protocol_v0_2_family_confidence,frozen_v02,confidence,score_value_low_is_risky,0.2,ok,2506,502,502,234,0.4661354581673306,0.4661354581673306,0.2003192338387869,2.326963064078348,2.326963064078348,Frozen v0.2,frozen_safeconf,False,20,docs/实验结果/Task_risk_audit_20260611/tables/B1_bad_prediction_retrieval.csv,e8a3594
CuiHacohen2023,safeconf_lodo_risk,safeconf_lodo_risk,risk,score_value_high_is_risky,0.05,ok,2506,126,126,15,0.119047619047619,0.119047619047619,0.0502793296089385,2.3677248677248675,2.3677248677248675,LODO risk,cross_dataset_transfer,False,5,docs/实验结果/Task_risk_audit_20260611/tables/B1_bad_prediction_retrieval.csv,e8a3594
