fold_id,task_key,model_disagreement_rmse,model_disagreement_cosine
0,ACH-000139||Pralsetinib@0.05uM,0.16353627147689156,0.29851020739234135
0,ACH-000164||Diammonium Glycyrrhizinate@5.0uM,0.20391347483280825,0.12929901399372445
0,ACH-000164||Elagolix sodium@5.0uM,0.29970730042256194,0.12423459220199062
0,ACH-000164||Hexylresorcinol@5.0uM,0.23389533250327463,0.06147556406357357
0,ACH-000236||Mitoxantrone (dihydrochloride)@5.0uM,0.21352387483958601,0.04138696204062331
0,ACH-000236||Radotinib@5.0uM,0.2521806408281239,0.0695364584669318
0,ACH-000236||Rimonabant@5.0uM,0.10209275175534796,0.07332268641273743
0,ACH-000236||Ropivacaine (hydrochloride monohydrate)@5.0uM,0.19867241864480145,0.04148596532484761
0,ACH-000236||Tofacitinib@5.0uM,0.31294397682532415,0.11738878199619651
0,ACH-000236||Tolcapone@5.0uM,0.21582523445728316,0.08088925187554807
0,ACH-000236||Trifluridine@5.0uM,0.08160398003300391,0.04367063516902148
0,ACH-000311||Folic acid@5.0uM,0.09154075760312047,0.11867784690421201
0,ACH-000311||Neratinib (maleate)@5.0uM,0.12179952347047314,0.11300141700360178
0,ACH-000311||Pasireotide (acetate)@5.0uM,0.12330724743570164,0.15626267316568976
0,ACH-000311||Rimonabant@5.0uM,0.10209275175534796,0.07332268641273743
0,ACH-000311||Selinexor @5.0uM,0.2425762412128564,0.10631620079828641
0,ACH-000311||Temsirolimus@5.0uM,0.1060947350880665,0.10427583816724595
0,ACH-000311||Tofacitinib (citrate)@5.0uM,0.08905847565124002,0.09310244862932449
0,ACH-000396||Adagrasib@0.05uM,0.031663022374721926,0.016089896743231358
0,ACH-000552||Almonertinib (mesylate)@5.0uM,0.14826024606341015,0.2555641133452762
0,ACH-000555||Adagrasib@0.05uM,0.024196517725927475,0.009393981819120878
0,ACH-000555||Topotecan (hydrochloride)@0.5uM,0.12348999108146128,0.12225695905817036
0,ACH-000558||Pravastatin (sodium)@0.5uM,0.13803863184139006,0.4342081692077713
0,ACH-000580||Rapamycin@5.0uM,0.13605402461952656,0.02959862912572242
0,ACH-000580||Ropivacaine (hydrochloride monohydrate)@5.0uM,0.19867241864480145,0.04148596532484761
