seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,2,0.0088483157878120732,129,,
3407,GEARS,1,0.0092874708275000259,,1144,4392
3408,scGPT,1,0.0094408022239804261,129,,
3408,GEARS,1,0.0091231362428516143,,1144,4392
3409,scGPT,1,0.0088827523247649275,129,,
3409,GEARS,4,0.009176801626260082,,1144,4392
