culture_condition,stratum,n_tasks,all_finite,n_levels,std,passed
Rest,all_200,200,True,200,1.0445897266587389,True
Rest,seen_160,160,True,160,0.8875364425498441,True
Stim8hr,all_200,200,True,200,0.993541728509446,True
Stim8hr,seen_160,160,True,160,0.83728234294901305,True
Stim48hr,all_200,200,True,200,0.99723524719051682,True
Stim48hr,seen_160,160,True,160,0.83537230281895491,True
