panel_id,culture_condition,stratum,n_tasks,n_leave_one_seed_out_estimators,n_pairwise_correlations,minimum_pairwise_spearman,median_pairwise_spearman,maximum_pairwise_spearman,kendall_w,bootstrap_valid,bootstrap_ci95_lower,bootstrap_ci95_upper,passed
H01,Rest,all_200,200,5,10,0.8447026175654391,0.9239915997899948,0.9677206930173256,0.9365100127503188,2000,0.897129543569181,0.9411928115331047,True
H01,Rest,seen_160,160,5,10,0.7272354388843315,0.8700486347122934,0.9429714051330133,0.8898031173092698,2000,0.8237905028517303,0.90365022308546,True
H01,Stim8hr,all_200,200,5,10,0.8417685442136054,0.9221930548263708,0.9686762169054228,0.9358040351008776,2000,0.8963855391679743,0.940575673377809,True
H01,Stim8hr,seen_160,160,5,10,0.7219354271651236,0.8671818235087309,0.9445652173913044,0.8886002578225712,2000,0.8236234829513217,0.9024207136171044,True
H01,Stim48hr,all_200,200,5,10,0.8447506187654692,0.9226963174079352,0.9687257181429536,0.9364008100202504,2000,0.8965451652386005,0.9405907371659324,True
H01,Stim48hr,seen_160,160,5,10,0.7262451658267901,0.8674235321692254,0.9446091644204851,0.8891871557482715,2000,0.8195790499671991,0.9007542142825564,True
H02,Rest,all_200,200,5,10,0.9181159528988224,0.946316657916448,0.963940598514963,0.9560520213005324,2000,0.9304008206838124,0.9583319378224552,True
H02,Rest,seen_160,160,5,10,0.8589153873198172,0.9131064690026952,0.941207664361889,0.9262798546818236,2000,0.8848171366308681,0.9333958308547003,True
H02,Stim8hr,all_200,200,5,10,0.9224165604140104,0.9408340208505214,0.959831995799895,0.9538941273531838,2000,0.9222714877360008,0.954548602379696,True
H02,Stim8hr,seen_160,160,5,10,0.8657887026836985,0.8998710887144028,0.9313195827962027,0.9208498769483184,2000,0.8695011492737351,0.9253904154787008,True
H02,Stim48hr,all_200,200,5,10,0.9193939848496214,0.940233255831396,0.960987024675617,0.9534791569789244,2000,0.921658703500626,0.9555039079296568,True
H02,Stim48hr,seen_160,160,5,10,0.85757939763272,0.8978905425993202,0.9326995195124808,0.9192070784015,2000,0.8658127643845887,0.9257392753772536,True
H03,Rest,all_200,200,5,10,0.845982149553739,0.9137268431710794,0.9555553888847224,0.9343481587039676,2000,0.8940629625892778,0.9355175510561584,True
H03,Rest,seen_160,160,5,10,0.7426725653345833,0.8606381108637055,0.9342200867221376,0.8920576585022852,2000,0.8195404547997998,0.9011818356852348,True
H03,Stim8hr,all_200,200,5,10,0.8497622440561015,0.9135085877146928,0.9502497562439062,0.9328772819320484,2000,0.891222833401833,0.9369660196218392,True
H03,Stim8hr,seen_160,160,5,10,0.7469969530059767,0.8565466424469707,0.9228114379467948,0.8876831126215868,2000,0.8157403060452516,0.9007928744356128,True
H03,Stim48hr,all_200,200,5,10,0.8417835445886148,0.9093737343433586,0.9524218105452636,0.9310563564089102,2000,0.8884343677922568,0.9330598064534654,True
H03,Stim48hr,seen_160,160,5,10,0.735099027305754,0.8510166412750497,0.9275840853158324,0.8855068557365521,2000,0.8139332856884247,0.899351416295908,True
H04,Rest,all_200,200,5,10,0.8544933623340584,0.9252336308407711,0.978534463361584,0.9318610965274132,2000,0.894283121632431,0.9392956815506291,True
H04,Rest,seen_160,160,5,10,0.7396079924997071,0.8685529708191726,0.961373491151998,0.8803232157506152,2000,0.8170477028924352,0.894977449936866,True
H04,Stim8hr,all_200,200,5,10,0.8577139428485713,0.9277371934298358,0.9807245181129528,0.9333049726243156,2000,0.8976898076946435,0.9405212699813382,True
H04,Stim8hr,seen_160,160,5,10,0.7451951248095628,0.8719105238485878,0.9655250205086136,0.8831487167467478,2000,0.8219649572734375,0.8972888615001372,True
H04,Stim48hr,all_200,200,5,10,0.8547498687467188,0.9246711167779196,0.9781414535363384,0.9313970449261232,2000,0.8935322841850581,0.9381666699503048,True
H04,Stim48hr,seen_160,160,5,10,0.7394615024024375,0.866591468416735,0.9607758115551388,0.8789975389663659,2000,0.8164500500952179,0.8943608579572195,True
