dataset_name,n_records,n_unique_perturbations,n_seeds,mean_rmse,median_rmse,mean_cosine_error
adamson,21,18,3,0.04208579650592232,0.0347613915801048,0.6311532150515877
dixit,3,2,3,0.42484066883722943,0.3719817996025085,0.30677267335812825
norman,30,27,3,0.055878463511665616,0.05217983014881605,0.671321869347148
