dataset,split,seed,status,reported_n_prediction_records,records_csv_reported_exists,records_csv_repaired,records_csv_repaired_exists,records_n_rows,predicted_npz_reported_exists,predicted_npz_repaired_exists,predicted_npz_n_keys,predicted_npz_first_shape,predicted_keys_match_records,true_npz_reported_exists,true_npz_repaired_exists,true_npz_n_keys,true_npz_first_shape,true_keys_match_records,test_mse,test_pearson
norman,single,1,ok,10,False,/home/yyf/safeconf_runtime/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv,True,10,False,True,10,5025,True,False,True,10,5025,True,0.0051368265878409,0.9885749048929876
norman,single,2,ok,10,False,/home/yyf/safeconf_runtime/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv,True,10,False,True,10,5025,True,False,True,10,5025,True,0.0028716003405861,0.9932605617760256
norman,single,3,ok,10,False,/home/yyf/safeconf_runtime/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv,True,10,False,True,10,5025,True,False,True,10,5025,True,0.0021624353248625,0.995465370458098
adamson,single,1,ok,7,False,/home/yyf/safeconf_runtime/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv,True,7,False,True,7,5043,True,False,True,7,5043,True,0.0017654238368517,0.9959921424735504
adamson,single,2,ok,7,False,/home/yyf/safeconf_runtime/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv,True,7,False,True,7,5043,True,False,True,7,5043,True,0.0017496939316125,0.996033513252501
adamson,single,3,ok,7,False,/home/yyf/safeconf_runtime/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv,True,7,False,True,7,5043,True,False,True,7,5043,True,0.0030539750337733,0.9929795946792702
dixit,single,1,ok,1,False,/home/yyf/safeconf_runtime/outputs/gears_prediction_records_formal/dixit/seed_1/tables/PREDICTION_RECORDS.csv,True,1,False,True,1,6000,True,False,True,1,6000,True,0.2990835905075073,0.9993740096116426
dixit,single,2,ok,1,False,/home/yyf/safeconf_runtime/outputs/gears_prediction_records_formal/dixit/seed_2/tables/PREDICTION_RECORDS.csv,True,1,False,True,1,6000,True,False,True,1,6000,True,0.126490369439125,0.9997200621191528
dixit,single,3,ok,1,False,/home/yyf/safeconf_runtime/outputs/gears_prediction_records_formal/dixit/seed_3/tables/PREDICTION_RECORDS.csv,True,1,False,True,1,6000,True,False,True,1,6000,True,0.138370469212532,0.999710410691184
