dataset,geometry,check,target_family_id,value,threshold,pass
E192_RPE1,absolute_rmse,duplicate_one_governed,B2_duplicate_one_governed_GEARS_seed3409,1.1102230246251565e-16,1e-10,True
E192_RPE1,absolute_rmse,a0_family_error_architecture_decomposition,A0_A1_A2_A4,8.326672684688674e-17,1e-10,True
E192_RPE1,absolute_rmse,a0_diversity_within_between_decomposition,A0_A1_A2_A4,3.469446951953614e-18,1e-10,True
E192_RPE1,absolute_rmse,a4_centroid_error_equals_a0,A4_architecture_centroids,5.551115123125783e-17,1e-10,True
E192_RPE1,absolute_rmse,symmetric_attack_centroid_error_unchanged,C4_symmetric_attack_lambda1,5.551115123125783e-17,1e-10,True
E192_RPE1,absolute_rmse,symmetric_attack_centroid_error_unchanged,C4_symmetric_attack_lambda2,5.551115123125783e-17,1e-10,True
E192_RPE1,absolute_rmse,symmetric_attack_centroid_error_unchanged,C4_symmetric_attack_lambda4,5.551115123125783e-17,1e-10,True
E192_RPE1,absolute_rmse,symmetric_attack_diversity_strictly_increases,C4_lambda1_to_4,0.03924892214797907,0.0,True
E192_RPE1,cosine,duplicate_all_flat,B1_duplicate_all_flat,2.220446049250313e-16,1e-10,True
E192_RPE1,cosine,duplicate_all_governed,B1_duplicate_all_governed,2.220446049250313e-16,1e-10,True
E192_RPE1,cosine,overweight_scgpt_governed,B3_overweight_scgpt_governed,2.220446049250313e-16,1e-10,True
E192_RPE1,cosine,overweight_gears_governed,B3_overweight_gears_governed,2.220446049250313e-16,1e-10,True
E192_RPE1,cosine,duplicate_one_governed,B2_duplicate_one_governed_scGPT_seed3407,2.220446049250313e-16,1e-10,True
E192_RPE1,cosine,duplicate_one_governed,B2_duplicate_one_governed_GEARS_seed3407,2.220446049250313e-16,1e-10,True
E192_RPE1,cosine,duplicate_one_governed,B2_duplicate_one_governed_scGPT_seed3408,2.220446049250313e-16,1e-10,True
E192_RPE1,cosine,duplicate_one_governed,B2_duplicate_one_governed_GEARS_seed3408,2.220446049250313e-16,1e-10,True
E192_RPE1,cosine,duplicate_one_governed,B2_duplicate_one_governed_scGPT_seed3409,2.220446049250313e-16,1e-10,True
E192_RPE1,cosine,duplicate_one_governed,B2_duplicate_one_governed_GEARS_seed3409,2.220446049250313e-16,1e-10,True
E192_RPE1,cosine,a0_family_error_architecture_decomposition,A0_A1_A2_A4,4.440892098500626e-16,1e-10,True
E192_RPE1,cosine,a0_diversity_within_between_decomposition,A0_A1_A2_A4,1.6653345369377348e-16,1e-10,True
E192_RPE1,cosine,a4_centroid_error_equals_a0,A4_architecture_centroids,1.1102230246251565e-16,1e-10,True
E192_RPE1,pearson,duplicate_all_flat,B1_duplicate_all_flat,2.220446049250313e-16,1e-10,True
E192_RPE1,pearson,duplicate_all_governed,B1_duplicate_all_governed,2.220446049250313e-16,1e-10,True
E192_RPE1,pearson,overweight_scgpt_governed,B3_overweight_scgpt_governed,2.220446049250313e-16,1e-10,True
E192_RPE1,pearson,overweight_gears_governed,B3_overweight_gears_governed,2.220446049250313e-16,1e-10,True
E192_RPE1,pearson,duplicate_one_governed,B2_duplicate_one_governed_scGPT_seed3407,2.220446049250313e-16,1e-10,True
E192_RPE1,pearson,duplicate_one_governed,B2_duplicate_one_governed_GEARS_seed3407,2.220446049250313e-16,1e-10,True
E192_RPE1,pearson,duplicate_one_governed,B2_duplicate_one_governed_scGPT_seed3408,2.220446049250313e-16,1e-10,True
E192_RPE1,pearson,duplicate_one_governed,B2_duplicate_one_governed_GEARS_seed3408,2.220446049250313e-16,1e-10,True
E192_RPE1,pearson,duplicate_one_governed,B2_duplicate_one_governed_scGPT_seed3409,2.220446049250313e-16,1e-10,True
E192_RPE1,pearson,duplicate_one_governed,B2_duplicate_one_governed_GEARS_seed3409,2.220446049250313e-16,1e-10,True
E192_RPE1,pearson,a0_family_error_architecture_decomposition,A0_A1_A2_A4,4.440892098500626e-16,1e-10,True
E192_RPE1,pearson,a0_diversity_within_between_decomposition,A0_A1_A2_A4,2.220446049250313e-16,1e-10,True
E192_RPE1,pearson,a4_centroid_error_equals_a0,A4_architecture_centroids,1.1102230246251565e-16,1e-10,True
E190_K562,absolute_rmse,a0_reproduces_e193,A0_primary_balanced_3x3,1.1102230246251565e-16,1e-10,True
E190_K562,cosine,a0_reproduces_e193,A0_primary_balanced_3x3,3.3306690738754696e-16,1e-10,True
E190_K562,pearson,a0_reproduces_e193,A0_primary_balanced_3x3,4.440892098500626e-16,1e-10,True
E192_RPE1,absolute_rmse,a0_reproduces_e193,A0_primary_balanced_3x3,1.1102230246251565e-16,1e-10,True
E192_RPE1,cosine,a0_reproduces_e193,A0_primary_balanced_3x3,4.440892098500626e-16,1e-10,True
E192_RPE1,pearson,a0_reproduces_e193,A0_primary_balanced_3x3,4.440892098500626e-16,1e-10,True
E190_K562,all,base_prediction_hash_and_lineage_unique,A0_primary_balanced_3x3,6.0,6.0,True
E192_RPE1,all,base_prediction_hash_and_lineage_unique,A0_primary_balanced_3x3,6.0,6.0,True
E190_K562,absolute_rmse,scenario_count,ALL,55.0,55.0,True
E190_K562,absolute_rmse,a4_embedding_centroid_equals_a0,A4_architecture_centroids,1.3877787807814457e-17,1e-10,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A0_primary_balanced_3x3,1.1102230246251565e-16,1e-12,True
E190_K562,absolute_rmse,governed_architecture_weight_half_each,A0_primary_balanced_3x3,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A1_scgpt_seed_only,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A2_gears_seed_only,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3407,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3408,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A4_architecture_centroids,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3407,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3408,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3409,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3407,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3408,0.0,1e-12,True
E190_K562,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3409,0.0,1e-12,True
