dataset,target_family_id,outcome,metric,budget,n_tasks,n_gene_clusters,point,ci95_lower,ci95_upper,bootstrap_valid
E192_RPE1,A1_scgpt_seed_only,fixed_a0_centroid_error,oracle_normalized_utility,0.2,175,21,0.2649510611249036,0.05772138314434832,0.5740322772084503,3000
E192_RPE1,A2_gears_seed_only,own_family_rms,diversity_error_spearman,,175,21,0.17848634124496196,-0.28736816826947664,0.5510518005678711,5000
E192_RPE1,A2_gears_seed_only,own_family_rms,oracle_normalized_utility,0.2,175,21,0.28934921418909204,-0.2527556280234999,0.8036828468244689,3000
E192_RPE1,A2_gears_seed_only,fixed_a0_family_rms,diversity_error_spearman,,175,21,0.18521495745633676,-0.29802986878569787,0.5564137309013331,5000
E192_RPE1,A2_gears_seed_only,fixed_a0_family_rms,oracle_normalized_utility,0.2,175,21,0.27588626285981044,-0.2625150204605741,0.792028293978356,3000
E192_RPE1,A2_gears_seed_only,fixed_a0_centroid_error,diversity_error_spearman,,175,21,0.1848320644872369,-0.2852032486565812,0.5631353734938088,5000
E192_RPE1,A2_gears_seed_only,fixed_a0_centroid_error,oracle_normalized_utility,0.2,175,21,0.27214717514241,-0.2624516174267492,0.785473479363845,3000
E192_RPE1,A4_architecture_centroids,own_family_rms,diversity_error_spearman,,175,21,0.29300492610837436,-0.06325404795417554,0.5726781940144055,5000
E192_RPE1,A4_architecture_centroids,own_family_rms,oracle_normalized_utility,0.2,175,21,0.6819808135797191,0.11406978166300234,0.8735200157483235,3000
E192_RPE1,A4_architecture_centroids,fixed_a0_family_rms,diversity_error_spearman,,175,21,0.29363412449619347,-0.07182647836162656,0.5697405199362439,5000
E192_RPE1,A4_architecture_centroids,fixed_a0_family_rms,oracle_normalized_utility,0.2,175,21,0.6820417918933358,0.11687700097755391,0.8749250384145725,3000
E192_RPE1,A4_architecture_centroids,fixed_a0_centroid_error,diversity_error_spearman,,175,21,0.28324451410658313,-0.06812214855133573,0.5678876507943902,5000
E192_RPE1,A4_architecture_centroids,fixed_a0_centroid_error,oracle_normalized_utility,0.2,175,21,0.6741935120587227,0.11516539526163602,0.87264507092008,3000
