fold_id,setting,score,n_tasks,spearman
Shifrut_context_holdout_4_D2_stim,context_and_perturbation_unseen,risk_model_disagreement,5,0.49999999999999994
Shifrut_context_holdout_4_D2_stim,context_and_perturbation_unseen,baseline_predicted_magnitude,5,0.49999999999999994
Shifrut_context_holdout_4_D2_stim,context_unseen_row,safeconf_calibrated_pair_risk,15,0.11785714285714284
Shifrut_context_holdout_4_D2_stim,context_unseen_row,safeconf_frozen_pair_risk,15,0.017857142857142853
Shifrut_context_holdout_4_D2_stim,context_unseen_row,risk_model_disagreement,15,0.04285714285714285
Shifrut_context_holdout_4_D2_stim,context_unseen_row,baseline_predicted_magnitude,15,0.23928571428571427
Shifrut_context_holdout_4_D2_stim,perturbation_unseen_column,safeconf_calibrated_pair_risk,15,0.13214285714285715
Shifrut_context_holdout_4_D2_stim,perturbation_unseen_column,safeconf_frozen_pair_risk,15,0.024999999999999998
Shifrut_context_holdout_4_D2_stim,perturbation_unseen_column,risk_model_disagreement,15,0.024999999999999998
Shifrut_context_holdout_4_D2_stim,perturbation_unseen_column,baseline_predicted_magnitude,15,0.13214285714285715
Shifrut_context_holdout_4_D2_stim,random_missing_pair,safeconf_calibrated_pair_risk,8,-0.880952380952381
Shifrut_context_holdout_4_D2_stim,random_missing_pair,safeconf_frozen_pair_risk,8,-0.1666666666666667
Shifrut_context_holdout_4_D2_stim,random_missing_pair,risk_model_disagreement,8,-0.11904761904761905
Shifrut_context_holdout_4_D2_stim,random_missing_pair,baseline_predicted_magnitude,8,-0.7857142857142858
