panel_id,culture_condition,stratum,n_tasks,n_leave_one_seed_out_estimators,n_pairwise_correlations,minimum_pairwise_spearman,median_pairwise_spearman,maximum_pairwise_spearman,kendall_w,bootstrap_draws,bootstrap_ci95_lower,bootstrap_ci95_upper,passed
R01,Rest,all_200,200,5,10,0.91432235805895168,0.94055951398784987,0.9749823745593641,0.95416305407635194,2000,0.92219490085042088,0.95212809377388863,True
R01,Rest,seen_160,160,5,10,0.85575999062463382,0.89843988046408063,0.95577170983241544,0.91964490800421894,2000,0.86319130237122632,0.92010029217688016,True
R01,Stim8hr,all_200,200,5,10,0.91534388359709007,0.93669991749793757,0.9718307957698944,0.95380028500712521,2000,0.91899988114108544,0.95196546541835525,True
R01,Stim8hr,seen_160,160,5,10,0.8585227938591351,0.89361303175905316,0.95085550216805348,0.91987765147076062,2000,0.86280563503596286,0.91941695910827126,True
R01,Stim48hr,all_200,200,5,10,0.91286432160804032,0.93725568139203497,0.97219680492012317,0.95252105302632561,2000,0.91867193399288938,0.9511088833297886,True
R01,Stim48hr,seen_160,160,5,10,0.85279210125395533,0.89361596156099843,0.95065627563576693,0.91667104183757175,2000,0.85831792071343993,0.91576128911280652,True
R02,Rest,all_200,200,5,10,0.95400285007125196,0.96603165079126985,0.9883357083927099,0.97447692192304802,2000,0.95486262895941798,0.9733009606251477,True
R02,Rest,seen_160,160,5,10,0.92900503925934608,0.94912105941638347,0.98306281495370917,0.96247533106761984,2000,0.93099474023304019,0.96338412192206646,True
R02,Stim8hr,all_200,200,5,10,0.95356183904597625,0.96669541738543474,0.98875721893047341,0.97542890572264307,2000,0.95712957870773208,0.97360410735148772,True
R02,Stim8hr,seen_160,160,5,10,0.93565275987343255,0.95506709246454935,0.98340267197937425,0.96421633657564754,2000,0.93468511337285709,0.9650108116205377,True
R02,Stim48hr,all_200,200,5,10,0.95408235205880154,0.96582989574739386,0.98803270081752059,0.9749028125703143,2000,0.95612490404369666,0.97301033447418339,True
R02,Stim48hr,seen_160,160,5,10,0.93274639634360723,0.95160846126801824,0.98236845189265187,0.96302144615024021,2000,0.93159017375633701,0.96384072634002727,True
R03,Rest,all_200,200,5,10,0.74326408160204016,0.84358808970224275,0.9153603840096004,0.8736981624540614,2000,0.80488416711750355,0.88004304551768209,True
R03,Rest,seen_160,160,5,10,0.62794445095511542,0.74684020860189859,0.86713055197468647,0.80258736669401154,2000,0.69005661087624737,0.81586417431625935,True
R03,Stim8hr,all_200,200,5,10,0.74186004650116266,0.84723543088577224,0.91932198304957635,0.87245793144828621,2000,0.80798398686550565,0.88047082232267804,True
R03,Stim8hr,seen_160,160,5,10,0.632148716746748,0.75169049572248925,0.87584671276221726,0.80269799601546932,2000,0.69013555204409782,0.81706803465428046,True
R03,Stim48hr,all_200,200,5,10,0.74480612015300396,0.84707792694817385,0.91717242931073284,0.87435709892747315,2000,0.80971929119919639,0.88128600018152459,True
R03,Stim48hr,seen_160,160,5,10,0.63354330247275281,0.75095365053322394,0.87209363647017457,0.80482948552677835,2000,0.69337807215512959,0.81715482254084337,True
R04,Rest,all_200,200,5,10,0.77936248406210173,0.89783094577364442,0.95807395184879629,0.91053332333308334,2000,0.85305374836458925,0.93361772498602125,True
R04,Rest,seen_160,160,5,10,0.66302882925114259,0.82430124223602486,0.92459568733153641,0.85577475682643855,2000,0.76263753264098211,0.88708073037230661,True
R04,Stim8hr,all_200,200,5,10,0.75873096827420694,0.89860196504912637,0.95479786994674876,0.90614661366534166,2000,0.85035588063444811,0.93414588057177161,True
R04,Stim8hr,seen_160,160,5,10,0.6331360600023439,0.82925700222664944,0.91887378413219267,0.85094363061057077,2000,0.75689118575218173,0.88835168009951693,True
R04,Stim48hr,all_200,200,5,10,0.76434560864021606,0.89763969099227492,0.95466136653416345,0.90765385134628362,2000,0.84978928382640406,0.93291067606987554,True
R04,Stim48hr,seen_160,160,5,10,0.63765381460213288,0.82664215399039032,0.91863354037267064,0.85192593460682053,2000,0.75510245426226907,0.88647098740986296,True
