panel_id,culture_condition,stratum,three_seed_median_pairwise_spearman,three_seed_bootstrap_ci95_lower,three_seed_passed,five_seed_median_pairwise_spearman,five_seed_bootstrap_ci95_lower,five_seed_passed,median_spearman_gain
R01,Rest,all_200,0.59557788944723622,0.48768360710389791,True,0.94055951398784987,0.92219490085042088,True,0.34498162454061365
R01,Rest,seen_160,0.35090823860307041,0.2095714514372726,False,0.89843988046408063,0.86319130237122632,True,0.54753164186101022
R01,Stim8hr,all_200,0.57633712455457597,0.4722914866873435,True,0.93669991749793757,0.91899988114108544,True,0.3603627929433616
R01,Stim8hr,seen_160,0.32773960487205911,0.18870949369991311,False,0.89361303175905316,0.86280563503596286,True,0.56587342688699405
R01,Stim48hr,all_200,0.57816395409885246,0.47403298363688601,True,0.93725568139203497,0.91867193399288938,True,0.35909172729318251
R01,Stim48hr,seen_160,0.32419723426696351,0.18805790879274681,False,0.89361596156099843,0.85831792071343993,True,0.56941872729403498
R02,Rest,all_200,0.88621615540388521,0.84389735212640371,True,0.96603165079126985,0.95486262895941798,True,0.079815495387384638
R02,Rest,seen_160,0.81062346185397871,0.73308066146561845,True,0.94912105941638347,0.93099474023304019,True,0.13849759756240476
R02,Stim8hr,all_200,0.88690767269181736,0.84601425328310764,True,0.96669541738543474,0.95712957870773208,True,0.07978774469361738
R02,Stim8hr,seen_160,0.81237255361537564,0.73771084139566045,True,0.95506709246454935,0.93468511337285709,True,0.14269453884917371
R02,Stim48hr,all_200,0.88428110702767582,0.84234256556616538,True,0.96582989574739386,0.95612490404369666,True,0.081548788719718046
R02,Stim48hr,seen_160,0.80773174733388031,0.73740689882959387,True,0.95160846126801824,0.93159017375633701,True,0.14387671393413792
R03,Rest,all_200,0.66029550738768472,0.55414154867364285,True,0.84358808970224275,0.80488416711750355,True,0.18329258231455803
R03,Rest,seen_160,0.48103539200750017,0.34264854094728098,False,0.74684020860189859,0.69005661087624737,True,0.26580481659439842
R03,Stim8hr,all_200,0.65933998349958745,0.54827983529881152,True,0.84723543088577224,0.80798398686550565,True,0.1878954473861848
R03,Stim8hr,seen_160,0.47710652759873429,0.34496420930694183,False,0.75169049572248925,0.69013555204409782,True,0.27458396812375496
R03,Stim48hr,all_200,0.65909097727443178,0.55781003253267614,True,0.84707792694817385,0.80971929119919639,True,0.18798694967374208
R03,Stim48hr,seen_160,0.47855091995781068,0.33625278664007008,False,0.75095365053322394,0.69337807215512959,True,0.27240273057541325
R04,Rest,all_200,0.67043876096902433,0.58165250486475317,True,0.89783094577364442,0.85305374836458925,True,0.22739218480462009
R04,Rest,seen_160,0.50120414859955464,0.36423900847792812,True,0.82430124223602486,0.76263753264098211,True,0.32309709363647021
R04,Stim8hr,all_200,0.66309457736443422,0.57543977491445275,True,0.89860196504912637,0.85035588063444811,True,0.23550738768469215
R04,Stim8hr,seen_160,0.49754775577170979,0.37188077019350191,False,0.82925700222664944,0.75689118575218173,True,0.33170924645493965
R04,Stim48hr,all_200,0.66810620265506626,0.58065153449394336,True,0.89763969099227492,0.84978928382640406,True,0.22953348833720866
R04,Stim48hr,seen_160,0.498001875073245,0.36903466512117322,False,0.82664215399039032,0.75510245426226907,True,0.32864027891714531
