task_id,technical_group,perturbation,n_exact_cells_merged,true_effect_key
E177::G1::ANPEP,1,ANPEP,23,E177::G1::ANPEP
E177::G1::ATF6,1,ATF6,16,E177::G1::ATF6
E177::G1::ATG9A,1,ATG9A,15,E177::G1::ATG9A
E177::G1::BAG6,1,BAG6,11,E177::G1::BAG6
E177::G1::BCKDK,1,BCKDK,17,E177::G1::BCKDK
E177::G1::BRD4,1,BRD4,18,E177::G1::BRD4
E177::G1::CASP9,1,CASP9,16,E177::G1::CASP9
E177::G1::CCZ1B,1,CCZ1B,22,E177::G1::CCZ1B
E177::G1::CHD7,1,CHD7,23,E177::G1::CHD7
E177::G1::CHEK2,1,CHEK2,16,E177::G1::CHEK2
E177::G1::DDX1,1,DDX1,11,E177::G1::DDX1
E177::G1::EIF2AK2,1,EIF2AK2,19,E177::G1::EIF2AK2
E177::G1::EIF2AK3,1,EIF2AK3,22,E177::G1::EIF2AK3
E177::G1::EMC4,1,EMC4,13,E177::G1::EMC4
E177::G1::FURIN,1,FURIN,17,E177::G1::FURIN
E177::G1::IFITM1,1,IFITM1,23,E177::G1::IFITM1
E177::G1::IFITM3,1,IFITM3,12,E177::G1::IFITM3
E177::G1::IFNAR1,1,IFNAR1,10,E177::G1::IFNAR1
E177::G1::IRF3,1,IRF3,14,E177::G1::IRF3
E177::G1::JAK1,1,JAK1,16,E177::G1::JAK1
E177::G1::MARK3,1,MARK3,24,E177::G1::MARK3
E177::G1::MFSD12,1,MFSD12,47,E177::G1::MFSD12
E177::G1::MOV10,1,MOV10,10,E177::G1::MOV10
E177::G1::MYD88,1,MYD88,15,E177::G1::MYD88
E177::G1::NAE1,1,NAE1,3,E177::G1::NAE1
E177::G1::NBAS,1,NBAS,8,E177::G1::NBAS
E177::G1::NDFIP2,1,NDFIP2,18,E177::G1::NDFIP2
E177::G1::NLRX1,1,NLRX1,15,E177::G1::NLRX1
E177::G1::PPIA,1,PPIA,26,E177::G1::PPIA
E177::G1::PPIG,1,PPIG,4,E177::G1::PPIG
E177::G1::RB1CC1,1,RB1CC1,10,E177::G1::RB1CC1
E177::G1::RELA,1,RELA,13,E177::G1::RELA
