perturbation,n_tasks,ensemble_cluster_covered,pair_mean_cluster_covered,max_ensemble_error,max_ensemble_upper,max_pair_mean_error,min_pair_mean_upper
ANPEP,8,True,True,0.30240250237999039,0.49607489905433,0.30301239378427358,0.49644877441805324
ATF6,8,True,True,0.39289797200881538,0.49960036291853716,0.39331437875185726,0.49997423828226045
ATG9A,8,True,True,0.33180047073983743,0.49464627257661159,0.33241665110001462,0.49502014794033489
BAG6,8,True,True,0.30062200161985081,0.49132061093227208,0.30122776090991332,0.49599091016334024
BCKDK,8,True,True,0.35199035707267518,0.49949248596207435,0.35246747460438199,0.49986636132579765
BRD4,8,True,True,0.43154775300923348,0.49527418515757859,0.43190946836588118,0.49564806052130189
CASP9,8,True,True,0.31779485423311965,0.49800646766201789,0.31829100041799191,0.49838034302574119
CCZ1B,8,True,True,0.26009302695979597,0.49653159543053449,0.2606963710546274,0.49690547079425779
CHD7,8,True,True,0.21623836597819954,0.50045777945892145,0.21688448868109597,0.5008316548226448
CHEK2,8,True,True,0.25246454082015213,0.49671178213433559,0.25302243000076247,0.49708565749805889
DDX1,8,True,True,0.48382403983059147,0.5044749890931064,0.48422499960642584,0.50484886445682964
EIF2AK2,8,True,True,0.3080588305774426,0.49327898114101226,0.30853675700382788,0.49365285650473556
EIF2AK3,8,True,True,0.20290986989780477,0.50536174601988137,0.20370858875469622,0.50573562138360462
EMC4,8,True,True,0.28861731640090865,0.50309447846488298,0.28911986053979544,0.50346835382860622
FURIN,8,True,True,0.2627082760734486,0.50264586969391634,0.2631987450561506,0.50301974505763969
IFITM1,8,True,True,0.27955471293678025,0.50373744680659105,0.28001199915167507,0.5041113221703144
IFITM3,8,True,True,0.4219772505967464,0.50446054241732885,0.42227325644365088,0.5048344177810522
IFNAR1,8,False,False,0.52178191560648046,0.49757924392000968,0.52204981148999741,0.49795311928373298
IRF3,8,False,False,0.69701341638674097,0.50500196493343652,0.69721349180004433,0.50537584029715976
JAK1,8,True,True,0.26575345981716908,0.50432932651714613,0.2662409772108793,0.50470320188086948
MARK3,8,True,True,0.27413592529172165,0.49806551351324846,0.27479874279461103,0.49843938887697176
MFSD12,8,True,True,0.2366415802657314,0.49617193727866948,0.23723143956738146,0.49654581264239278
MOV10,8,True,True,0.39101050587578184,0.50003251335696519,0.39134956495094209,0.50040638872068843
MYD88,8,True,True,0.32887359992427961,0.49294613390342529,0.32947815873428943,0.49427446775716266
NAE1,8,True,True,0.49934234874105998,0.50010189688877393,0.49971981643583696,0.50047577225249729
NBAS,8,False,False,0.51523107476403518,0.51178099489883722,0.5155229816434177,0.51215487026256046
NDFIP2,8,True,True,0.2469348622693654,0.50493836677746118,0.24741917874326086,0.50531224214118442
NLRX1,8,True,True,0.28030906765013647,0.50634534186796476,0.28086514832073806,0.50671921723168811
PPIA,8,True,True,0.28411590363289385,0.50791916153506578,0.28455129302306331,0.50829303689878902
PPIG,8,True,True,0.43679296302243792,0.51057349047736456,0.43710298137254527,0.51094736584108791
RB1CC1,8,True,True,0.29452762558851875,0.49507494545654585,0.2951573583407896,0.4954488208202692
RELA,8,True,True,0.36750520630537709,0.50242064423040689,0.36793520378360167,0.50279451959413013
RIPK1,8,True,True,0.27449002079913543,0.49180575548784078,0.27524346356450691,0.49799312703889331
RTN4,8,True,True,0.35310468470708384,0.49951520091966928,0.35356246977559214,0.49988907628339257
SCARB1,8,False,False,0.53744300536287082,0.49769462919906909,0.53776083306305811,0.49806850456279239
SIGMAR1,8,True,True,0.20575058411691483,0.50901185996012033,0.20643871638493333,0.50938573532384357
SIRT1,8,True,True,0.24472077544176371,0.507190811402362,0.24533526472974784,0.50756468676608524
SLC35B2,8,True,True,0.4700788623717303,0.49739967747704328,0.47046471842495319,0.49777355284076658
STAT2,8,True,True,0.44449675624257595,0.50782720274404813,0.44502998570666941,0.50820107810777149
TBCB,8,True,True,0.28350070725171578,0.50735173276738454,0.28417782561524985,0.5077256081311079
TLE3,8,True,True,0.49046323175861478,0.50726676634625723,0.49076097540616515,0.50764064170998058
TMEM41B,8,True,True,0.28572289018129776,0.50381458080486585,0.28617092463622473,0.50418845616858921
TMEM97,8,True,True,0.24915013171624351,0.50163928135411073,0.24975360456721071,0.50201315671783409
TRMT1,8,True,True,0.21314497500257382,0.49462141557709505,0.21406661655293549,0.49499529094081834
TYK2,8,True,True,0.37200338593080501,0.49944265461639697,0.37243181099003209,0.49981652998012027
TYRO3,8,True,True,0.2619442110061137,0.49527129619495208,0.26257024574182752,0.49564517155867538
USO1,8,False,False,0.68893901830106397,0.49902532897071178,0.68916377440885945,0.49939920433443508
VPS33A,8,False,False,0.61749761307098661,0.50393457985596002,0.61774758648362715,0.50430845521968326
XBP1,8,True,True,0.29881659852572534,0.50062855794207384,0.29928078637393241,0.50100243330579719
ZCRB1,8,True,True,0.29427014926219042,0.50487264520601571,0.29473340307781054,0.50524652056973895
