metric,bootstrap_draws,ci_low_2.5pct,median,ci_high_97.5pct,fraction_above_zero
directional_risk_frozen__error_centered_pearson_mean,3000,0.6862765311498376,0.7455886247960065,0.7971286262830563,1.0
directional_risk_frozen__error_centered_cosine_mean,3000,0.6947121862875786,0.753930219432918,0.8047184344277226,1.0
directional_risk_frozen__direction_error_rank_target,3000,0.6928082840387518,0.7507954510807637,0.8007222709904757,1.0
baseline_predicted_magnitude__error_centered_pearson_mean,3000,0.16392557337323038,0.2725364867329647,0.3760827001263659,1.0
baseline_predicted_magnitude__error_centered_cosine_mean,3000,0.18491181499176015,0.2906337283038995,0.3931307323911681,1.0
baseline_predicted_magnitude__direction_error_rank_target,3000,0.1767406843782041,0.2839252789162892,0.3863988594611206,1.0
safeconf_calibrated_pair_risk__error_centered_pearson_mean,3000,-0.4635957054203279,-0.36274733208087917,-0.24537604502898125,0.0
safeconf_calibrated_pair_risk__error_centered_cosine_mean,3000,-0.4613683666055782,-0.358201287155258,-0.2418451955684582,0.0
safeconf_calibrated_pair_risk__direction_error_rank_target,3000,-0.460195373275065,-0.35872651048467735,-0.24169596037225527,0.0
risk_model_disagreement__error_centered_pearson_mean,3000,0.01598161087376729,0.12200137944008063,0.2280844774061817,0.984
risk_model_disagreement__error_centered_cosine_mean,3000,0.014295731257119014,0.12361457806089976,0.23505158778872146,0.9836666666666667
risk_model_disagreement__direction_error_rank_target,3000,0.01688878502137409,0.1255057488410407,0.23580752428128446,0.985
delta_directional_minus_magnitude__error_centered_pearson_mean,3000,0.37082245709514916,0.472759430999105,0.5704564716228347,1.0
delta_directional_minus_magnitude__error_centered_cosine_mean,3000,0.36594237985499256,0.4624246457656058,0.5593003393616994,1.0
delta_directional_minus_magnitude__direction_error_rank_target,3000,0.36789002091029105,0.4664631970209217,0.562941294098256,1.0
