score,endpoint,n_folds,fold_macro_spearman,min_fold_spearman
baseline_predicted_magnitude,direction_error_rank_target,2,0.291283301244672,0.24894808800050952
baseline_predicted_magnitude,error_centered_cosine_mean,2,0.29860316334004755,0.2686149514740889
baseline_predicted_magnitude,error_centered_pearson_mean,2,0.27972784288591834,0.22479857169016662
directional_risk_frozen,direction_error_rank_target,2,0.7534561499279908,0.7372371288271392
directional_risk_frozen,error_centered_cosine_mean,2,0.7567712450459788,0.7476352066777252
directional_risk_frozen,error_centered_pearson_mean,2,0.7480961070758743,0.7248027193096109
risk_model_disagreement,direction_error_rank_target,2,0.1256786027575871,-0.05022282956432472
risk_model_disagreement,error_centered_cosine_mean,2,0.12374965665629004,-0.04765610694012085
risk_model_disagreement,error_centered_pearson_mean,2,0.12222749954220838,-0.059850531038271385
safeconf_calibrated_pair_risk,direction_error_rank_target,2,-0.3592678269266292,-0.4666270820970686
safeconf_calibrated_pair_risk,error_centered_cosine_mean,2,-0.3592502793591743,-0.4638581327069431
safeconf_calibrated_pair_risk,error_centered_pearson_mean,2,-0.3628950524171936,-0.4728587239346139
