target,combined_count_fixed,combined_count_shrink,combined_variance_fixed,combined_variance_shrink,equal_count_fixed,equal_count_shrink,equal_variance_fixed,equal_variance_shrink,m_plus_d,magnitude,precision_count_fixed,precision_count_shrink,precision_variance_fixed,precision_variance_shrink,similarity_count_fixed,similarity_count_shrink,similarity_variance_fixed,similarity_variance_shrink
K562,0.9395526608254978,0.9395526608254978,0.9388531341182924,0.9395526608254978,0.9384555464311946,0.9440885908528269,0.935904713504557,0.939738463328674,0.9176881784190825,0.9337696931035814,0.9384555464311946,0.942853570002047,0.9401196810978512,0.9440885908528269,0.9414429960860191,0.9414429960860191,0.9394216820219604,0.9432973333242155
RPE1,0.6314888532479551,0.6315693270270176,0.619453238422462,0.6251430860536344,0.6245692275187454,0.624971272211666,0.6298984720309135,0.6298984720309135,0.5970325181845761,0.6084496005895047,0.6263091170596489,0.626089836446836,0.6176499750457504,0.6203898263469004,0.6345605890927729,0.6344919555514001,0.6285389428678422,0.6279743235945844
hepg2,0.8131296986916924,0.8131296986916924,0.8146950580749286,0.8129716204004648,0.8212304892117209,0.8222390144561642,0.8203944545531248,0.8177191981681013,0.7711496653549383,0.7962803407888822,0.8131296986916924,0.8249671505417379,0.8230500256342828,0.8134752886094959,0.823979344528322,0.8245518917335455,0.8222390144561642,0.8222390144561642
jurkat,0.7180280548744076,0.7180280548744076,0.708005700820551,0.7172837317622347,0.7389684461062777,0.7264746528024073,0.7299889155494217,0.7253898880189812,0.7187254761202977,0.7367456992605275,0.7307511414606344,0.7301141469780048,0.7381233942811214,0.7437526386123237,0.7324553620028993,0.7324553620028993,0.7437553428732788,0.7487740892902567
