contrast,delta,ci95_lower,ci95_upper,positive_targets,delta_K562,delta_RPE1,delta_hepg2,delta_jurkat
primary_vs_magnitude,0.004926441324833997,-0.010423655720823932,0.016692382537856154,3,0.005782967721916443,0.016693485464129743,0.016691279611582566,-0.019461967498292765
primary_vs_e230,-0.007068152556526708,-0.016120071124309965,0.0008354864645961357,2,0.0010971143943032668,0.0005738585348890046,-0.008258868811256148,-0.021684714344042955
clean_vs_shuffled,0.019837712004088598,-0.001735241440847829,0.044768871237315044,3,0.015799381241850874,0.017159631189746283,0.05442536790246977,-0.008033532317712533
