target,variant,scope,method,budget,n_tasks,spearman,utility,capture,remaining_relative_error
K562,clean,primary,equal_count_fixed,0.1,566,0.9123462488434355,0.9350862313573903,0.17338266530958224,0.919185484154767
K562,clean,primary,equal_count_fixed,0.2,566,0.9123462488434355,0.9384555464311946,0.30961301473441527,0.8645111364166393
K562,clean,primary,equal_count_fixed,0.3,566,0.9123462488434355,0.9388573724414864,0.42946606501200346,0.8154601192000153
K562,clean,primary,equal_count_shrink,0.1,566,0.9124021038277266,0.9350862313573903,0.17338266530958224,0.919185484154767
K562,clean,primary,equal_count_shrink,0.2,566,0.9124021038277266,0.9440885908528269,0.31026247872156226,0.8636978695654773
K562,clean,primary,equal_count_shrink,0.3,566,0.9124021038277266,0.938534266720629,0.4294216311545785,0.815523628198254
K562,clean,primary,equal_variance_fixed,0.1,566,0.9121583637958922,0.9361620031852647,0.17346627550359078,0.9190925109331387
K562,clean,primary,equal_variance_fixed,0.2,566,0.9121583637958922,0.935904713504557,0.3093189154873513,0.8648794111375203
K562,clean,primary,equal_variance_fixed,0.3,566,0.9121583637958922,0.9388573724414864,0.42946606501200346,0.8154601192000153
K562,clean,primary,equal_variance_shrink,0.1,566,0.9125931021862727,0.9361620031852647,0.17346627550359078,0.9190925109331387
K562,clean,primary,equal_variance_shrink,0.2,566,0.9125931021862727,0.939738463328674,0.3097609291233407,0.8643259161862592
K562,clean,primary,equal_variance_shrink,0.3,566,0.9125931021862727,0.939103232167614,0.42949987591447936,0.8154117935161734
K562,clean,primary,precision_count_fixed,0.1,566,0.9113062201742654,0.937800784943099,0.17359364346133038,0.9189508797659862
K562,clean,primary,precision_count_fixed,0.2,566,0.9113062201742654,0.9384555464311946,0.30961301473441527,0.8645111364166393
K562,clean,primary,precision_count_fixed,0.3,566,0.9113062201742654,0.9354816364092277,0.4290018300453067,0.8161236469554456
K562,clean,primary,precision_count_shrink,0.1,566,0.9114055503686195,0.9311549495488893,0.17307712167459,0.9195252438746209
K562,clean,primary,precision_count_shrink,0.2,566,0.9114055503686195,0.942853570002047,0.3101200865254566,0.8638761748375919
K562,clean,primary,precision_count_shrink,0.3,566,0.9114055503686195,0.9345310490775133,0.42887110422016406,0.8163104924529978
K562,clean,primary,precision_variance_fixed,0.1,566,0.9111950327033934,0.9359450856005131,0.17344941642541545,0.919111257963094
K562,clean,primary,precision_variance_fixed,0.2,566,0.9111950327033934,0.9401196810978512,0.3098048817702238,0.8642708781372862
K562,clean,primary,precision_variance_fixed,0.3,566,0.9111950327033934,0.9335604102270619,0.4287376208879047,0.8165012792359746
K562,clean,primary,precision_variance_shrink,0.1,566,0.9115236834490092,0.9359450856005131,0.17344941642541545,0.919111257963094
K562,clean,primary,precision_variance_shrink,0.2,566,0.9115236834490092,0.9440885908528269,0.31026247872156226,0.8636978695654773
K562,clean,primary,precision_variance_shrink,0.3,566,0.9115236834490092,0.9327406472531039,0.4286248861736741,0.8166624101659102
K562,clean,primary,similarity_count_fixed,0.1,566,0.9135107077952291,0.9447546984965633,0.17413410942842356,0.9183498901051321
K562,clean,primary,similarity_count_fixed,0.2,566,0.9135107077952291,0.9414429960860191,0.3099574538722947,0.8640798254607992
K562,clean,primary,similarity_count_fixed,0.3,566,0.9135107077952291,0.9415623851724567,0.4298380613657101,0.8149284274419396
K562,clean,primary,similarity_count_shrink,0.1,566,0.9134310197945709,0.9447546984965633,0.17413410942842356,0.9183498901051321
K562,clean,primary,similarity_count_shrink,0.2,566,0.9134310197945709,0.9414429960860191,0.3099574538722947,0.8640798254607992
K562,clean,primary,similarity_count_shrink,0.3,566,0.9134310197945709,0.9404077032528968,0.42967926822627334,0.8151553893533567
K562,clean,primary,similarity_variance_fixed,0.1,566,0.9139040642496328,0.944494394392099,0.17411387830123512,0.9183723868005913
