group,n_tasks,rho_disagreement_pair_mean,rho_magnitude_pair_mean,delta_rho_disagreement_minus_magnitude,bootstrap_delta_ci95_low,bootstrap_delta_ci95_high,cpa_beats_zero_fraction,ridge_beats_zero_fraction,median_cpa_error_over_zero,median_ridge_error_over_zero,rho_disagreement_vs_ridge_magnitude
pooled,553,0.9930753274827195,0.9935603320084823,-0.00048500452576272224,-0.0009660634556150849,-5.275519509861958e-05,0.0,0.0,5.429014038972704,8.284563618398296,0.996073911425614
context::B cells,137,0.9963877013833143,0.9967937349487556,-0.0004060335654412217,-0.001633728559522199,0.0005274817711028834,0.0,0.0,6.295574260706108,9.085784865246918,0.9983525304758526
context::Myeloid cells,137,0.8103216532566692,0.8103963260962905,-7.467283962137028e-05,-0.01521869074551549,0.01765409598429315,0.0,0.0,5.429014038972704,3.9144915056047007,0.9552242985420126
context::NK cells,138,0.9937897983739316,0.995177961090347,-0.0013881627164153976,-0.004914519434086167,0.0003837618408784376,0.0,0.0,4.2430071554157,7.758395704813616,0.9992237247967414
context::T cells,141,0.9990324928293162,0.9993236011815574,-0.00029110835224122056,-0.0009808815916945463,8.14631616077249e-05,0.0,0.0,7.506277376250998,25.84541498007444,0.9998373218031592
