group,score_name,target_error,n_tasks,spearman,bootstrap_ci95_low,bootstrap_ci95_high,top20_error_enrichment
pooled,model_disagreement_rmse,pair_mean_rmse,553,0.9930753274827195,0.9888849361503446,0.9959669147691045,1.6241911907333135
pooled,model_disagreement_rmse,pair_max_rmse,553,0.9775440421008055,0.9665613114334571,0.9852950033919877,1.9000903135289569
pooled,predicted_magnitude_mean,pair_mean_rmse,553,0.9935603320084823,0.9892838700996582,0.9963785340117437,1.6245987820429486
context::B cells,model_disagreement_rmse,pair_mean_rmse,137,0.9963877013833143,0.9927739473168173,0.9974051930444537,1.2346815457946199
context::B cells,model_disagreement_rmse,pair_max_rmse,137,0.997335113036011,0.9945707602526842,0.9980208890215231,1.3720930266185454
context::B cells,predicted_magnitude_mean,pair_mean_rmse,137,0.9967937349487556,0.993506100941815,0.9978438158732041,1.2343321923950394
context::Myeloid cells,model_disagreement_rmse,pair_mean_rmse,137,0.8103216532566692,0.7076760500654021,0.8913000638328433,1.06605929709869
context::Myeloid cells,model_disagreement_rmse,pair_max_rmse,137,0.19010771557115386,0.02638576011658884,0.34609407568973893,1.0136199424062655
context::Myeloid cells,predicted_magnitude_mean,pair_mean_rmse,137,0.8103963260962905,0.7010677436323055,0.8903561259407573,1.06605929709869
context::NK cells,model_disagreement_rmse,pair_mean_rmse,138,0.9937897983739316,0.981948406213141,0.9981779625986226,1.3158932765345863
context::NK cells,model_disagreement_rmse,pair_max_rmse,138,0.9978812253275766,0.994125418792227,0.9990089067653436,1.471082010851402
context::NK cells,predicted_magnitude_mean,pair_mean_rmse,138,0.995177961090347,0.9854554928796975,0.9988079102008713,1.3160357781543508
context::T cells,model_disagreement_rmse,pair_mean_rmse,141,0.9990324928293162,0.9974608954346889,0.9993277628638536,1.3007080088598089
context::T cells,model_disagreement_rmse,pair_max_rmse,141,0.9997345776788389,0.9990151754504151,0.9998545309178437,1.3849314139465578
context::T cells,predicted_magnitude_mean,pair_mean_rmse,141,0.9993236011815574,0.9981117260844837,0.9996104631866172,1.3007080088598089
