dataset,geometry,predictor,comparator,outcome,n_tasks,n_gene_clusters,predictor_spearman,comparator_spearman,spearman_delta,delta_ci95_lower,delta_ci95_upper,bootstrap_valid
E190_K562,absolute_rmse,diversity_lower_bound,raw_predicted_magnitude,family_rms_error,692,47,0.4238823589099221,0.41976338967379845,0.0041189692361236485,-0.03344760934846427,0.04490689381668198,5000
E190_K562,absolute_rmse,diversity_lower_bound,raw_diversity_lower_bound,family_rms_error,692,47,0.4238823589099221,0.4238823589099221,0.0,0.0,0.0,5000
E190_K562,absolute_rmse,diversity_lower_bound,source_effect_magnitude,family_rms_error,692,47,0.4238823589099221,0.41909429518231034,0.004788063727611758,-0.04092266504611116,0.052218374213960486,5000
E190_K562,absolute_rmse,diversity_lower_bound,source_to_family_centroid_distance,family_rms_error,692,47,0.4238823589099221,0.4164110485266889,0.007471310383233176,-0.08545816850853503,0.10247876367625265,5000
E190_K562,cosine,diversity_lower_bound,raw_predicted_magnitude,family_rms_error,692,47,0.5680682634331112,-0.8307705611771931,1.3988388246103043,0.9857591939632148,1.636325567487755,5000
E190_K562,cosine,diversity_lower_bound,raw_diversity_lower_bound,family_rms_error,692,47,0.5680682634331112,-0.8313469264424148,1.399415189875526,1.0080028955110711,1.638859522069318,5000
E190_K562,cosine,diversity_lower_bound,source_effect_magnitude,family_rms_error,692,47,0.5680682634331112,-0.827439938775696,1.3955082022088072,1.013924213470753,1.6342731541663225,5000
E190_K562,cosine,diversity_lower_bound,source_to_family_centroid_distance,family_rms_error,692,47,0.5680682634331112,0.7466374920680064,-0.17856922863489522,-0.3754517899880951,0.00519660939684908,5000
E190_K562,pearson,diversity_lower_bound,raw_predicted_magnitude,family_rms_error,692,47,0.2453531093685682,-0.8321498761173186,1.0775029854858869,0.4729643414097382,1.4303160773824557,5000
E190_K562,pearson,diversity_lower_bound,raw_diversity_lower_bound,family_rms_error,692,47,0.2453531093685682,-0.8380983958642205,1.0834515052327887,0.4732360585395936,1.440939214817955,5000
E190_K562,pearson,diversity_lower_bound,source_effect_magnitude,family_rms_error,692,47,0.2453531093685682,-0.8182637230099682,1.0636168323785364,0.4571570216508457,1.4328304352295156,5000
E190_K562,pearson,diversity_lower_bound,source_to_family_centroid_distance,family_rms_error,692,47,0.2453531093685682,0.6057116943157949,-0.36035858494722667,-0.6750121734242611,-0.1393580669411714,5000
E192_RPE1,absolute_rmse,diversity_lower_bound,raw_predicted_magnitude,family_rms_error,175,21,0.29975817286162115,0.3416726377071205,-0.04191446484549932,-0.1679870757791928,0.01689650575490711,5000
E192_RPE1,absolute_rmse,diversity_lower_bound,raw_diversity_lower_bound,family_rms_error,175,21,0.29975817286162115,0.29975817286162115,0.0,0.0,0.0,5000
E192_RPE1,absolute_rmse,diversity_lower_bound,source_effect_magnitude,family_rms_error,175,21,0.29975817286162115,0.18483268502291825,0.1149254878387029,-0.016134017141794153,0.3586120328733637,5000
E192_RPE1,absolute_rmse,diversity_lower_bound,source_to_family_centroid_distance,family_rms_error,175,21,0.29975817286162115,0.00748320644872369,0.29227496641289746,0.017082611751148714,0.6167252653123861,5000
E192_RPE1,cosine,diversity_lower_bound,raw_predicted_magnitude,family_rms_error,175,21,0.048152709359605916,-0.18757501119570086,0.23572772055530677,-0.17944664382860845,0.7360239248977943,5000
E192_RPE1,cosine,diversity_lower_bound,raw_diversity_lower_bound,family_rms_error,175,21,0.048152709359605916,-0.15154948499776086,0.19970219435736677,-0.23781294480523593,0.6748031276652865,5000
E192_RPE1,cosine,diversity_lower_bound,source_effect_magnitude,family_rms_error,175,21,0.048152709359605916,-0.173554513211523,0.2217072225711289,-0.14133179155959852,0.7444417619209309,5000
E192_RPE1,cosine,diversity_lower_bound,source_to_family_centroid_distance,family_rms_error,175,21,0.048152709359605916,0.06594043887147336,-0.01778772951186744,-0.13851070681917516,0.08094619855965826,5000
E192_RPE1,pearson,diversity_lower_bound,raw_predicted_magnitude,family_rms_error,175,21,-0.21018808777429468,-0.0393819973130318,-0.17080609046126288,-0.6215081646437146,0.325555888436114,5000
E192_RPE1,pearson,diversity_lower_bound,raw_diversity_lower_bound,family_rms_error,175,21,-0.21018808777429468,-0.04563143752798925,-0.16455665024630542,-0.6626546344559652,0.27046145013631057,5000
E192_RPE1,pearson,diversity_lower_bound,source_effect_magnitude,family_rms_error,175,21,-0.21018808777429468,-0.06364773404267655,-0.1465403537316181,-0.5227047093469613,0.3106657702446603,5000
E192_RPE1,pearson,diversity_lower_bound,source_to_family_centroid_distance,family_rms_error,175,21,-0.21018808777429468,-0.24768920734437974,0.03750111957008506,-0.06324951346501402,0.14649454503191228,5000
