dataset,geometry,n_valid_tasks,mean_family_rms_error,mean_diversity_lower_bound,family_rms_lower_violations,family_worst_lower_violations,max_rms_identity_residual,raw_replication_max_abs_diff
E190_K562,absolute_rmse,692,0.24918536704640062,0.0733078255336719,0,0,5.551115123125783e-17,1.4128863412565806e-08
E190_K562,cosine,692,0.8905364652789346,0.591687655676829,0,0,4.440892098500626e-16,
E190_K562,pearson,692,0.9114921478250396,0.6014220739572157,0,0,6.661338147750939e-16,
E192_RPE1,absolute_rmse,175,0.3032676407682781,0.04730537224918439,0,0,1.1102230246251565e-16,6.4906339192205564e-09
E192_RPE1,cosine,175,0.9807938257188518,0.5847636453284809,0,0,4.440892098500626e-16,
E192_RPE1,pearson,175,0.9883869637486377,0.6046700433101717,0,0,6.661338147750939e-16,
