dataset,geometry,predictor,outcome,n_tasks,n_gene_clusters,spearman,ci95_lower,ci95_upper,bootstrap_valid
E190_K562,absolute_rmse,diversity_lower_bound,family_rms_error,692,47,0.4238823589099221,0.14087613688757877,0.6310928616635155,5000
E190_K562,absolute_rmse,diameter_half_lower_bound,family_worst_error,692,47,0.5073345521887049,0.23704992141432032,0.6956026532537264,5000
E190_K562,absolute_rmse,raw_diversity_lower_bound,family_rms_error,692,47,0.4238823589099221,0.13970631592219096,0.6278713882236626,5000
E190_K562,absolute_rmse,raw_predicted_magnitude,family_rms_error,692,47,0.41976338967379845,0.1449115382401201,0.620279819363727,5000
E190_K562,absolute_rmse,source_effect_magnitude,family_rms_error,692,47,0.41909429518231034,0.15227476786441385,0.6340323690503739,5000
E190_K562,absolute_rmse,source_to_family_centroid_distance,family_rms_error,692,47,0.4164110485266889,0.1540075085036032,0.6262714642745014,5000
E190_K562,cosine,diversity_lower_bound,family_rms_error,692,47,0.5680682634331112,0.27845946158523527,0.7825363392354843,5000
E190_K562,cosine,diameter_half_lower_bound,family_worst_error,692,47,0.05835466547511584,0.008634320402194466,0.1087296275878703,5000
E190_K562,cosine,raw_diversity_lower_bound,family_rms_error,692,47,-0.8313469264424148,-0.8767286611368617,-0.6773721862607455,5000
E190_K562,cosine,raw_predicted_magnitude,family_rms_error,692,47,-0.8307705611771931,-0.8817758474672541,-0.6798441720675161,5000
E190_K562,cosine,source_effect_magnitude,family_rms_error,692,47,-0.827439938775696,-0.8806755803772024,-0.6690637532299476,5000
E190_K562,cosine,source_to_family_centroid_distance,family_rms_error,692,47,0.7466374920680064,0.5690671387902642,0.8407692356003865,5000
E190_K562,pearson,diversity_lower_bound,family_rms_error,692,47,0.2453531093685682,-0.27663687560759853,0.6045532800909161,5000
E190_K562,pearson,diameter_half_lower_bound,family_worst_error,692,47,0.023092815268015824,-0.052673355739764956,0.11656661792664179,5000
E190_K562,pearson,raw_diversity_lower_bound,family_rms_error,692,47,-0.8380983958642205,-0.881088513379905,-0.6836699365200369,5000
E190_K562,pearson,raw_predicted_magnitude,family_rms_error,692,47,-0.8321498761173186,-0.8821883951054296,-0.6777040645210384,5000
E190_K562,pearson,source_effect_magnitude,family_rms_error,692,47,-0.8182637230099682,-0.8805005800535326,-0.6533849830880558,5000
E190_K562,pearson,source_to_family_centroid_distance,family_rms_error,692,47,0.6057116943157949,0.26905234790838833,0.7989934359964599,5000
E192_RPE1,absolute_rmse,diversity_lower_bound,family_rms_error,175,21,0.29975817286162115,-0.05665881853696502,0.5835147082868939,5000
E192_RPE1,absolute_rmse,diameter_half_lower_bound,family_worst_error,175,21,0.2569458128078818,-0.08330379966489149,0.5400330681818708,5000
E192_RPE1,absolute_rmse,raw_diversity_lower_bound,family_rms_error,175,21,0.29975817286162115,-0.06653650471098992,0.5677098510475869,5000
E192_RPE1,absolute_rmse,raw_predicted_magnitude,family_rms_error,175,21,0.3416726377071205,-0.012663503694995866,0.6061098980430554,5000
E192_RPE1,absolute_rmse,source_effect_magnitude,family_rms_error,175,21,0.18483268502291825,-0.1519820145741696,0.4874225451668484,5000
E192_RPE1,absolute_rmse,source_to_family_centroid_distance,family_rms_error,175,21,0.00748320644872369,-0.28639192101388217,0.35210863667177744,5000
E192_RPE1,cosine,diversity_lower_bound,family_rms_error,175,21,0.048152709359605916,-0.15955740708229071,0.2900676124452152,5000
E192_RPE1,cosine,diameter_half_lower_bound,family_worst_error,175,21,0.11471115091804748,0.007614635861742159,0.25110435272603737,5000
E192_RPE1,cosine,raw_diversity_lower_bound,family_rms_error,175,21,-0.15154948499776086,-0.5334092160909847,0.2072839923302156,5000
E192_RPE1,cosine,raw_predicted_magnitude,family_rms_error,175,21,-0.18757501119570086,-0.5687304565741653,0.13179134555378538,5000
E192_RPE1,cosine,source_effect_magnitude,family_rms_error,175,21,-0.173554513211523,-0.5767312800463967,0.12655987360958706,5000
E192_RPE1,cosine,source_to_family_centroid_distance,family_rms_error,175,21,0.06594043887147336,-0.15410741783544046,0.34100446131238915,5000
E192_RPE1,pearson,diversity_lower_bound,family_rms_error,175,21,-0.21018808777429468,-0.5070372952101617,0.03854386642124323,5000
E192_RPE1,pearson,diameter_half_lower_bound,family_worst_error,175,21,-0.006983878190774743,-0.13860424762249268,0.1919680585638517,5000
E192_RPE1,pearson,raw_diversity_lower_bound,family_rms_error,175,21,-0.04563143752798925,-0.3830633186728528,0.28420853619491576,5000
E192_RPE1,pearson,raw_predicted_magnitude,family_rms_error,175,21,-0.0393819973130318,-0.41630119765505413,0.2277932756948077,5000
E192_RPE1,pearson,source_effect_magnitude,family_rms_error,175,21,-0.06364773404267655,-0.45895036234096004,0.19583428468069386,5000
E192_RPE1,pearson,source_to_family_centroid_distance,family_rms_error,175,21,-0.24768920734437974,-0.5114008419201787,0.014975181795497176,5000
