dataset,geometry,predictor,outcome,budget,n_eligible_tasks,n_gene_clusters,n_selected,high_error_capture,random_expected_capture,selected_mean_error,overall_mean_error,error_lift,oracle_mean_error,oracle_normalized_utility,utility_ci95_lower,utility_ci95_upper,utility_bootstrap_valid
E190_K562,absolute_rmse,diversity_lower_bound,family_rms_error,0.1,692,47,70,0.5285714285714286,0.10115606936416185,0.32503807285994885,0.24918536704640062,1.3044027292317841,0.35814392482302626,0.6961610667521202,0.00840184591558975,0.7627384785963235,3000
E190_K562,absolute_rmse,diversity_lower_bound,family_rms_error,0.2,692,47,139,0.4748201438848921,0.20086705202312138,0.2865336621436276,0.24918536704640062,1.149881574267049,0.33348680394397845,0.443032722474272,0.0172754929474254,0.807140020295364,3000
E190_K562,absolute_rmse,diversity_lower_bound,family_rms_error,0.3,692,47,208,0.5144230769230769,0.30057803468208094,0.279175606122247,0.24918536704640062,1.1203531308090893,0.316689255781623,0.4442742431251667,0.05538004388581513,0.7578427259460585,3000
E190_K562,absolute_rmse,raw_predicted_magnitude,family_rms_error,0.1,692,47,70,0.5142857142857142,0.10115606936416185,0.3233273599015993,0.24918536704640062,1.2975375068528512,0.35814392482302626,0.6804604830324211,-0.060280928350506274,0.7688683841473536,3000
E190_K562,absolute_rmse,raw_predicted_magnitude,family_rms_error,0.2,692,47,139,0.4748201438848921,0.20086705202312138,0.2863765941460109,0.24918536704640062,1.1492512483394939,0.33348680394397845,0.44116955141340986,-0.024882152485140842,0.8013222954723456,3000
E190_K562,absolute_rmse,raw_predicted_magnitude,family_rms_error,0.3,692,47,208,0.5048076923076923,0.30057803468208094,0.27816529311339067,0.24918536704640062,1.1162986671749218,0.316689255781623,0.4293075052410842,0.013971185748718244,0.7571850783633822,3000
E190_K562,absolute_rmse,source_effect_magnitude,family_rms_error,0.1,692,47,70,0.5142857142857142,0.10115606936416185,0.32470571177904173,0.24918536704640062,1.3030689387093044,0.35814392482302626,0.6931107227709848,6.705906112905221e-05,0.7677250109861367,3000
E190_K562,absolute_rmse,source_effect_magnitude,family_rms_error,0.2,692,47,139,0.4748201438848921,0.20086705202312138,0.28884636871375247,0.24918536704640062,1.1591626432059576,0.33348680394397845,0.47046649650275885,0.014297616835566825,0.8016925757317551,3000
E190_K562,absolute_rmse,source_effect_magnitude,family_rms_error,0.3,692,47,208,0.47115384615384615,0.30057803468208094,0.2724829514040007,0.24918536704640062,1.0934949938423224,0.316689255781623,0.34512951467111247,0.034674991538665496,0.7422290230640947,3000
E190_K562,absolute_rmse,source_to_family_centroid_distance,family_rms_error,0.1,692,47,70,0.5142857142857142,0.10115606936416185,0.32377722030592404,0.24918536704640062,1.2993428311768953,0.35814392482302626,0.684589212464092,-0.06626223368887119,0.7952390058998846,3000
E190_K562,absolute_rmse,source_to_family_centroid_distance,family_rms_error,0.2,692,47,139,0.4316546762589928,0.20086705202312138,0.28431461789892043,0.24918536704640062,1.1409763794275223,0.33348680394397845,0.4167099891215395,0.022644029858779547,0.8082542555840333,3000
E190_K562,absolute_rmse,source_to_family_centroid_distance,family_rms_error,0.3,692,47,208,0.5,0.30057803468208094,0.2793242020801048,0.24918536704640062,1.1209494577909627,0.316689255781623,0.4464755379045034,0.07147031163979824,0.722134056074945,3000
E190_K562,cosine,diversity_lower_bound,family_rms_error,0.1,692,47,70,0.4857142857142857,0.10115606936416185,0.9903285613535183,0.8905364652789346,1.1120584052033475,1.0138177688580454,0.8094665872067629,0.6607295217404519,0.9153025501484787,3000
E190_K562,cosine,diversity_lower_bound,family_rms_error,0.2,692,47,139,0.5827338129496403,0.20086705202312138,0.9741818188214201,0.8905364652789346,1.0939269269746141,0.9974864171149853,0.7820980945434169,0.4794216190022126,0.9223479960488128,3000
E190_K562,cosine,diversity_lower_bound,family_rms_error,0.3,692,47,208,0.6009615384615384,0.30057803468208094,0.95093528736243,0.8905364652789346,1.067822963391597,0.9841499665798134,0.6451934949999406,0.3363967526300029,0.8890661037621579,3000
E190_K562,cosine,raw_predicted_magnitude,family_rms_error,0.1,692,47,70,0.0,0.10115606936416185,0.7873603345017944,0.8905364652789346,0.8841415991372984,1.0138177688580454,-0.83691628642563,-1.1533451051488381,-0.39276502435950433,3000
E190_K562,cosine,raw_predicted_magnitude,family_rms_error,0.2,692,47,139,0.0,0.20086705202312138,0.8103023365731269,0.8905364652789346,0.9099036009932769,0.9974864171149853,-0.7502025697851915,-1.1098977361039712,-0.42868934581521784,3000
E190_K562,cosine,raw_predicted_magnitude,family_rms_error,0.3,692,47,208,0.0,0.30057803468208094,0.8192071344080538,0.8905364652789346,0.9199029645029314,0.9841499665798134,-0.7619555927261447,-1.061022318969835,-0.49093345648776604,3000
E190_K562,cosine,source_effect_magnitude,family_rms_error,0.1,692,47,70,0.0,0.10115606936416185,0.7869334524188499,0.8905364652789346,0.8836622452875817,1.0138177688580454,-0.8403789532741401,-1.1423419937839536,-0.4599255601139196,3000
E190_K562,cosine,source_effect_magnitude,family_rms_error,0.2,692,47,139,0.0,0.20086705202312138,0.8071044469794604,0.8905364652789346,0.9063126311471799,0.9974864171149853,-0.7801033742153677,-1.121017347655969,-0.5006155656931177,3000
E190_K562,cosine,source_effect_magnitude,family_rms_error,0.3,692,47,208,0.0,0.30057803468208094,0.8189732710794827,0.8905364652789346,0.9196403550111373,0.9841499665798134,-0.7644537722122368,-1.0501270831774903,-0.5390300833087075,3000
E190_K562,cosine,source_to_family_centroid_distance,family_rms_error,0.1,692,47,70,0.34285714285714286,0.10115606936416185,0.975384881787591,0.8905364652789346,1.0952778688092015,1.0138177688580454,0.6882504811786673,0.3305048871965863,0.8929091914873807,3000
E190_K562,cosine,source_to_family_centroid_distance,family_rms_error,0.2,692,47,139,0.5971223021582733,0.20086705202312138,0.9773854306477509,0.8905364652789346,1.0975243224224551,0.9974864171149853,0.8120524028094156,0.580759065616054,0.9362314980015768,3000
E190_K562,cosine,source_to_family_centroid_distance,family_rms_error,0.3,692,47,208,0.8365384615384616,0.30057803468208094,0.9751499584758007,0.8905364652789346,1.095014069042488,0.9841499665798134,0.903859934956538,0.6741646421789845,0.9501798559821903,3000
E190_K562,pearson,diversity_lower_bound,family_rms_error,0.1,692,47,70,0.05714285714285714,0.10115606936416185,0.9129321735143308,0.9114921478250396,1.0015798552875383,1.0236500356867506,0.012839272535754826,-0.3785673412444133,0.4875197243550031,3000
E190_K562,pearson,diversity_lower_bound,family_rms_error,0.2,692,47,139,0.15827338129496402,0.20086705202312138,0.9089961768657374,0.9114921478250396,0.9972616648807585,1.0080324573801307,-0.0258541843381792,-0.42814372911382004,0.4347032100260248,3000
E190_K562,pearson,diversity_lower_bound,family_rms_error,0.3,692,47,208,0.2644230769230769,0.30057803468208094,0.9092761041277824,0.9114921478250396,0.9975687736833004,0.9954733986714867,-0.026387362356737346,-0.43082758257897386,0.41707225802623876,3000
E190_K562,pearson,raw_predicted_magnitude,family_rms_error,0.1,692,47,70,0.0,0.10115606936416185,0.8155451956760932,0.9114921478250396,0.8947363919942803,1.0236500356867506,-0.8554632578962935,-1.1470469134358448,-0.4533601694038827,3000
E190_K562,pearson,raw_predicted_magnitude,family_rms_error,0.2,692,47,139,0.0,0.20086705202312138,0.8379606110134773,0.9114921478250396,0.9193283924748887,1.0080324573801307,-0.761666677374815,-1.1217415370944108,-0.4827448505060912,3000
E190_K562,pearson,raw_predicted_magnitude,family_rms_error,0.3,692,47,208,0.0,0.30057803468208094,0.8417345272562264,0.9114921478250396,0.9234687641190705,0.9954733986714867,-0.8306332647552415,-1.0669260278758177,-0.540711263969629,3000
E190_K562,pearson,source_effect_magnitude,family_rms_error,0.1,692,47,70,0.0,0.10115606936416185,0.815440021518802,0.9114921478250396,0.8946210051996248,1.0236500356867506,-0.8564009909376008,-1.1615383673734603,-0.4365324787933988,3000
E190_K562,pearson,source_effect_magnitude,family_rms_error,0.2,692,47,139,0.0,0.20086705202312138,0.8398001362487257,0.9114921478250396,0.9213465395753743,1.0080324573801307,-0.7426121990566291,-1.135094895099656,-0.4486666988809708,3000
E190_K562,pearson,source_effect_magnitude,family_rms_error,0.3,692,47,208,0.0,0.30057803468208094,0.849895198402337,0.9114921478250396,0.9324218540228981,0.9954733986714867,-0.7334607284586382,-1.0715547893359418,-0.48737776079703854,3000
E190_K562,pearson,source_to_family_centroid_distance,family_rms_error,0.1,692,47,70,0.22857142857142856,0.10115606936416185,0.9810401735528217,0.9114921478250396,1.0763012889290757,1.0236500356867506,0.6200903659449593,0.3976382845535115,0.7884005396552407,3000
E190_K562,pearson,source_to_family_centroid_distance,family_rms_error,0.2,692,47,139,0.4316546762589928,0.20086705202312138,0.9726947050238902,0.9114921478250396,1.0671454574182446,1.0080324573801307,0.6339585762766291,0.34404383352107315,0.819720906438826,3000
E190_K562,pearson,source_to_family_centroid_distance,family_rms_error,0.3,692,47,208,0.6442307692307693,0.30057803468208094,0.9594993798169441,0.9114921478250396,1.0526688376926308,0.9954733986714867,0.5716422595286399,0.19796154221896958,0.8092398383971702,3000
E192_RPE1,absolute_rmse,diversity_lower_bound,family_rms_error,0.1,175,21,18,0.5,0.10285714285714286,0.41337026838171487,0.3032676407682781,1.363054321702474,0.5090759341929443,0.5349766318029288,0.09744296929566558,0.8615508469252611,3000
E192_RPE1,absolute_rmse,diversity_lower_bound,family_rms_error,0.2,175,21,35,0.6285714285714286,0.2,0.40393072710603517,0.3032676407682781,1.3319282139127797,0.44794674435717763,0.6957679709143596,0.12553121661103442,0.8715571371094843,3000
E192_RPE1,absolute_rmse,diversity_lower_bound,family_rms_error,0.3,175,21,53,0.5283018867924528,0.3028571428571429,0.35895710161476474,0.3032676407682781,1.183631398013341,0.409740228520647,0.523040362050819,0.09281250814229236,0.8528978436157447,3000
E192_RPE1,absolute_rmse,raw_predicted_magnitude,family_rms_error,0.1,175,21,18,0.5,0.10285714285714286,0.40711619783072145,0.3032676407682781,1.3424320405545422,0.5090759341929443,0.5045887866538087,0.08255283327475468,0.831507381220327,3000
E192_RPE1,absolute_rmse,raw_predicted_magnitude,family_rms_error,0.2,175,21,35,0.6285714285714286,0.2,0.40811805597150186,0.3032676407682781,1.3457355850350623,0.44794674435717763,0.7247101523462051,0.20189243028280068,0.863560451264431,3000
E192_RPE1,absolute_rmse,raw_predicted_magnitude,family_rms_error,0.3,175,21,53,0.660377358490566,0.3028571428571429,0.37489355040003464,0.3032676407682781,1.2361805217671895,0.409740228520647,0.6727169043579757,0.18101076226079935,0.8505506553252913,3000
E192_RPE1,absolute_rmse,source_effect_magnitude,family_rms_error,0.1,175,21,18,0.4444444444444444,0.10285714285714286,0.39839057536363304,0.3032676407682781,1.3136600210770157,0.5090759341929443,0.4621919409198814,-0.03427713662924786,0.7638035985216404,3000
E192_RPE1,absolute_rmse,source_effect_magnitude,family_rms_error,0.2,175,21,35,0.4,0.2,0.34332104408560277,0.3032676407682781,1.132072789618622,0.44794674435717763,0.2768430431469562,-0.09256073864764672,0.7387838479350831,3000
