estimand,analysis,effect,removed_dataset,k,pooled_z,se_mkh,ci95_low_z,ci95_high_z,tau2_reml,Q,I2_percent,prediction_low_z,prediction_high_z,pooled_rho_equivalent,prediction_low_rho_equivalent,prediction_high_rho_equivalent
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,Frangieh,6,0.13241028931646492,0.03840510492770716,0.033686824193594186,0.23113375443933565,0.004617732839692485,11.346241477086112,55.93254374060726,-0.08430694565822497,0.3491275242911548,0.13164185079693444,-0.08410777017547866,0.33560156099933897
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,Lara_exvivo,6,0.10951342338475413,0.029940049146430153,0.03255007689088224,0.18647676987862602,0.0019101763856592899,7.181535211321625,30.37700362288073,-0.03757484350724473,0.256601690276753,0.10907770841591824,-0.03755716990442149,0.2511142417946808
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,Liang,6,0.12832467742707016,0.035297336173667856,0.037589986212690954,0.21905936864144937,0.004029226098079941,11.314884195436889,55.810418262907014,-0.07332874347070187,0.32997809832484215,0.12762490271810314,-0.07319759343805225,0.3185010971354098
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,Nadig_two_cellline,6,0.15399430196997368,0.022789839514926077,0.09541115447583799,0.2125774494641094,0.0,2.8495315922604294,0.0,0.09071956360051392,0.21726904033943345,0.1527884527969163,0.09047150499253719,0.21391359586396477
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,Santinha,6,0.12552307702292123,0.03286004728428405,0.041053636355790235,0.20999251769005223,0.003487099633217595,11.033440627718527,54.68322014223871,-0.06210550764197745,0.31315166168781994,0.12486795656173079,-0.06202578171526915,0.3033015603561094
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,Shifrut,6,0.13055443952439902,0.03506113244135191,0.040426929333820694,0.22068194971497734,0.003999812736751481,11.36264550207106,55.99616304945311,-0.07021721045047633,0.33132608949927433,0.12981771854153842,-0.07010203661839547,0.319711823567467
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,Tian_CRISPRi,6,0.12455404965389107,0.03784718307850966,0.02726476830227205,0.22184333100551007,0.004372479725069189,10.738051501598123,53.43661744166659,-0.08698280898915657,0.3360909082969387,0.123913923133937,-0.08676409996016667,0.3239830643146479
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,Frangieh,6,0.06741731988869056,0.06686813970033417,-0.10447270540777999,0.2393073451851611,0.021127064221003765,26.691171494168845,81.26721413823167,-0.37680012146628006,0.5116347612436611,0.06731536586598354,-0.35992533502452595,0.4712179467045612
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,Lara_exvivo,6,0.04174659650936073,0.053249301230653204,-0.09513508999448285,0.17862828301320433,0.011632832405487709,16.917270179441914,70.44440416825603,-0.2922162478695503,0.3757094408882718,0.041722361715791294,-0.28417336908480567,0.35897557555748505
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,Liang,6,0.06360960780656207,0.06423628367513415,-0.1015150161975193,0.22873423181064345,0.01984095647496011,26.53224574345698,81.15500644632378,-0.36622190677163396,0.49344112238475807,0.06352395441052584,-0.35068264276111377,0.4569433353207023
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,Nadig_two_cellline,6,0.12118721486992509,0.037557149885661244,0.024643487575573803,0.21773094216427638,0.003970811501427837,10.03910520618132,50.19476440070198,-0.08248639064404986,0.3248608203839001,0.12059741384595786,-0.0822998191393561,0.3138954646308737
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,Santinha,6,0.06418165232699338,0.06303899629314934,-0.09786524648092126,0.22622855113490803,0.019196359069266308,26.664155156700783,81.24823392822374,-0.3584428546395697,0.48680615929355653,0.06409366979906841,-0.34384172146233405,0.4516778473717086
