estimand,analysis,effect,k,pooled_z,se_mkh,ci95_low_z,ci95_high_z,tau2_reml,Q,I2_percent,prediction_low_z,prediction_high_z,pooled_rho_equivalent,ci95_low_rho_equivalent,ci95_high_rho_equivalent,prediction_low_rho_equivalent,prediction_high_rho_equivalent,backtransform_interpretation
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_disagreement,7,0.12915053531282775,0.03110844732553143,0.05303090688126558,0.20527016374438992,0.0031790422570377704,11.363388838588607,47.19884987456584,-0.0363833140282655,0.294684384653921,0.12843722313171177,0.05298125020511713,0.20243486432922816,-0.036367268441100505,0.2864405979182267,rho-equivalent of Fisher-z difference; not raw delta-rho
e140_fold_macro_perturbation_cluster,safeconf_minus_comparator,safeconf_minus_magnitude,7,0.07486362140593751,0.05538369956599243,-0.06065540942234236,0.21038265223421737,0.01650700626873437,27.083995249580948,77.84669527257861,-0.28478237079953045,0.43450961361140544,0.0747240749717398,-0.060581133385923545,0.20733273198262792,-0.27732547095917753,0.40908315722282995,rho-equivalent of Fisher-z difference; not raw delta-rho
e140_fold_macro_perturbation_cluster,score_association,baseline_predicted_magnitude,7,0.13920199510271386,0.06191040003740846,-0.012287296457947433,0.2906912866633752,0.02142410511493443,34.16415068626095,82.4377311319702,-0.26932648674341425,0.547730476948842,0.13830979504419003,-0.012286678126223702,0.28277094870751707,-0.2629980188766813,0.49881731868366014,pooled Spearman
e140_fold_macro_perturbation_cluster,score_association,risk_model_disagreement,7,0.06810899071647837,0.04578816907975307,-0.04393062284699947,0.18014860427995621,0.009869173463402013,21.284189206478366,71.81006078364615,-0.21308176044903793,0.34929974188199464,0.06800387031868503,-0.04390238408182459,0.17822475593128673,-0.20991436302101926,0.33575437316361895,pooled Spearman
e140_fold_macro_perturbation_cluster,score_association,safeconf_calibrated_pair_risk,7,0.20218446797109252,0.036097002949020754,0.1138582836643184,0.29051065227786665,0.004371453034779969,16.476246613256418,63.583939104355636,0.008545306530418406,0.39582362941176663,0.1994737797302205,0.11336881310615503,0.282604749253443,0.008545098537284706,0.37636983902376797,pooled Spearman
pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_disagreement,7,0.05195367331084461,0.047820797616014495,-0.0650596031069868,0.168966949728676,0.009348423526216319,16.594810280480697,63.844118139407854,-0.22532683098187611,0.3292341776035653,0.051906979546691184,-0.06496796453641693,0.16737711054974083,-0.22158927338699003,0.31783248362817634,rho-equivalent of Fisher-z difference; not raw delta-rho
pooled_context_task_median_sensitivity,safeconf_minus_comparator,safeconf_minus_magnitude,7,0.019963703013481007,0.04852353284431417,-0.09876910456269394,0.13869651058965596,0.008241231621507332,14.375258619528285,58.26162047721903,-0.24464101913979147,0.28456842516675346,0.019961051262016284,-0.09844917763492508,0.1378139456230563,-0.23987456866132234,0.27712796804491074,rho-equivalent of Fisher-z difference; not raw delta-rho
pooled_context_task_median_sensitivity,score_association,baseline_predicted_magnitude,7,0.2597683405338692,0.06150167193810134,0.10927917060329848,0.4102575104644399,0.01856531947096166,24.47190623659148,75.48208978085846,-0.12451236612724415,0.6440490471949826,0.25407884094035516,0.10884623685124643,0.3886913076374113,-0.12387287943170987,0.567650195906251,pooled Spearman
pooled_context_task_median_sensitivity,score_association,risk_model_disagreement,7,0.22058547899894893,0.06573480868590192,0.05973819659266763,0.3814327614052302,0.02108228137266744,24.805592831094934,75.81190644845735,-0.1891248377859731,0.630295795783871,0.21707602240030563,0.059667236269815925,0.36395109248125773,-0.18690175339514165,0.5582558603259832,pooled Spearman
pooled_context_task_median_sensitivity,score_association,safeconf_calibrated_pair_risk,7,0.27579838520963884,0.04626137674338846,0.16260087420595892,0.38899589621331876,0.005865650098765022,13.336311960724695,55.01005062216646,0.04579572698668413,0.5058010434325936,0.2690119490874383,0.16118286474110766,0.3704942758465926,0.04576373881301803,0.4666671262951194,pooled Spearman
