estimand,effect,k,pooled_z,ci95_low_z,ci95_high_z,tau2_reml,I2_percent,prediction_low_z,prediction_high_z
e140_fold_macro_perturbation_cluster,safeconf_minus_disagreement,7,0.12915053531282775,0.05303090688126558,0.20527016374438992,0.0031790422570377704,47.19884987456584,-0.0363833140282655,0.294684384653921
e140_fold_macro_perturbation_cluster,safeconf_minus_magnitude,7,0.07486362140593751,-0.06065540942234236,0.21038265223421737,0.01650700626873437,77.84669527257861,-0.28478237079953045,0.43450961361140544
pooled_context_task_median_sensitivity,safeconf_minus_disagreement,7,0.05195367331084461,-0.0650596031069868,0.168966949728676,0.009348423526216319,63.844118139407854,-0.22532683098187611,0.3292341776035653
pooled_context_task_median_sensitivity,safeconf_minus_magnitude,7,0.019963703013481007,-0.09876910456269394,0.13869651058965596,0.008241231621507332,58.26162047721903,-0.24464101913979147,0.28456842516675346
