dataset,scope,estimand,metric_type,score,comparator,endpoint,n_independent_clusters,observed,bootstrap_median,ci95_low,ci95_high,p_gt_zero
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,directional_risk_frozen,,error_centered_pearson_mean,96,0.7480961070758743,0.7463567688265555,0.6880349634826867,0.7969815429271679,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,directional_risk_frozen,,error_centered_cosine_mean,96,0.7567712450459788,0.7547442269085375,0.6973399691085396,0.8057589721618448,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,directional_risk_frozen,,direction_error_rank_target,96,0.7534561499279908,0.7514798987459141,0.6941043632860769,0.8020669478929864,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,baseline_predicted_magnitude,,error_centered_pearson_mean,96,0.27972784288591834,0.27501586162163927,0.16351807573670848,0.38141239814935196,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,baseline_predicted_magnitude,,error_centered_cosine_mean,96,0.29860316334004755,0.2945929588425077,0.18306806028963868,0.4002062736601606,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,baseline_predicted_magnitude,,direction_error_rank_target,96,0.291283301244672,0.28761356313656405,0.17378698223245193,0.3936445740790153,1.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,risk_model_disagreement,,error_centered_pearson_mean,96,0.12222749954220838,0.12324941340727633,0.01659901511612366,0.22203469146566737,0.987
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,risk_model_disagreement,,error_centered_cosine_mean,96,0.12374965665629004,0.12495941636151359,0.014374529192046022,0.22867684693589327,0.9863333333333333
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,risk_model_disagreement,,direction_error_rank_target,96,0.1256786027575871,0.12694693317183908,0.01825381156187456,0.22764455090053118,0.9886666666666667
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,safeconf_calibrated_pair_risk,,error_centered_pearson_mean,96,-0.3628950524171936,-0.36311715726796623,-0.4617334484458679,-0.24111825155127561,0.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,safeconf_calibrated_pair_risk,,error_centered_cosine_mean,96,-0.3592502793591743,-0.35979432618217716,-0.46108525835280667,-0.23906119700357154,0.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,association,safeconf_calibrated_pair_risk,,direction_error_rank_target,96,-0.3592678269266292,-0.35980085525552996,-0.4610759716000714,-0.23835660187649244,0.0
Nadig_two_cellline,directional_single_study_only_not_in_absolute_meta,nadig_direction_fold_macro_perturbation_cluster,directional_minus_comparator,directional_risk_frozen,baseline_predicted_magnitude,error_centered_pearson_mean,96,0.4683682641899559,0.4716737313659153,0.36768139114966736,0.5734132109102578,1.0
